tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
2019 Masters Tournament,,,1.0,-2.0,-4.0,-5.0,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,2.0,-4.0,-2.0,-2.0,-4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,3.0,1.0,-7.0,-2.0,-4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,4.0,-6.0,-1.0,-3.0,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,5.0,-2.0,-5.0,1.0,-5.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,6.0,,-1.0,-8.0,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,7.0,-1.0,-2.0,-8.0,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,8.0,-2.0,-5.0,-6.0,2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,9.0,1.0,1.0,-8.0,-4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,10.0,-3.0,-2.0,-1.0,-4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,11.0,-2.0,-1.0,-4.0,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,12.0,,,-5.0,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,13.0,1.0,-4.0,-3.0,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,14.0,-1.0,-3.0,-4.0,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,15.0,-3.0,-3.0,-2.0,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,16.0,-4.0,-1.0,-4.0,1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,17.0,3.0,-1.0,-4.0,-5.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,18.0,-2.0,-2.0,1.0,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,19.0,-5.0,1.0,-2.0,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,20.0,-3.0,-4.0,,1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,21.0,1.0,-1.0,-1.0,-4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,22.0,,,-2.0,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,23.0,,,-2.0,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,24.0,-3.0,1.0,,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,25.0,6.0,-5.0,-4.0,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,26.0,3.0,-4.0,-3.0,-1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,27.0,-2.0,,-3.0,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,28.0,-1.0,-1.0,-4.0,1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,29.0,-1.0,-1.0,,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,30.0,-6.0,3.0,1.0,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,31.0,-1.0,-6.0,-1.0,4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,32.0,1.0,-5.0,4.0,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,33.0,-2.0,-1.0,2.0,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,34.0,,-1.0,-1.0,-1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,35.0,3.0,-2.0,-4.0,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,36.0,1.0,-2.0,3.0,-4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,37.0,1.0,-1.0,1.0,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,38.0,1.0,-2.0,2.0,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,39.0,,,,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,40.0,2.0,,-5.0,1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,41.0,,-1.0,-2.0,1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,42.0,-1.0,-1.0,-2.0,2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,43.0,,2.0,1.0,-4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,44.0,,2.0,,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,45.0,4.0,-4.0,-1.0,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,46.0,,1.0,1.0,-2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,47.0,-1.0,1.0,1.0,-1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,48.0,-2.0,-1.0,-1.0,4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,49.0,-3.0,,3.0,1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,50.0,,,-2.0,3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,51.0,2.0,,3.0,-3.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,52.0,2.0,1.0,,-1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,53.0,1.0,2.0,,-1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,54.0,-2.0,2.0,-3.0,5.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,55.0,2.0,1.0,-1.0,1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,56.0,,3.0,2.0,-1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,57.0,1.0,1.0,,2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,58.0,2.0,1.0,1.0,1.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,59.0,,3.0,,2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,60.0,1.0,2.0,-4.0,6.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,61.0,3.0,-2.0,1.0,4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,62.0,3.0,,3.0,2.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,63.0,,3.0,1.0,4.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,64.0,-1.0,,3.0,6.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,65.0,-2.0,,2.0,8.0,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,66.0,,4.0,,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,67.0,5.0,-1.0,,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,68.0,3.0,1.0,,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,69.0,1.0,3.0,,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,70.0,1.0,3.0,,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,71.0,4.0,,,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,72.0,3.0,1.0,,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,73.0,3.0,2.0,,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,74.0,3.0,2.0,,,,,2019,2019 Masters Tournament,,
2019 Masters Tournament,,,75.0,6.0,-1.0,,,,,2019,2019 Masters Tournament,,
