tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
3M Open,,,1.0,-7.0,-5.0,-3.0,-4.0,,,2020,3M Open,,
3M Open,,,2.0,-3.0,1.0,-8.0,-7.0,,,2020,3M Open,,
3M Open,,,3.0,-3.0,-3.0,-3.0,-7.0,,,2020,3M Open,,
3M Open,,,4.0,,-3.0,-7.0,-6.0,,,2020,3M Open,,
3M Open,,,5.0,,-6.0,-4.0,-6.0,,,2020,3M Open,,
3M Open,,,6.0,-2.0,-1.0,-8.0,-5.0,,,2020,3M Open,,
3M Open,,,7.0,-4.0,-2.0,-5.0,-5.0,,,2020,3M Open,,
3M Open,,,8.0,-6.0,1.0,-7.0,-4.0,,,2020,3M Open,,
3M Open,,,9.0,-5.0,-3.0,-5.0,-3.0,,,2020,3M Open,,
3M Open,,,10.0,-6.0,-5.0,-2.0,-3.0,,,2020,3M Open,,
3M Open,,,11.0,-8.0,-4.0,-3.0,-1.0,,,2020,3M Open,,
3M Open,,,12.0,-6.0,2.0,-2.0,-8.0,,,2020,3M Open,,
3M Open,,,13.0,-6.0,-3.0,-1.0,-4.0,,,2020,3M Open,,
3M Open,,,14.0,-6.0,-4.0,,-4.0,,,2020,3M Open,,
3M Open,,,15.0,-6.0,-1.0,-4.0,-3.0,,,2020,3M Open,,
3M Open,,,16.0,-6.0,-2.0,-3.0,-3.0,,,2020,3M Open,,
3M Open,,,17.0,-4.0,-5.0,-2.0,-3.0,,,2020,3M Open,,
3M Open,,,18.0,-1.0,-4.0,,-8.0,,,2020,3M Open,,
3M Open,,,19.0,-1.0,-3.0,-4.0,-5.0,,,2020,3M Open,,
3M Open,,,20.0,-3.0,-4.0,-1.0,-5.0,,,2020,3M Open,,
3M Open,,,21.0,-5.0,-6.0,1.0,-3.0,,,2020,3M Open,,
3M Open,,,22.0,-1.0,-6.0,-4.0,-2.0,,,2020,3M Open,,
3M Open,,,23.0,-5.0,2.0,-2.0,-7.0,,,2020,3M Open,,
3M Open,,,24.0,-1.0,-1.0,-4.0,-6.0,,,2020,3M Open,,
3M Open,,,25.0,-1.0,-2.0,-5.0,-4.0,,,2020,3M Open,,
3M Open,,,26.0,-1.0,-3.0,1.0,-8.0,,,2020,3M Open,,
3M Open,,,27.0,1.0,-3.0,-3.0,-6.0,,,2020,3M Open,,
3M Open,,,28.0,2.0,-5.0,-5.0,-3.0,,,2020,3M Open,,
3M Open,,,29.0,-1.0,-4.0,-3.0,-3.0,,,2020,3M Open,,
3M Open,,,30.0,-2.0,-1.0,-6.0,-2.0,,,2020,3M Open,,
3M Open,,,31.0,-4.0,-3.0,-2.0,-2.0,,,2020,3M Open,,
3M Open,,,32.0,,-2.0,-1.0,-7.0,,,2020,3M Open,,
3M Open,,,33.0,-1.0,-2.0,-2.0,-5.0,,,2020,3M Open,,
3M Open,,,34.0,-3.0,1.0,-4.0,-4.0,,,2020,3M Open,,
3M Open,,,35.0,-3.0,1.0,-5.0,-3.0,,,2020,3M Open,,
3M Open,,,36.0,-3.0,,-4.0,-3.0,,,2020,3M Open,,
3M Open,,,37.0,-5.0,3.0,-6.0,-2.0,,,2020,3M Open,,
3M Open,,,38.0,-1.0,-4.0,-3.0,-2.0,,,2020,3M Open,,
3M Open,,,39.0,-5.0,-3.0,-1.0,-1.0,,,2020,3M Open,,
3M Open,,,40.0,-3.0,-1.0,-7.0,1.0,,,2020,3M Open,,
3M Open,,,41.0,-3.0,1.0,-2.0,-5.0,,,2020,3M Open,,
3M Open,,,42.0,5.0,-7.0,-3.0,-4.0,,,2020,3M Open,,
3M Open,,,43.0,-4.0,-2.0,1.0,-4.0,,,2020,3M Open,,
3M Open,,,44.0,-5.0,,-2.0,-2.0,,,2020,3M Open,,
3M Open,,,45.0,-5.0,-1.0,-1.0,-2.0,,,2020,3M Open,,
3M Open,,,46.0,-1.0,-1.0,-1.0,-5.0,,,2020,3M Open,,
3M Open,,,47.0,-2.0,-1.0,-1.0,-4.0,,,2020,3M Open,,
3M Open,,,48.0,-1.0,-1.0,-3.0,-3.0,,,2020,3M Open,,
3M Open,,,49.0,-1.0,-2.0,-3.0,-2.0,,,2020,3M Open,,
3M Open,,,50.0,-2.0,-3.0,-1.0,-2.0,,,2020,3M Open,,
3M Open,,,51.0,-2.0,-4.0,-1.0,-1.0,,,2020,3M Open,,
3M Open,,,52.0,,-6.0,-3.0,1.0,,,2020,3M Open,,
3M Open,,,53.0,2.0,-4.0,,-5.0,,,2020,3M Open,,
3M Open,,,54.0,-1.0,-2.0,-4.0,,,,2020,3M Open,,
3M Open,,,55.0,-5.0,,-4.0,2.0,,,2020,3M Open,,
3M Open,,,56.0,-1.0,-1.0,-2.0,-2.0,,,2020,3M Open,,
3M Open,,,57.0,-4.0,-1.0,-3.0,2.0,,,2020,3M Open,,
3M Open,,,58.0,-1.0,-2.0,1.0,-3.0,,,2020,3M Open,,
3M Open,,,59.0,,-2.0,-1.0,-2.0,,,2020,3M Open,,
3M Open,,,60.0,-4.0,-1.0,2.0,-2.0,,,2020,3M Open,,
3M Open,,,61.0,,-4.0,-3.0,3.0,,,2020,3M Open,,
3M Open,,,62.0,-1.0,-2.0,1.0,-1.0,,,2020,3M Open,,
