tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
AT&T Byron Nelson,,,1.0,-8.0,-4.0,-5.0,-9.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,2.0,-5.0,-7.0,-8.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,3.0,-5.0,-6.0,-3.0,-10.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,4.0,-12.0,-3.0,-6.0,-3.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,5.0,,-5.0,-7.0,-11.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,6.0,-5.0,-10.0,-2.0,-6.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,7.0,-4.0,-6.0,-8.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,8.0,-6.0,-7.0,-4.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,9.0,-8.0,-2.0,-5.0,-6.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,10.0,,-8.0,-8.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,11.0,-3.0,-4.0,-11.0,-3.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,12.0,-5.0,-4.0,-3.0,-8.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,13.0,-2.0,-9.0,-1.0,-8.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,14.0,-5.0,-2.0,-8.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,15.0,-4.0,-4.0,-3.0,-8.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,16.0,-5.0,-4.0,-7.0,-3.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,17.0,,-5.0,-5.0,-8.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,18.0,-3.0,-2.0,-5.0,-8.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,19.0,-2.0,-5.0,-6.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,20.0,-4.0,-4.0,-5.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,21.0,-8.0,-3.0,-2.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,22.0,-6.0,-5.0,-3.0,-4.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,23.0,-4.0,-7.0,-4.0,-3.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,24.0,-3.0,-8.0,-5.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,25.0,-3.0,-3.0,-6.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,26.0,-2.0,-5.0,-5.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,27.0,-3.0,-5.0,-4.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,28.0,-5.0,-5.0,-2.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,29.0,-4.0,-3.0,-6.0,-4.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,30.0,-3.0,-6.0,-6.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,31.0,-5.0,-7.0,-7.0,2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,32.0,-5.0,-3.0,-1.0,-7.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,33.0,-3.0,-5.0,-4.0,-4.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,34.0,-2.0,-7.0,-3.0,-4.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,35.0,,-6.0,-7.0,-3.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,36.0,-4.0,-3.0,-6.0,-3.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,37.0,-3.0,-7.0,-5.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,38.0,-2.0,-4.0,-2.0,-7.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,39.0,-2.0,-3.0,-5.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,40.0,-5.0,,-5.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,41.0,1.0,-7.0,-5.0,-4.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,42.0,-6.0,-3.0,-4.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,43.0,-6.0,-9.0,2.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,44.0,-6.0,-4.0,-4.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,45.0,-1.0,-7.0,-7.0,,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,46.0,-3.0,-3.0,,-8.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,47.0,-1.0,-4.0,-4.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,48.0,-1.0,-8.0,,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,49.0,-4.0,-4.0,-4.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,50.0,-8.0,-6.0,2.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,51.0,-4.0,-1.0,-1.0,-7.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,52.0,-4.0,-4.0,1.0,-6.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,53.0,1.0,-6.0,-3.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,54.0,-1.0,-8.0,,-4.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,55.0,1.0,-6.0,-6.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,56.0,-3.0,-2.0,-6.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,57.0,-1.0,-4.0,-6.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,58.0,-4.0,-4.0,-4.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,59.0,-1.0,-4.0,-1.0,-6.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,60.0,,-5.0,-2.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,61.0,-4.0,-1.0,-3.0,-4.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,62.0,-3.0,-4.0,-1.0,-4.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,63.0,-5.0,-4.0,1.0,-4.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,64.0,-5.0,-2.0,-6.0,1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,65.0,-2.0,-4.0,1.0,-6.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,66.0,-3.0,-2.0,-3.0,-3.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,67.0,-1.0,-5.0,-3.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,68.0,-3.0,-4.0,-3.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,69.0,-3.0,-3.0,-1.0,-3.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,70.0,-3.0,-2.0,-4.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,71.0,-3.0,-4.0,-2.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,72.0,-1.0,-5.0,-4.0,,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,73.0,-2.0,-3.0,-2.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,74.0,,-5.0,-2.0,-2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,75.0,-2.0,-4.0,-2.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,76.0,-3.0,-2.0,2.0,-5.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,77.0,-3.0,-2.0,-2.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,78.0,-3.0,-2.0,-3.0,,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,79.0,,-5.0,-2.0,,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,80.0,-4.0,-2.0,-3.0,2.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,81.0,-5.0,-1.0,1.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,82.0,-7.0,1.0,-1.0,1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,83.0,-1.0,-4.0,2.0,-1.0,,,2022,AT&T Byron Nelson,,
AT&T Byron Nelson,,,84.0,-3.0,-2.0,-1.0,2.0,,,2022,AT&T Byron Nelson,,
