tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
AT&T Pebble Beach Pro-Am,,,1.0,-4.0,-1.0,-9.0,-3.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,2.0,-3.0,-6.0,,-5.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,3.0,-5.0,,-5.0,-4.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,4.0,-3.0,-6.0,-3.0,-2.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,5.0,-5.0,-7.0,-2.0,,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,6.0,-7.0,-2.0,,-4.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,7.0,,-3.0,-3.0,-6.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,8.0,2.0,-4.0,-2.0,-6.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,9.0,1.0,-3.0,-3.0,-5.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,10.0,-4.0,-2.0,1.0,-5.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,11.0,-5.0,-2.0,-1.0,-2.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,12.0,-3.0,-2.0,-4.0,-1.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,13.0,-2.0,-6.0,-3.0,1.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,14.0,-5.0,-5.0,-2.0,2.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,15.0,-3.0,-1.0,1.0,-6.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,16.0,-1.0,-1.0,-5.0,-2.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,17.0,-1.0,-3.0,-3.0,-2.0,,,2018,AT&T Pebble Beach Pro-Am,,
AT&T Pebble Beach Pro-Am,,,18.0,-3.0,-2.0,-2.0,-2.0,,,2018,AT&T Pebble Beach Pro-Am,,
