tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
A Military Tribute at The Greenbrier,,,1.0,-5.0,-8.0,-2.0,-6.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,2.0,-2.0,-5.0,-3.0,-5.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,3.0,-5.0,-4.0,,-5.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,4.0,-4.0,-5.0,-2.0,-3.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,5.0,-2.0,-6.0,-5.0,-1.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,6.0,-3.0,-5.0,-5.0,-1.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,7.0,-1.0,-4.0,-4.0,-4.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,8.0,-5.0,-8.0,1.0,-1.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,9.0,-8.0,-5.0,,,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,10.0,-2.0,-2.0,-2.0,-6.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,11.0,-2.0,-4.0,-2.0,-4.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,12.0,-6.0,,-3.0,-3.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,13.0,-6.0,-2.0,,-3.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,14.0,-1.0,-3.0,-3.0,-3.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,15.0,-4.0,-2.0,-2.0,-2.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,16.0,-6.0,,-2.0,-2.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,17.0,-3.0,-3.0,-5.0,1.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,18.0,-4.0,-8.0,,2.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,19.0,-1.0,-5.0,-1.0,-2.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,20.0,-5.0,-4.0,2.0,-2.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,21.0,-5.0,-2.0,-1.0,-1.0,,,2020,A Military Tribute at The Greenbrier,,
A Military Tribute at The Greenbrier,,,22.0,-3.0,-4.0,-1.0,-1.0,,,2020,A Military Tribute at The Greenbrier,,
