tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Arnold Palmer Invitational Pres. By Mastercard,,,1.0,-3.0,-2.0,1.0,-8.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,2.0,-2.0,-2.0,-5.0,-1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,3.0,-1.0,-3.0,-1.0,-4.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,4.0,-3.0,-6.0,4.0,-4.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,5.0,-7.0,3.0,-2.0,-3.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,6.0,-1.0,-4.0,3.0,-6.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,7.0,-3.0,,-1.0,-4.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,8.0,-1.0,-3.0,-3.0,-1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,9.0,,-2.0,-6.0,,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,10.0,2.0,-1.0,-3.0,-5.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,11.0,,,-3.0,-4.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,12.0,-2.0,-1.0,-1.0,-3.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,13.0,-2.0,1.0,-4.0,-2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,14.0,-2.0,,-4.0,-1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,15.0,-1.0,1.0,-6.0,,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,16.0,2.0,-5.0,-3.0,,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,17.0,1.0,,-2.0,-4.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,18.0,-1.0,-1.0,-1.0,-2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,19.0,-2.0,-1.0,,-2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,20.0,5.0,-6.0,-3.0,-1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,21.0,-4.0,,-1.0,,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,22.0,-2.0,-2.0,-3.0,2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,23.0,,-2.0,,-2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,24.0,1.0,-4.0,1.0,-2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,25.0,-3.0,-2.0,3.0,-2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,26.0,-1.0,-2.0,,-1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,27.0,-2.0,-3.0,2.0,-1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,28.0,-2.0,-3.0,-2.0,3.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,29.0,-2.0,2.0,1.0,-4.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,30.0,-2.0,1.0,-1.0,-1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,31.0,,-1.0,-2.0,,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,32.0,-2.0,3.0,-6.0,2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,33.0,2.0,-3.0,2.0,-3.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,34.0,2.0,-3.0,2.0,-3.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,35.0,-1.0,,1.0,-2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,36.0,-1.0,,,-1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,37.0,-2.0,3.0,-4.0,1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,38.0,,-2.0,-1.0,1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,39.0,,-3.0,-2.0,3.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,40.0,4.0,-3.0,2.0,-4.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,41.0,2.0,-2.0,1.0,-2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,42.0,-2.0,-1.0,4.0,-2.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
Arnold Palmer Invitational Pres. By Mastercard,,,43.0,2.0,-1.0,-1.0,-1.0,,,2019,Arnold Palmer Invitational Pres. By Mastercard,,
