tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Arnold Palmer Invitational pres. by Mastercard,,,1.0,-5.0,-4.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,2.0,1.0,-3.0,-4.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,3.0,-3.0,,-3.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,4.0,-4.0,-1.0,2.0,-4.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,5.0,-4.0,-3.0,2.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,6.0,-1.0,,-6.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,7.0,-4.0,,-4.0,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,8.0,-2.0,-3.0,5.0,-6.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,9.0,-3.0,1.0,-1.0,-3.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,10.0,-4.0,5.0,-1.0,-5.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,11.0,-1.0,1.0,-3.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,12.0,-5.0,1.0,,-1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,13.0,-1.0,-1.0,-6.0,3.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,14.0,1.0,1.0,-1.0,-5.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,15.0,-2.0,-3.0,4.0,-3.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,16.0,-3.0,3.0,-2.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,17.0,,-2.0,,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,18.0,-3.0,,1.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,19.0,-2.0,-1.0,-1.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,20.0,2.0,-1.0,-6.0,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,21.0,-1.0,-1.0,,-1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,22.0,,-6.0,3.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,23.0,,-5.0,,2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,24.0,,,4.0,-6.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,25.0,-3.0,1.0,1.0,-1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,26.0,,1.0,-3.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,27.0,,-3.0,1.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,28.0,-3.0,,1.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,29.0,-2.0,,-1.0,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,30.0,-2.0,-2.0,1.0,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,31.0,-4.0,3.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,32.0,-3.0,-1.0,3.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,33.0,-4.0,1.0,1.0,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,34.0,-2.0,,4.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,35.0,,-2.0,4.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,36.0,-3.0,3.0,1.0,-1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,37.0,,,1.0,-1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,38.0,-2.0,1.0,-1.0,2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,39.0,3.0,-3.0,4.0,-3.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,40.0,,2.0,1.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,41.0,-1.0,2.0,2.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,42.0,-2.0,3.0,1.0,-1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,43.0,-1.0,,3.0,-1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,44.0,-2.0,2.0,1.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,45.0,-1.0,,2.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,46.0,-7.0,4.0,4.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,47.0,-5.0,3.0,2.0,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,48.0,1.0,,-2.0,2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,49.0,-1.0,,,2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,50.0,3.0,-5.0,1.0,2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,51.0,-3.0,4.0,-3.0,3.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,52.0,-4.0,-2.0,3.0,4.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,53.0,3.0,-1.0,2.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,54.0,-2.0,3.0,2.0,-1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,55.0,-4.0,2.0,4.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,56.0,1.0,,,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,57.0,-1.0,1.0,1.0,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,58.0,-1.0,3.0,-2.0,2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,59.0,1.0,-2.0,,3.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,60.0,,-1.0,-1.0,4.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,61.0,-1.0,1.0,5.0,-2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,62.0,2.0,-1.0,2.0,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,63.0,1.0,-1.0,2.0,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,64.0,1.0,1.0,-2.0,3.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,65.0,-1.0,1.0,3.0,1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,66.0,,1.0,-3.0,6.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,67.0,,-2.0,8.0,-1.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,68.0,3.0,-1.0,4.0,2.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,69.0,1.0,1.0,,6.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,70.0,1.0,,12.0,-3.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,71.0,3.0,-3.0,4.0,6.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,72.0,,2.0,4.0,6.0,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,73.0,5.0,-2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,74.0,2.0,1.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,75.0,2.0,1.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,76.0,2.0,1.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,77.0,1.0,2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,78.0,,3.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,79.0,,3.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,80.0,-1.0,4.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,81.0,-1.0,4.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,82.0,-2.0,5.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,83.0,-2.0,5.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,84.0,5.0,-1.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,85.0,4.0,,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,86.0,2.0,2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,87.0,2.0,2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,88.0,1.0,3.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,89.0,,4.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,90.0,-3.0,7.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,91.0,4.0,1.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,92.0,3.0,2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,93.0,3.0,2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,94.0,3.0,2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,95.0,-1.0,6.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,96.0,4.0,2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,97.0,3.0,3.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,98.0,3.0,3.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,99.0,2.0,4.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,100.0,1.0,5.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,101.0,5.0,2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,102.0,5.0,2.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,103.0,2.0,5.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,104.0,,7.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,105.0,7.0,1.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,106.0,1.0,7.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,107.0,,8.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,108.0,8.0,1.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,109.0,4.0,5.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,110.0,2.0,7.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,111.0,2.0,7.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,112.0,5.0,5.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,113.0,3.0,7.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,114.0,3.0,7.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,115.0,1.0,9.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,116.0,3.0,8.0,,,,,2023,Puerto Rico Open,,
Arnold Palmer Invitational pres. by Mastercard,,,117.0,5.0,8.0,,,,,2023,Puerto Rico Open,,
