tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Arnold Palmer Invitational presented by Mastercard,,,1.0,-1.0,-6.0,-1.0,-3.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,2.0,-2.0,-5.0,-4.0,1.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,3.0,-4.0,-6.0,-1.0,1.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,4.0,2.0,-1.0,-7.0,-3.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,5.0,,-3.0,-5.0,-1.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,6.0,-2.0,-2.0,-3.0,-1.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,7.0,-5.0,-4.0,6.0,-4.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,8.0,-2.0,-4.0,2.0,-3.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,9.0,-4.0,-3.0,,,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,10.0,1.0,,-3.0,-4.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,11.0,6.0,-6.0,-2.0,-4.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,12.0,2.0,,-7.0,,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,13.0,,-2.0,1.0,-3.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,14.0,,1.0,-5.0,,,,2017,Arnold Palmer Invitational presented by Mastercard,,
Arnold Palmer Invitational presented by Mastercard,,,15.0,-1.0,-2.0,-2.0,1.0,,,2017,Arnold Palmer Invitational presented by Mastercard,,
