tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
BMW Championship,,,1.0,-9.0,-7.0,-3.0,-4.0,,,2017,BMW Championship,,
BMW Championship,,,2.0,-4.0,-3.0,-5.0,-6.0,,,2017,BMW Championship,,
BMW Championship,,,3.0,-6.0,-7.0,-1.0,-4.0,,,2017,BMW Championship,,
BMW Championship,,,4.0,-7.0,-6.0,-1.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,5.0,-2.0,-3.0,-6.0,-4.0,,,2017,BMW Championship,,
BMW Championship,,,6.0,-4.0,-3.0,-4.0,-4.0,,,2017,BMW Championship,,
BMW Championship,,,7.0,-6.0,1.0,-1.0,-7.0,,,2017,BMW Championship,,
BMW Championship,,,8.0,-6.0,-1.0,,-6.0,,,2017,BMW Championship,,
BMW Championship,,,9.0,-4.0,,-3.0,-5.0,,,2017,BMW Championship,,
BMW Championship,,,10.0,-5.0,2.0,-6.0,-3.0,,,2017,BMW Championship,,
BMW Championship,,,11.0,-4.0,-6.0,-1.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,12.0,,-1.0,-2.0,-8.0,,,2017,BMW Championship,,
BMW Championship,,,13.0,-2.0,-4.0,-1.0,-4.0,,,2017,BMW Championship,,
BMW Championship,,,14.0,-3.0,-6.0,1.0,-3.0,,,2017,BMW Championship,,
BMW Championship,,,15.0,-1.0,-4.0,-4.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,16.0,-3.0,-3.0,-3.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,17.0,-3.0,-1.0,-6.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,18.0,-5.0,-3.0,-2.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,19.0,-3.0,-4.0,-4.0,,,,2017,BMW Championship,,
BMW Championship,,,20.0,-4.0,,1.0,-7.0,,,2017,BMW Championship,,
BMW Championship,,,21.0,1.0,-1.0,-6.0,-4.0,,,2017,BMW Championship,,
BMW Championship,,,22.0,-1.0,-2.0,-5.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,23.0,-3.0,-1.0,-4.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,24.0,-5.0,-2.0,-2.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,25.0,-2.0,-5.0,-4.0,1.0,,,2017,BMW Championship,,
BMW Championship,,,26.0,-2.0,-5.0,-4.0,1.0,,,2017,BMW Championship,,
BMW Championship,,,27.0,-2.0,2.0,-5.0,-4.0,,,2017,BMW Championship,,
BMW Championship,,,28.0,-2.0,-5.0,,-2.0,,,2017,BMW Championship,,
BMW Championship,,,29.0,-4.0,-4.0,1.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,30.0,-6.0,1.0,-3.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,31.0,-4.0,-5.0,-1.0,1.0,,,2017,BMW Championship,,
BMW Championship,,,32.0,-7.0,,-4.0,2.0,,,2017,BMW Championship,,
BMW Championship,,,33.0,,1.0,-2.0,-7.0,,,2017,BMW Championship,,
BMW Championship,,,34.0,-3.0,-1.0,-2.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,35.0,-2.0,-4.0,,-2.0,,,2017,BMW Championship,,
BMW Championship,,,36.0,-6.0,,-1.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,37.0,-3.0,-3.0,-2.0,,,,2017,BMW Championship,,
BMW Championship,,,38.0,-3.0,-3.0,-2.0,,,,2017,BMW Championship,,
BMW Championship,,,39.0,-7.0,-1.0,,,,,2017,BMW Championship,,
BMW Championship,,,40.0,,,-1.0,-6.0,,,2017,BMW Championship,,
BMW Championship,,,41.0,-2.0,-2.0,-1.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,42.0,-2.0,-2.0,-1.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,43.0,-3.0,-5.0,2.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,44.0,2.0,-2.0,-1.0,-5.0,,,2017,BMW Championship,,
BMW Championship,,,45.0,-3.0,-5.0,1.0,1.0,,,2017,BMW Championship,,
BMW Championship,,,46.0,-4.0,-3.0,-2.0,3.0,,,2017,BMW Championship,,
BMW Championship,,,47.0,1.0,-3.0,-1.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,48.0,-1.0,-3.0,,-1.0,,,2017,BMW Championship,,
BMW Championship,,,49.0,-4.0,-1.0,,,,,2017,BMW Championship,,
BMW Championship,,,50.0,-5.0,,-1.0,1.0,,,2017,BMW Championship,,
BMW Championship,,,51.0,,-1.0,,-3.0,,,2017,BMW Championship,,
BMW Championship,,,52.0,1.0,-5.0,-2.0,2.0,,,2017,BMW Championship,,
BMW Championship,,,53.0,2.0,2.0,1.0,-8.0,,,2017,BMW Championship,,
BMW Championship,,,54.0,,-2.0,,-1.0,,,2017,BMW Championship,,
BMW Championship,,,55.0,-4.0,-2.0,4.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,56.0,2.0,-1.0,-5.0,1.0,,,2017,BMW Championship,,
BMW Championship,,,57.0,2.0,-3.0,-3.0,1.0,,,2017,BMW Championship,,
BMW Championship,,,58.0,1.0,,1.0,-4.0,,,2017,BMW Championship,,
BMW Championship,,,59.0,-1.0,1.0,1.0,-3.0,,,2017,BMW Championship,,
BMW Championship,,,60.0,3.0,-5.0,1.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,61.0,1.0,-2.0,-1.0,,,,2017,BMW Championship,,
BMW Championship,,,62.0,-3.0,3.0,,-1.0,,,2017,BMW Championship,,
BMW Championship,,,63.0,6.0,3.0,-5.0,-4.0,,,2017,BMW Championship,,
BMW Championship,,,64.0,,-3.0,3.0,,,,2017,BMW Championship,,
BMW Championship,,,65.0,1.0,1.0,,-1.0,,,2017,BMW Championship,,
BMW Championship,,,66.0,2.0,-1.0,-5.0,6.0,,,2017,BMW Championship,,
BMW Championship,,,67.0,,,4.0,-1.0,,,2017,BMW Championship,,
BMW Championship,,,68.0,-3.0,5.0,-2.0,3.0,,,2017,BMW Championship,,
BMW Championship,,,69.0,5.0,,1.0,-2.0,,,2017,BMW Championship,,
BMW Championship,,,70.0,,,,,,,2017,BMW Championship,,
