tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Barracuda Championship,,,1.0,6.0,8.0,17.0,9.0,,,2023,The Open,0.0,
Barracuda Championship,,,2.0,15.0,11.0,8.0,6.0,,,2023,The Open,1.0,
Barracuda Championship,,,3.0,11.0,4.0,2.0,20.0,,,2023,The Open,,
Barracuda Championship,,,4.0,7.0,6.0,9.0,15.0,,,2023,The Open,,
Barracuda Championship,,,5.0,16.0,14.0,3.0,3.0,,,2023,The Open,,
Barracuda Championship,,,6.0,8.0,3.0,10.0,14.0,,,2023,The Open,,
Barracuda Championship,,,7.0,11.0,7.0,3.0,14.0,,,2023,The Open,,
Barracuda Championship,,,8.0,14.0,5.0,8.0,8.0,,,2023,The Open,,
Barracuda Championship,,,9.0,17.0,5.0,8.0,5.0,,,2023,The Open,,
Barracuda Championship,,,10.0,10.0,11.0,-2.0,15.0,,,2023,The Open,,
Barracuda Championship,,,11.0,9.0,2.0,9.0,14.0,,,2023,The Open,,
Barracuda Championship,,,12.0,10.0,4.0,7.0,13.0,,,2023,The Open,,
Barracuda Championship,,,13.0,5.0,10.0,6.0,13.0,,,2023,The Open,,
Barracuda Championship,,,14.0,8.0,7.0,8.0,11.0,,,2023,The Open,,
Barracuda Championship,,,15.0,1.0,16.0,6.0,11.0,,,2023,The Open,,
Barracuda Championship,,,16.0,10.0,3.0,16.0,5.0,,,2023,The Open,,
Barracuda Championship,,,17.0,10.0,5.0,8.0,10.0,,,2023,The Open,,
Barracuda Championship,,,18.0,10.0,6.0,9.0,8.0,,,2023,The Open,,
Barracuda Championship,,,19.0,9.0,11.0,8.0,5.0,,,2023,The Open,,
Barracuda Championship,,,20.0,13.0,1.0,8.0,10.0,,,2023,The Open,,
Barracuda Championship,,,21.0,8.0,11.0,4.0,9.0,,,2023,The Open,,
Barracuda Championship,,,22.0,8.0,7.0,10.0,7.0,,,2023,The Open,,
Barracuda Championship,,,23.0,2.0,10.0,14.0,6.0,,,2023,The Open,,
Barracuda Championship,,,24.0,5.0,8.0,13.0,6.0,,,2023,The Open,,
Barracuda Championship,,,25.0,11.0,12.0,1.0,7.0,,,2023,The Open,,
