tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Bermuda Championship,,,1.0,-3.0,-8.0,-4.0,-9.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,2.0,-5.0,-6.0,-6.0,-3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,3.0,-5.0,-1.0,-4.0,-8.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,4.0,-4.0,-6.0,-2.0,-6.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,5.0,-9.0,-2.0,-2.0,-5.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,6.0,-2.0,-6.0,-6.0,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,7.0,-4.0,-2.0,-5.0,-6.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,8.0,-4.0,-3.0,-3.0,-5.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,9.0,-1.0,-5.0,-6.0,-3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,10.0,-8.0,-2.0,-2.0,-3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,11.0,1.0,-4.0,-4.0,-7.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,12.0,-2.0,-5.0,-4.0,-3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,13.0,-7.0,-2.0,-3.0,-2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,14.0,-7.0,,-7.0,,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,15.0,-2.0,-4.0,-3.0,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,16.0,-4.0,,-6.0,-3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,17.0,-3.0,-2.0,-5.0,-3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,18.0,-5.0,-5.0,3.0,-5.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,19.0,-1.0,-3.0,-4.0,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,20.0,,-5.0,-3.0,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,21.0,-5.0,-1.0,-2.0,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,22.0,-5.0,-1.0,-2.0,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,23.0,-3.0,-4.0,-3.0,-2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,24.0,-5.0,-3.0,3.0,-6.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,25.0,-7.0,-1.0,2.0,-5.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,26.0,-4.0,-2.0,-1.0,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,27.0,,-3.0,-5.0,-3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,28.0,-1.0,-3.0,-1.0,-5.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,29.0,-4.0,-2.0,1.0,-5.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,30.0,-3.0,-2.0,-1.0,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,31.0,-1.0,-4.0,1.0,-5.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,32.0,-4.0,-1.0,-1.0,-3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,33.0,-5.0,-3.0,,-1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,34.0,-1.0,-2.0,-6.0,,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,35.0,-3.0,-2.0,2.0,-5.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,36.0,-2.0,,-3.0,-3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,37.0,,-5.0,-1.0,-2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,38.0,-3.0,-1.0,-3.0,-1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,39.0,-2.0,-1.0,-5.0,,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,40.0,-3.0,-2.0,-4.0,1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,41.0,-1.0,-1.0,-1.0,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,42.0,-2.0,-1.0,,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,43.0,-5.0,,,-2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,44.0,-2.0,-2.0,-2.0,-1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,45.0,-1.0,-4.0,-2.0,,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,46.0,-2.0,-3.0,-3.0,1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,47.0,-1.0,-4.0,-3.0,1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,48.0,-1.0,-1.0,,-4.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,49.0,-2.0,-1.0,-1.0,-2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,50.0,-2.0,-2.0,-1.0,-1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,51.0,-1.0,-1.0,-1.0,-2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,52.0,-3.0,-3.0,,1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,53.0,,-2.0,,-2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,54.0,-2.0,,-1.0,-1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,55.0,2.0,-4.0,-1.0,-1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,56.0,,-5.0,1.0,,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,57.0,-1.0,-3.0,-1.0,2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,58.0,-2.0,,2.0,-2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,59.0,-2.0,-2.0,4.0,-2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,60.0,-2.0,-4.0,4.0,,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,61.0,-3.0,-1.0,1.0,1.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,62.0,-4.0,2.0,-1.0,2.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,63.0,-6.0,,2.0,3.0,,,2020,WGC-HSBC CHAMPIONS,,
Bermuda Championship,,,64.0,-2.0,-2.0,2.0,2.0,,,2020,WGC-HSBC CHAMPIONS,,
