tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Black Desert Championship,,,1.0,-9.0,-3.0,-7.0,-4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,2.0,-6.0,-8.0,-3.0,-3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,3.0,-2.0,-5.0,-3.0,-9.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,4.0,-7.0,-2.0,-8.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,5.0,-1.0,-4.0,-4.0,-9.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,6.0,-5.0,-3.0,-9.0,,,,2024,Black Desert Championship,,
Black Desert Championship,,,7.0,-5.0,-7.0,-5.0,,,,2024,Black Desert Championship,,
Black Desert Championship,,,8.0,-5.0,,-5.0,-6.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,9.0,-5.0,-6.0,-1.0,-4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,10.0,-9.0,-3.0,-1.0,-3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,11.0,-3.0,-2.0,-4.0,-6.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,12.0,1.0,-7.0,-3.0,-6.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,13.0,-3.0,-3.0,-3.0,-6.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,14.0,-4.0,-2.0,-4.0,-5.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,15.0,-5.0,-2.0,-4.0,-4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,16.0,-4.0,-5.0,-2.0,-4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,17.0,-6.0,-4.0,-2.0,-3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,18.0,-3.0,-3.0,-7.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,19.0,-4.0,-4.0,-5.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,20.0,-5.0,-4.0,-5.0,-1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,21.0,1.0,-6.0,-4.0,-5.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,22.0,-5.0,-2.0,-3.0,-4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,23.0,-6.0,-3.0,-3.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,24.0,-2.0,-5.0,-7.0,,,,2024,Black Desert Championship,,
Black Desert Championship,,,25.0,-5.0,-2.0,-1.0,-5.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,26.0,-5.0,-4.0,1.0,-5.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,27.0,-4.0,-1.0,-4.0,-4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,28.0,-3.0,-4.0,-2.0,-4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,29.0,-4.0,-2.0,-5.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,30.0,-2.0,-4.0,-5.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,31.0,-2.0,-7.0,-2.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,32.0,-6.0,-1.0,-5.0,-1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,33.0,-11.0,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,34.0,-6.0,-1.0,-7.0,1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,35.0,-4.0,-1.0,-4.0,-3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,36.0,-5.0,-3.0,-1.0,-3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,37.0,1.0,-6.0,-6.0,-1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,38.0,-2.0,-4.0,-5.0,-1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,39.0,-6.0,-2.0,-7.0,3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,40.0,3.0,-8.0,-4.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,41.0,-7.0,-5.0,3.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,42.0,-4.0,-4.0,-2.0,-1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,43.0,-5.0,,-5.0,,,,2024,Black Desert Championship,,
Black Desert Championship,,,44.0,-2.0,-5.0,-3.0,,,,2024,Black Desert Championship,,
Black Desert Championship,,,45.0,-3.0,-5.0,-3.0,1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,46.0,-5.0,-1.0,1.0,-4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,47.0,-4.0,-2.0,,-3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,48.0,-4.0,-2.0,-1.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,49.0,-6.0,1.0,-3.0,-1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,50.0,-6.0,-2.0,-1.0,,,,2024,Black Desert Championship,,
Black Desert Championship,,,51.0,-3.0,-4.0,-3.0,1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,52.0,-6.0,-1.0,-5.0,3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,53.0,-6.0,-7.0,,4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,54.0,-1.0,-4.0,-1.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,55.0,-4.0,-1.0,-2.0,-1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,56.0,-1.0,-4.0,-2.0,-1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,57.0,-3.0,-3.0,-1.0,-1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,58.0,-1.0,-5.0,-3.0,1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,59.0,-1.0,-8.0,,1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,60.0,-3.0,-3.0,-1.0,1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,61.0,-3.0,-3.0,,1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,62.0,-5.0,-4.0,1.0,3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,63.0,-2.0,-3.0,3.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,64.0,-4.0,-3.0,6.0,-2.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,65.0,-3.0,-2.0,-1.0,3.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,66.0,-3.0,-2.0,-1.0,4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,67.0,-3.0,-3.0,4.0,1.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,68.0,-3.0,-2.0,5.0,,,,2024,Black Desert Championship,,
Black Desert Championship,,,69.0,-3.0,-2.0,3.0,4.0,,,2024,Black Desert Championship,,
Black Desert Championship,,,70.0,,-4.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,71.0,,-4.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,72.0,-1.0,-3.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,73.0,-2.0,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,74.0,-2.0,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,75.0,-2.0,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,76.0,-4.0,,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,77.0,-1.0,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,78.0,-1.0,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,79.0,-1.0,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,80.0,-1.0,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,81.0,-2.0,-1.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,82.0,-2.0,-1.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,83.0,-2.0,-1.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,84.0,-3.0,,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,85.0,-3.0,,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,86.0,2.0,-4.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,87.0,,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,88.0,,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,89.0,,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,90.0,,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,91.0,-1.0,-1.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,92.0,-2.0,,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,93.0,-2.0,,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,94.0,-4.0,2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,95.0,-5.0,3.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,96.0,4.0,-5.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,97.0,1.0,-2.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,98.0,,-1.0,,,,,2024,Black Desert Championship,,
Black Desert Championship,,,99.0,,-1.0,,,,,2024,Black Desert Championship,,
