tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
CIMB Classic,,,1.0,-8.0,-6.0,-1.0,-8.0,,,2017,CIMB Classic,,
CIMB Classic,,,2.0,-3.0,-8.0,-3.0,-6.0,,,2017,CIMB Classic,,
CIMB Classic,,,3.0,-8.0,-2.0,-4.0,-5.0,,,2017,CIMB Classic,,
CIMB Classic,,,4.0,-6.0,-6.0,-7.0,,,,2017,CIMB Classic,,
CIMB Classic,,,5.0,-3.0,-7.0,-1.0,-6.0,,,2017,CIMB Classic,,
CIMB Classic,,,6.0,-8.0,,-4.0,-4.0,,,2017,CIMB Classic,,
CIMB Classic,,,7.0,2.0,-3.0,-9.0,-5.0,,,2017,CIMB Classic,,
CIMB Classic,,,8.0,-3.0,-2.0,-6.0,-4.0,,,2017,CIMB Classic,,
CIMB Classic,,,9.0,-3.0,-8.0,-3.0,,,,2017,CIMB Classic,,
CIMB Classic,,,10.0,-2.0,-6.0,1.0,-6.0,,,2017,CIMB Classic,,
CIMB Classic,,,11.0,-5.0,-1.0,-3.0,-4.0,,,2017,CIMB Classic,,
CIMB Classic,,,12.0,-2.0,-3.0,-6.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,13.0,-3.0,-4.0,-4.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,14.0,-3.0,-5.0,-3.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,15.0,-4.0,-4.0,-5.0,,,,2017,CIMB Classic,,
CIMB Classic,,,16.0,-2.0,-9.0,-4.0,2.0,,,2017,CIMB Classic,,
CIMB Classic,,,17.0,-1.0,-3.0,-3.0,-5.0,,,2017,CIMB Classic,,
CIMB Classic,,,18.0,-5.0,,-5.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,19.0,-1.0,-7.0,-2.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,20.0,2.0,-7.0,-6.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,21.0,-2.0,-3.0,,-6.0,,,2017,CIMB Classic,,
CIMB Classic,,,22.0,-1.0,-3.0,-5.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,23.0,-2.0,-3.0,-4.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,24.0,-2.0,-4.0,-3.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,25.0,-7.0,,-2.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,26.0,-4.0,-2.0,-2.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,27.0,-5.0,-3.0,-3.0,1.0,,,2017,CIMB Classic,,
CIMB Classic,,,28.0,-2.0,-6.0,-3.0,1.0,,,2017,CIMB Classic,,
CIMB Classic,,,29.0,-2.0,-4.0,1.0,-4.0,,,2017,CIMB Classic,,
CIMB Classic,,,30.0,-2.0,-3.0,-1.0,-3.0,,,2017,CIMB Classic,,
CIMB Classic,,,31.0,-2.0,-3.0,-1.0,-3.0,,,2017,CIMB Classic,,
CIMB Classic,,,32.0,-1.0,-3.0,-4.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,33.0,2.0,-5.0,-1.0,-4.0,,,2017,CIMB Classic,,
CIMB Classic,,,34.0,-2.0,,-3.0,-3.0,,,2017,CIMB Classic,,
CIMB Classic,,,35.0,-3.0,,-4.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,36.0,-5.0,2.0,-4.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,37.0,-1.0,-5.0,-1.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,38.0,-2.0,,-6.0,,,,2017,CIMB Classic,,
CIMB Classic,,,39.0,,,-2.0,-5.0,,,2017,CIMB Classic,,
CIMB Classic,,,40.0,-4.0,-3.0,1.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,41.0,-1.0,-2.0,-4.0,,,,2017,CIMB Classic,,
CIMB Classic,,,42.0,-4.0,-1.0,-2.0,,,,2017,CIMB Classic,,
CIMB Classic,,,43.0,-1.0,-3.0,-6.0,3.0,,,2017,CIMB Classic,,
CIMB Classic,,,44.0,-4.0,-3.0,-3.0,3.0,,,2017,CIMB Classic,,
CIMB Classic,,,45.0,-3.0,1.0,,-4.0,,,2017,CIMB Classic,,
CIMB Classic,,,46.0,,,-3.0,-3.0,,,2017,CIMB Classic,,
CIMB Classic,,,47.0,-1.0,-1.0,-4.0,,,,2017,CIMB Classic,,
CIMB Classic,,,48.0,-2.0,1.0,-6.0,1.0,,,2017,CIMB Classic,,
CIMB Classic,,,49.0,1.0,-3.0,-6.0,2.0,,,2017,CIMB Classic,,
CIMB Classic,,,50.0,-3.0,1.0,-1.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,51.0,,1.0,-1.0,-4.0,,,2017,CIMB Classic,,
CIMB Classic,,,52.0,,5.0,-6.0,-3.0,,,2017,CIMB Classic,,
CIMB Classic,,,53.0,-2.0,1.0,-2.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,54.0,-1.0,-3.0,-1.0,1.0,,,2017,CIMB Classic,,
CIMB Classic,,,55.0,-4.0,1.0,-6.0,5.0,,,2017,CIMB Classic,,
CIMB Classic,,,56.0,1.0,-2.0,2.0,-4.0,,,2017,CIMB Classic,,
CIMB Classic,,,57.0,,-1.0,-1.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,58.0,2.0,,-5.0,,,,2017,CIMB Classic,,
CIMB Classic,,,59.0,,-3.0,-2.0,2.0,,,2017,CIMB Classic,,
CIMB Classic,,,60.0,-1.0,5.0,-4.0,-2.0,,,2017,CIMB Classic,,
CIMB Classic,,,61.0,-2.0,5.0,-4.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,62.0,3.0,-3.0,-1.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,63.0,-2.0,-2.0,,2.0,,,2017,CIMB Classic,,
CIMB Classic,,,64.0,2.0,-2.0,-5.0,3.0,,,2017,CIMB Classic,,
CIMB Classic,,,65.0,-2.0,-3.0,-1.0,5.0,,,2017,CIMB Classic,,
CIMB Classic,,,66.0,7.0,1.0,-4.0,-4.0,,,2017,CIMB Classic,,
CIMB Classic,,,67.0,3.0,-2.0,-1.0,,,,2017,CIMB Classic,,
CIMB Classic,,,68.0,,-1.0,1.0,,,,2017,CIMB Classic,,
CIMB Classic,,,69.0,-1.0,-1.0,3.0,,,,2017,CIMB Classic,,
CIMB Classic,,,70.0,2.0,2.0,1.0,-3.0,,,2017,CIMB Classic,,
CIMB Classic,,,71.0,1.0,,1.0,2.0,,,2017,CIMB Classic,,
CIMB Classic,,,72.0,1.0,-1.0,1.0,3.0,,,2017,CIMB Classic,,
CIMB Classic,,,73.0,-2.0,,2.0,4.0,,,2017,CIMB Classic,,
CIMB Classic,,,74.0,-3.0,5.0,4.0,-1.0,,,2017,CIMB Classic,,
CIMB Classic,,,75.0,1.0,2.0,2.0,1.0,,,2017,CIMB Classic,,
CIMB Classic,,,76.0,-1.0,2.0,-1.0,11.0,,,2017,CIMB Classic,,
CIMB Classic,,,77.0,5.0,6.0,6.0,,,,2017,CIMB Classic,,
