tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Cadence Bank Houston Open,,,1.0,-5.0,-8.0,-2.0,-1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,2.0,-4.0,-4.0,,-4.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,3.0,-4.0,-2.0,-5.0,,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,4.0,1.0,-6.0,,-3.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,5.0,-3.0,-4.0,2.0,-3.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,6.0,-5.0,-4.0,3.0,-2.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,7.0,,-5.0,,-2.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,8.0,,-6.0,,-1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,9.0,,-3.0,,-3.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,10.0,,-4.0,1.0,-3.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,11.0,-4.0,,,-2.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,12.0,,-5.0,,-1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,13.0,-1.0,-3.0,-3.0,1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,14.0,-3.0,-2.0,-2.0,1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,15.0,-3.0,-1.0,-4.0,2.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,16.0,-1.0,-1.0,-1.0,-2.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,17.0,-3.0,-3.0,1.0,,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,18.0,-3.0,,-3.0,1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,19.0,-4.0,-2.0,,1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,20.0,-2.0,-7.0,3.0,1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,21.0,-4.0,-2.0,-2.0,3.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,22.0,1.0,-2.0,3.0,-6.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,23.0,-2.0,-1.0,3.0,-4.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,24.0,-4.0,3.0,,-3.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,25.0,-5.0,1.0,1.0,-1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,26.0,3.0,-4.0,,-2.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,27.0,4.0,-5.0,1.0,-2.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,28.0,-2.0,2.0,-1.0,-1.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,29.0,-3.0,2.0,-1.0,,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,30.0,2.0,-2.0,-4.0,2.0,,,2023,Cadence Bank Houston Open,,
Cadence Bank Houston Open,,,31.0,1.0,-6.0,1.0,2.0,,,2023,Cadence Bank Houston Open,,
