tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
CareerBuilder Challenge,,,1.0,-7.0,-7.0,-1.0,-5.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,2.0,-1.0,-3.0,-13.0,-2.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,3.0,-3.0,-5.0,-7.0,-3.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,4.0,-5.0,-7.0,-3.0,-3.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,5.0,-8.0,-5.0,-3.0,-1.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,6.0,-4.0,-8.0,-2.0,-2.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,7.0,-6.0,-3.0,-6.0,-1.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,8.0,-5.0,-1.0,-3.0,-6.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,9.0,-5.0,-3.0,-3.0,-3.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,10.0,-4.0,-6.0,-1.0,-3.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,11.0,-3.0,-5.0,-4.0,-2.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,12.0,-3.0,-1.0,-2.0,-7.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,13.0,-3.0,1.0,-6.0,-5.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,14.0,-4.0,-2.0,-5.0,-2.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,15.0,-5.0,-4.0,-2.0,-2.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,16.0,-4.0,-3.0,-5.0,-1.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,17.0,-4.0,,-4.0,-4.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,18.0,-2.0,1.0,-9.0,-2.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,19.0,-5.0,-5.0,,-2.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,20.0,-4.0,-3.0,-6.0,1.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,21.0,-6.0,,-1.0,-4.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,22.0,-5.0,-2.0,-1.0,-3.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,23.0,-4.0,-6.0,1.0,-2.0,,,2017,CareerBuilder Challenge,,
CareerBuilder Challenge,,,24.0,-3.0,-6.0,-4.0,2.0,,,2017,CareerBuilder Challenge,,
