tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
CareerBuilder Challenge in partnership with the Clinton Foundation,,,1.0,-8.0,-7.0,-8.0,-2.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,2.0,-4.0,-4.0,-10.0,-7.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,3.0,-1.0,-6.0,-10.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,4.0,-4.0,-7.0,-6.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,5.0,-6.0,-6.0,-5.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,6.0,-4.0,-4.0,-6.0,-6.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,7.0,-6.0,-6.0,-8.0,,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,8.0,-7.0,-7.0,-7.0,1.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,9.0,-5.0,-1.0,-8.0,-5.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,10.0,-6.0,-6.0,-3.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,11.0,-5.0,-6.0,,-7.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,12.0,-4.0,-3.0,-6.0,-5.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,13.0,-4.0,-5.0,-6.0,-3.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,14.0,-4.0,-3.0,-5.0,-5.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,15.0,-3.0,-4.0,-5.0,-5.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,16.0,,-7.0,-6.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,17.0,-2.0,-1.0,-7.0,-6.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,18.0,-4.0,-8.0,,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,19.0,-3.0,-5.0,-5.0,-3.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,20.0,-2.0,-7.0,-4.0,-3.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,21.0,-6.0,-1.0,-7.0,-2.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,22.0,-4.0,-3.0,-7.0,-2.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,23.0,-5.0,-6.0,-6.0,1.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,24.0,-4.0,,-7.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,25.0,-6.0,-3.0,-5.0,-1.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,26.0,-7.0,-3.0,-4.0,-1.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,27.0,-3.0,-8.0,-6.0,2.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,28.0,-1.0,-3.0,-6.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,29.0,-3.0,-3.0,-4.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,30.0,-6.0,-5.0,1.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,31.0,-2.0,-5.0,-4.0,-3.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,32.0,-6.0,-1.0,-5.0,-2.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,33.0,-8.0,-4.0,-1.0,-1.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,34.0,1.0,-4.0,-6.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,35.0,-5.0,-1.0,-3.0,-4.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,36.0,-5.0,-1.0,-4.0,-3.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,37.0,-6.0,-2.0,-3.0,-2.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
CareerBuilder Challenge in partnership with the Clinton Foundation,,,38.0,-2.0,-5.0,-5.0,-1.0,,,2016,CareerBuilder Challenge in partnership with the Clinton Foundation,,
