tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Charles Schwab Challenge,,,1.0,-3.0,-5.0,2.0,-2.0,,,2023,Charles Schwab Challenge,-1.0,
Charles Schwab Challenge,,,2.0,-4.0,-3.0,-3.0,2.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,3.0,-3.0,-3.0,2.0,-3.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,4.0,-8.0,-4.0,2.0,3.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,5.0,3.0,-2.0,-4.0,-3.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,6.0,-2.0,1.0,-1.0,-3.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,7.0,-3.0,1.0,,-3.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,8.0,-3.0,,,-2.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,9.0,-1.0,-1.0,-1.0,-1.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,10.0,-3.0,-1.0,1.0,-1.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,11.0,-2.0,-1.0,-2.0,1.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,12.0,-1.0,-4.0,2.0,,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,13.0,1.0,-2.0,-3.0,1.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,14.0,-2.0,-1.0,-1.0,1.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,15.0,-5.0,-4.0,,6.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,16.0,-2.0,1.0,-1.0,,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,17.0,-1.0,-4.0,2.0,1.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,18.0,1.0,-2.0,-4.0,3.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,19.0,-3.0,-1.0,-1.0,3.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,20.0,-2.0,,-4.0,4.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,21.0,,1.0,1.0,-3.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,22.0,-3.0,3.0,,-1.0,,,2023,Charles Schwab Challenge,,
Charles Schwab Challenge,,,23.0,,-1.0,1.0,-1.0,,,2023,Charles Schwab Challenge,,
