tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Cognizant Classic,,,1.0,-6.0,-4.0,-3.0,-4.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,2.0,-5.0,,-1.0,-8.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,3.0,-4.0,-1.0,-5.0,-4.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,4.0,-2.0,-5.0,-1.0,-5.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,5.0,-6.0,-2.0,,-5.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,6.0,-3.0,-5.0,,-5.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,7.0,-4.0,-4.0,-5.0,,,,2024,Cognizant Classic,,
Cognizant Classic,,,8.0,-6.0,-2.0,-5.0,,,,2024,Cognizant Classic,,
Cognizant Classic,,,9.0,-3.0,-1.0,-2.0,-6.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,10.0,-5.0,,-2.0,-5.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,11.0,-4.0,-1.0,-3.0,-4.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,12.0,-3.0,-3.0,-2.0,-4.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,13.0,-6.0,-2.0,-1.0,-3.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,14.0,-3.0,-2.0,-5.0,-2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,15.0,-5.0,-4.0,-1.0,-2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,16.0,-3.0,1.0,-4.0,-5.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,17.0,-3.0,-1.0,-2.0,-5.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,18.0,-3.0,,-5.0,-3.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,19.0,-4.0,-6.0,2.0,-3.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,20.0,-4.0,-5.0,-1.0,-1.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,21.0,-4.0,,,-6.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,22.0,,-3.0,-2.0,-5.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,23.0,-5.0,-3.0,3.0,-5.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,24.0,-1.0,-4.0,-1.0,-4.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,25.0,-4.0,-4.0,1.0,-3.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,26.0,-4.0,-2.0,-2.0,-2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,27.0,-5.0,-6.0,3.0,-2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,28.0,-2.0,-1.0,,-6.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,29.0,-4.0,-1.0,2.0,-6.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,30.0,-2.0,,-3.0,-4.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,31.0,-1.0,-2.0,-3.0,-3.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,32.0,-4.0,-3.0,-1.0,-1.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,33.0,-5.0,-3.0,-1.0,,,,2024,Cognizant Classic,,
Cognizant Classic,,,34.0,-1.0,-3.0,-6.0,1.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,35.0,-2.0,-3.0,3.0,-6.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,36.0,-3.0,,-1.0,-4.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,37.0,-1.0,-2.0,-1.0,-4.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,38.0,-2.0,,-4.0,-2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,39.0,-6.0,1.0,-1.0,-2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,40.0,-7.0,1.0,-1.0,-1.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,41.0,-2.0,,,-5.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,42.0,-3.0,-2.0,,-2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,43.0,-1.0,-1.0,-4.0,-1.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,44.0,,-2.0,-6.0,1.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,45.0,-3.0,,-5.0,1.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,46.0,,-4.0,-4.0,1.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,47.0,-3.0,1.0,-2.0,-2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,48.0,-4.0,,,-2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,49.0,,-2.0,-4.0,,,,2024,Cognizant Classic,,
Cognizant Classic,,,50.0,-2.0,-4.0,-1.0,1.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,51.0,-1.0,-5.0,-2.0,2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,52.0,-2.0,-5.0,-1.0,2.0,,,2024,Cognizant Classic,,
Cognizant Classic,,,53.0,,-2.0,1.0,-4.0,,,2024,Cognizant Classic,,
