tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Cognizant Classic in The Palm Beaches,,,1.0,-6.0,1.0,-7.0,-7.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,2.0,-3.0,-3.0,-4.0,-7.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,3.0,-7.0,-1.0,-4.0,-5.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,4.0,-2.0,-3.0,-7.0,-4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,5.0,-3.0,-6.0,-5.0,-2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,6.0,-8.0,-1.0,-5.0,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,7.0,-6.0,-5.0,-4.0,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,8.0,-12.0,-1.0,-3.0,1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,9.0,-3.0,-4.0,-1.0,-6.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,10.0,-6.0,-1.0,-4.0,-3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,11.0,-4.0,-1.0,-3.0,-5.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,12.0,,-6.0,-3.0,-4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,13.0,-5.0,-3.0,-1.0,-4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,14.0,-1.0,-4.0,-5.0,-3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,15.0,-5.0,-4.0,-2.0,-2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,16.0,-4.0,-4.0,-4.0,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,17.0,-3.0,-8.0,-3.0,1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,18.0,-3.0,-2.0,-3.0,-4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,19.0,-3.0,-3.0,-4.0,-2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,20.0,-1.0,-7.0,-2.0,-2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,21.0,-4.0,-5.0,-1.0,-2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,22.0,-4.0,-2.0,-5.0,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,23.0,-3.0,-3.0,-5.0,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,24.0,-7.0,-3.0,-3.0,1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,25.0,-4.0,-1.0,-2.0,-4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,26.0,-6.0,-2.0,,-3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,27.0,-5.0,-1.0,-4.0,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,28.0,-5.0,-2.0,-3.0,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,29.0,-3.0,-5.0,-3.0,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,30.0,-8.0,-3.0,-1.0,1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,31.0,-4.0,-6.0,-3.0,2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,32.0,-4.0,-1.0,-4.0,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,33.0,-4.0,-4.0,-1.0,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,34.0,-2.0,-4.0,-4.0,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,35.0,-2.0,-5.0,-3.0,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,36.0,-7.0,-4.0,1.0,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,37.0,-3.0,-5.0,-3.0,1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,38.0,-6.0,-3.0,-2.0,1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,39.0,-4.0,-4.0,2.0,-3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,40.0,-3.0,-2.0,-2.0,-2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,41.0,-3.0,-4.0,-3.0,1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,42.0,-5.0,,1.0,-4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,43.0,-2.0,-3.0,,-3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,44.0,-2.0,-5.0,-1.0,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,45.0,-7.0,-1.0,,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,46.0,-5.0,-5.0,-1.0,3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,47.0,-5.0,-7.0,,4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,48.0,-7.0,,4.0,-4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,49.0,-4.0,-1.0,,-2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,50.0,-8.0,1.0,2.0,-2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,51.0,-2.0,-3.0,-1.0,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,52.0,-7.0,1.0,,-1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,53.0,-4.0,-1.0,-4.0,2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,54.0,-1.0,-4.0,-6.0,4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,55.0,-3.0,-3.0,-5.0,4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,56.0,-5.0,,-2.0,1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,57.0,-2.0,-4.0,-2.0,2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,58.0,-4.0,-1.0,-4.0,3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,59.0,-5.0,,-4.0,3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,60.0,-4.0,-2.0,-3.0,3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,61.0,-3.0,-4.0,2.0,1.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,62.0,-5.0,,-1.0,3.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,63.0,-3.0,-4.0,,4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,64.0,-4.0,-2.0,-1.0,5.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,65.0,-1.0,-4.0,2.0,2.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,66.0,-3.0,-2.0,,4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,67.0,-4.0,-1.0,,5.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,68.0,-2.0,-4.0,4.0,4.0,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,69.0,1.0,-5.0,,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,70.0,1.0,-5.0,,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,71.0,,-4.0,,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,72.0,,-4.0,,,,,2025,Cognizant Classic in The Palm Beaches,,
Cognizant Classic in The Palm Beaches,,,73.0,-1.0,-3.0,,,,,2025,Cognizant Classic in The Palm Beaches,,
