tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Corales Puntacana Championship,,,1.0,-8.0,-4.0,-2.0,,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,2.0,-4.0,-5.0,,-4.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,3.0,-8.0,-3.0,-1.0,-1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,4.0,-6.0,-2.0,-5.0,,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,5.0,-3.0,-9.0,-2.0,1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,6.0,-10.0,-6.0,-1.0,4.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,7.0,-5.0,-2.0,-6.0,1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,8.0,-5.0,-6.0,-3.0,2.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,9.0,-5.0,,-3.0,-3.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,10.0,-6.0,-6.0,2.0,-1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,11.0,-4.0,-4.0,-5.0,2.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,12.0,-4.0,-3.0,,-3.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,13.0,-6.0,-1.0,-2.0,-1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,14.0,-4.0,-4.0,-1.0,-1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,15.0,-6.0,-5.0,2.0,-1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,16.0,-8.0,-2.0,-1.0,1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,17.0,-7.0,-3.0,-1.0,1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,18.0,-7.0,1.0,2.0,-5.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,19.0,-6.0,-1.0,,-2.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,20.0,-5.0,1.0,-4.0,-1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,21.0,-3.0,-5.0,,-1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,22.0,-4.0,-5.0,-1.0,1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,23.0,-5.0,-4.0,-1.0,1.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,24.0,-2.0,-4.0,,-2.0,,,2025,RBC Heritage,,
Corales Puntacana Championship,,,25.0,-5.0,-4.0,1.0,,,,2025,RBC Heritage,,
