tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Corales Puntacana Resort & Club Championship,,,1.0,1.0,-8.0,-8.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,2.0,-3.0,-2.0,-6.0,-6.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,3.0,-2.0,-4.0,-8.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,4.0,-4.0,-5.0,-1.0,-6.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,5.0,,-5.0,-1.0,-9.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,6.0,-2.0,-5.0,-4.0,-4.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,7.0,-2.0,-7.0,-1.0,-4.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,8.0,-4.0,-5.0,-4.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,9.0,-5.0,-5.0,-3.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,10.0,-3.0,,-4.0,-6.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,11.0,-1.0,-4.0,-3.0,-5.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,12.0,-4.0,2.0,-4.0,-6.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,13.0,-6.0,-1.0,,-5.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,14.0,-3.0,-3.0,-2.0,-4.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,15.0,-2.0,-4.0,-3.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,16.0,-4.0,-2.0,-3.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,17.0,-6.0,-3.0,-2.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,18.0,-1.0,-5.0,,-5.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,19.0,-6.0,-1.0,1.0,-5.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,20.0,,-2.0,-6.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,21.0,-3.0,-1.0,-4.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,22.0,-1.0,-1.0,-6.0,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,23.0,1.0,-4.0,-5.0,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,24.0,-2.0,-4.0,-2.0,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,25.0,-1.0,-7.0,-2.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,26.0,-3.0,-3.0,,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,27.0,-3.0,-3.0,-1.0,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,28.0,-1.0,-4.0,-3.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,29.0,,-3.0,-6.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,30.0,-3.0,-3.0,-3.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,31.0,-1.0,-4.0,-5.0,1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,32.0,-4.0,-2.0,-5.0,2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,33.0,,-5.0,1.0,-4.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,34.0,1.0,-4.0,-2.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,35.0,-3.0,1.0,-4.0,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,36.0,,-6.0,,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,37.0,-1.0,-4.0,-2.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,38.0,-2.0,-3.0,-4.0,1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,39.0,-3.0,1.0,-2.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,40.0,2.0,-5.0,-1.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,41.0,-1.0,-3.0,-1.0,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,42.0,-2.0,-4.0,1.0,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,43.0,-2.0,-1.0,-4.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,44.0,-2.0,-4.0,3.0,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,45.0,,-4.0,,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,46.0,1.0,-3.0,-3.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,47.0,2.0,-5.0,-2.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,48.0,-2.0,-3.0,,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,49.0,-1.0,-1.0,-4.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,50.0,-4.0,2.0,-5.0,1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,51.0,-2.0,,-5.0,1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,52.0,2.0,-4.0,,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,53.0,-1.0,-1.0,,-3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,54.0,-2.0,,-2.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,55.0,-1.0,-1.0,-2.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,56.0,,-3.0,-2.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,57.0,,-4.0,-1.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,58.0,-2.0,-2.0,-1.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,59.0,-1.0,-1.0,-2.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,60.0,-2.0,-4.0,,2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,61.0,-3.0,-2.0,4.0,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,62.0,-1.0,-1.0,,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,63.0,-1.0,-1.0,-1.0,,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,64.0,-1.0,-2.0,-3.0,3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,65.0,-1.0,-2.0,3.0,-2.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,66.0,-3.0,-2.0,-1.0,4.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,67.0,1.0,-4.0,3.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,68.0,-1.0,-1.0,-2.0,3.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,69.0,,-2.0,5.0,-1.0,,,2019,Corales Puntacana Resort & Club Championship,,
Corales Puntacana Resort & Club Championship,,,70.0,4.0,-7.0,5.0,,,,2019,Corales Puntacana Resort & Club Championship,,
