tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Crowne Plaza Invitational at  Colonial,,,1.0,-2.0,-1.0,-5.0,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,2.0,-1.0,-1.0,-2.0,-7.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,3.0,-6.0,3.0,-3.0,-5.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,4.0,-3.0,-1.0,-4.0,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,5.0,-1.0,-1.0,-2.0,-6.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,6.0,-1.0,-4.0,-1.0,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,7.0,-3.0,-1.0,-3.0,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,8.0,-5.0,-1.0,-1.0,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,9.0,-5.0,-3.0,-2.0,,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,10.0,-4.0,3.0,-4.0,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,11.0,-4.0,1.0,-2.0,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,12.0,-4.0,-1.0,,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,13.0,-3.0,,-3.0,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,14.0,-3.0,,-4.0,-2.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,15.0,-2.0,-4.0,-1.0,-2.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,16.0,-4.0,-1.0,-4.0,,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,17.0,-6.0,-4.0,-1.0,2.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,18.0,,-2.0,,-6.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,19.0,1.0,-2.0,-2.0,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,20.0,1.0,-2.0,-2.0,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,21.0,,-1.0,-3.0,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,22.0,-3.0,2.0,-4.0,-2.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,23.0,-3.0,-1.0,-1.0,-2.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,24.0,,1.0,-3.0,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,25.0,1.0,-3.0,-1.0,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,26.0,2.0,-4.0,-4.0,,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,27.0,-2.0,2.0,-2.0,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,28.0,-4.0,4.0,-2.0,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,29.0,-3.0,,1.0,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,30.0,,-1.0,-3.0,-1.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,31.0,-4.0,-1.0,,,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,32.0,-2.0,-2.0,-2.0,1.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,33.0,1.0,,,-5.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,34.0,-4.0,5.0,-1.0,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,35.0,-3.0,3.0,,-4.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,36.0,1.0,-2.0,,-3.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,37.0,,1.0,-3.0,-2.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,38.0,-2.0,2.0,-2.0,-2.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,39.0,,-1.0,-2.0,-1.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,40.0,3.0,-5.0,-1.0,-1.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,41.0,3.0,-4.0,-3.0,,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,42.0,-6.0,-1.0,1.0,2.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,43.0,,1.0,-1.0,-2.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,44.0,-1.0,1.0,-1.0,-1.0,,,2015,Crowne Plaza Invitational at  Colonial,,
Crowne Plaza Invitational at  Colonial,,,45.0,-1.0,,,-1.0,,,2015,Crowne Plaza Invitational at  Colonial,,
