tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
DEAN & DELUCA Invitational,,,1.0,-3.0,-4.0,-5.0,-5.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,2.0,-3.0,-1.0,-6.0,-4.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,3.0,-4.0,-3.0,-4.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,4.0,-5.0,-3.0,-3.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,5.0,-4.0,-3.0,-3.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,6.0,3.0,-3.0,-7.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,7.0,-5.0,,-2.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,8.0,-4.0,-1.0,-4.0,,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,9.0,-4.0,-4.0,-2.0,1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,10.0,-1.0,2.0,-2.0,-7.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,11.0,1.0,-4.0,-1.0,-4.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,12.0,-6.0,-1.0,,-1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,13.0,-2.0,-3.0,-1.0,-1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,14.0,-1.0,-1.0,-6.0,1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,15.0,,,-5.0,-1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,16.0,-5.0,-1.0,-1.0,1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,17.0,2.0,-2.0,-2.0,-3.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,18.0,-1.0,,-2.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,19.0,-3.0,-3.0,3.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,20.0,,,-4.0,-1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,21.0,-2.0,-2.0,-1.0,,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,22.0,-1.0,-2.0,1.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,23.0,1.0,-2.0,-2.0,-1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,24.0,-2.0,-3.0,,1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,25.0,-1.0,,1.0,-3.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,26.0,1.0,,-2.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,27.0,-3.0,-1.0,,1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,28.0,1.0,-1.0,-5.0,2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,29.0,2.0,-3.0,,-1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,30.0,,-2.0,1.0,-1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,31.0,,-1.0,-1.0,,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,32.0,-2.0,-2.0,1.0,1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,33.0,-3.0,2.0,-3.0,2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,34.0,,1.0,2.0,-4.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,35.0,2.0,-2.0,1.0,-2.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,36.0,-1.0,1.0,,-1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,37.0,-2.0,2.0,,-1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,38.0,-3.0,2.0,-1.0,1.0,,,2016,DEAN & DELUCA Invitational,,
DEAN & DELUCA Invitational,,,39.0,-2.0,-3.0,3.0,1.0,,,2016,DEAN & DELUCA Invitational,,
