tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Dell Technologies Championship,,,1.0,,-4.0,-8.0,-5.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,2.0,1.0,-6.0,-5.0,-4.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,3.0,-4.0,-2.0,-6.0,-1.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,4.0,-4.0,-5.0,,-3.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,5.0,-1.0,-6.0,-4.0,-1.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,6.0,,-4.0,-2.0,-5.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,7.0,-3.0,-2.0,-1.0,-5.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,8.0,1.0,-4.0,-4.0,-4.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,9.0,-2.0,-4.0,-2.0,-3.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,10.0,,-1.0,-3.0,-6.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,11.0,1.0,-6.0,-2.0,-3.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,12.0,,-3.0,-3.0,-3.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,13.0,-1.0,-3.0,,-4.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,14.0,-2.0,-3.0,-1.0,-2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,15.0,-2.0,,-5.0,-1.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,16.0,-2.0,-3.0,-3.0,,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,17.0,-1.0,-6.0,-3.0,2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,18.0,1.0,-3.0,1.0,-6.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,19.0,1.0,,-4.0,-4.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,20.0,3.0,-4.0,-3.0,-3.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,21.0,-5.0,1.0,-5.0,2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,22.0,-1.0,,,-5.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,23.0,,2.0,-2.0,-5.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,24.0,1.0,,-1.0,-5.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,25.0,4.0,-2.0,-1.0,-5.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,26.0,4.0,-2.0,-2.0,-4.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,27.0,-4.0,-3.0,2.0,1.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,28.0,3.0,-7.0,-2.0,2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,29.0,-3.0,-3.0,-4.0,6.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,30.0,-1.0,3.0,-2.0,-3.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,31.0,-2.0,-2.0,3.0,-2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,32.0,1.0,-1.0,-3.0,,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,33.0,,-2.0,-1.0,,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,34.0,-2.0,-4.0,1.0,2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,35.0,,3.0,,-5.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,36.0,-4.0,2.0,4.0,-4.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,37.0,5.0,-3.0,-2.0,-2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,38.0,1.0,-1.0,-2.0,,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,39.0,-1.0,-6.0,3.0,2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,40.0,,3.0,1.0,-5.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,41.0,2.0,-1.0,2.0,-4.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,42.0,3.0,-1.0,-1.0,-2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,43.0,-3.0,2.0,2.0,-2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,44.0,,-1.0,1.0,-1.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,45.0,4.0,-7.0,3.0,-1.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,46.0,-1.0,-2.0,-1.0,3.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,47.0,6.0,-4.0,2.0,-4.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,48.0,1.0,,2.0,-3.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,49.0,-3.0,5.0,,-2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,50.0,-2.0,1.0,3.0,-2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,51.0,-1.0,-3.0,5.0,-1.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,52.0,1.0,,-3.0,2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,53.0,-2.0,3.0,1.0,-1.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,54.0,1.0,-1.0,2.0,-1.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,55.0,1.0,2.0,-2.0,,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,56.0,-2.0,-1.0,7.0,-2.0,,,2017,Dell Technologies Championship,,
Dell Technologies Championship,,,57.0,1.0,-1.0,2.0,,,,2017,Dell Technologies Championship,,
