tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Desert Classic,,,1.0,-9.0,-1.0,-9.0,-7.0,,,2019,Desert Classic,,
Desert Classic,,,2.0,-7.0,-6.0,-7.0,-5.0,,,2019,Desert Classic,,
Desert Classic,,,3.0,-12.0,-4.0,-6.0,-3.0,,,2019,Desert Classic,,
Desert Classic,,,4.0,-5.0,-5.0,-6.0,-8.0,,,2019,Desert Classic,,
Desert Classic,,,5.0,-5.0,-3.0,-8.0,-6.0,,,2019,Desert Classic,,
Desert Classic,,,6.0,-6.0,-6.0,-4.0,-5.0,,,2019,Desert Classic,,
Desert Classic,,,7.0,-4.0,-6.0,-3.0,-6.0,,,2019,Desert Classic,,
Desert Classic,,,8.0,-4.0,-4.0,-8.0,-3.0,,,2019,Desert Classic,,
Desert Classic,,,9.0,-6.0,-5.0,-4.0,-3.0,,,2019,Desert Classic,,
Desert Classic,,,10.0,-4.0,-6.0,-7.0,-1.0,,,2019,Desert Classic,,
Desert Classic,,,11.0,-5.0,-6.0,-6.0,-1.0,,,2019,Desert Classic,,
Desert Classic,,,12.0,,-4.0,-6.0,-7.0,,,2019,Desert Classic,,
Desert Classic,,,13.0,-2.0,-4.0,-4.0,-7.0,,,2019,Desert Classic,,
Desert Classic,,,14.0,-4.0,-4.0,-4.0,-5.0,,,2019,Desert Classic,,
Desert Classic,,,15.0,-5.0,-5.0,-3.0,-4.0,,,2019,Desert Classic,,
Desert Classic,,,16.0,-2.0,-7.0,-6.0,-2.0,,,2019,Desert Classic,,
Desert Classic,,,17.0,-1.0,-7.0,-8.0,-1.0,,,2019,Desert Classic,,
Desert Classic,,,18.0,-1.0,-4.0,-4.0,-7.0,,,2019,Desert Classic,,
Desert Classic,,,19.0,-6.0,-5.0,1.0,-6.0,,,2019,Desert Classic,,
Desert Classic,,,20.0,-7.0,-5.0,,-4.0,,,2019,Desert Classic,,
Desert Classic,,,21.0,1.0,-6.0,-8.0,-3.0,,,2019,Desert Classic,,
Desert Classic,,,22.0,-2.0,-7.0,-4.0,-3.0,,,2019,Desert Classic,,
Desert Classic,,,23.0,-4.0,-5.0,-4.0,-3.0,,,2019,Desert Classic,,
Desert Classic,,,24.0,-6.0,-4.0,-3.0,-3.0,,,2019,Desert Classic,,
Desert Classic,,,25.0,-1.0,-7.0,-6.0,-2.0,,,2019,Desert Classic,,
