tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Deutsche Bank Championship,,,1.0,-4.0,-4.0,-4.0,-3.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,2.0,-4.0,-3.0,-6.0,-1.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,3.0,-4.0,-8.0,5.0,-4.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,4.0,-2.0,2.0,-7.0,-1.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,5.0,1.0,-4.0,-4.0,-1.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,6.0,,-6.0,-1.0,-1.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,7.0,-3.0,-4.0,-4.0,3.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,8.0,-4.0,-4.0,-3.0,3.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,9.0,,-3.0,-1.0,-3.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,10.0,-2.0,1.0,-6.0,,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,11.0,,-5.0,-3.0,1.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,12.0,-1.0,-1.0,,-4.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,13.0,2.0,-1.0,-5.0,-2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,14.0,-4.0,3.0,-3.0,-2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,15.0,-3.0,-3.0,2.0,-2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,16.0,,,-5.0,-1.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,17.0,2.0,-4.0,-4.0,,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,18.0,-3.0,-1.0,-2.0,,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,19.0,-3.0,-2.0,-3.0,2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,20.0,-4.0,-4.0,,2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,21.0,-1.0,-6.0,-3.0,4.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,22.0,-2.0,3.0,-5.0,-1.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,23.0,-2.0,-6.0,3.0,,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,24.0,-6.0,-3.0,2.0,2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,25.0,,2.0,-2.0,-4.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,26.0,2.0,-3.0,-1.0,-2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,27.0,,-5.0,3.0,-2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,28.0,,-6.0,-2.0,4.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,29.0,-1.0,3.0,,-5.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,30.0,2.0,-2.0,,-3.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,31.0,,,-1.0,-2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,32.0,3.0,-2.0,-4.0,,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,33.0,5.0,-2.0,2.0,-7.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,34.0,1.0,1.0,-2.0,-2.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,35.0,5.0,-2.0,-4.0,-1.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,36.0,-4.0,1.0,-2.0,3.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,37.0,-2.0,-2.0,-3.0,5.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,38.0,-1.0,-5.0,-2.0,6.0,,,2015,Deutsche Bank Championship,,
Deutsche Bank Championship,,,39.0,-2.0,1.0,1.0,-1.0,,,2015,Deutsche Bank Championship,,
