tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Farmers Insurance Open,,,1.0,-4.0,-2.0,-1.0,-6.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,2.0,-2.0,1.0,-4.0,-6.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,3.0,-5.0,,-2.0,-3.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,4.0,-4.0,2.0,-5.0,-2.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,5.0,-6.0,,-1.0,-2.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,6.0,-8.0,-4.0,,3.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,7.0,-4.0,-1.0,1.0,-4.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,8.0,1.0,-5.0,-6.0,2.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,9.0,-2.0,1.0,-3.0,-3.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,10.0,1.0,-1.0,-8.0,1.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,11.0,,-4.0,,-1.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,12.0,,,-5.0,,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,13.0,,,-1.0,-3.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,14.0,,-1.0,-3.0,,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,15.0,-3.0,-1.0,,,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,16.0,-3.0,-1.0,-1.0,1.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,17.0,-6.0,,1.0,1.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,18.0,,,-3.0,,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,19.0,1.0,-2.0,-2.0,,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,20.0,-3.0,2.0,,-1.0,,,2023,Farmers Insurance Open,,
Farmers Insurance Open,,,21.0,-4.0,3.0,-1.0,,,,2023,Farmers Insurance Open,,
