tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
FedEx St. Jude Championship,,,1.0,1.0,-7.0,-5.0,-4.0,,,2022,FedEx St. Jude Championship,1.0,
FedEx St. Jude Championship,,,2.0,-6.0,-4.0,-2.0,-3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,3.0,-5.0,-2.0,-1.0,-4.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,4.0,-4.0,-4.0,-1.0,-3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,5.0,-3.0,-1.0,-3.0,-4.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,6.0,-4.0,-3.0,,-4.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,7.0,-3.0,-1.0,-4.0,-3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,8.0,-2.0,-4.0,-3.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,9.0,-4.0,-2.0,-3.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,10.0,-6.0,-2.0,-1.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,11.0,-4.0,-3.0,-4.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,12.0,,-2.0,-7.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,13.0,-5.0,-1.0,2.0,-5.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,14.0,-3.0,1.0,-3.0,-4.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,15.0,-3.0,-3.0,1.0,-4.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,16.0,1.0,-4.0,-5.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,17.0,-4.0,,-4.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,18.0,-7.0,,-1.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,19.0,-3.0,-5.0,-1.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,20.0,-3.0,,-3.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,21.0,-6.0,2.0,-2.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,22.0,-1.0,-6.0,,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,23.0,-4.0,,-4.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,24.0,-6.0,-1.0,-1.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,25.0,-4.0,-5.0,1.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,26.0,-5.0,-1.0,-3.0,1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,27.0,-5.0,-3.0,-1.0,1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,28.0,-3.0,1.0,-3.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,29.0,-3.0,-3.0,-3.0,2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,30.0,-5.0,-5.0,,3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,31.0,-3.0,-3.0,5.0,-5.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,32.0,-3.0,1.0,,-4.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,33.0,-4.0,1.0,,-3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,34.0,-3.0,,-1.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,35.0,-5.0,,,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,36.0,-3.0,-4.0,2.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,37.0,-2.0,-1.0,-3.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,38.0,-1.0,-3.0,-2.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,39.0,-5.0,,-1.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,40.0,1.0,-4.0,-4.0,1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,41.0,,-7.0,-3.0,4.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,42.0,-8.0,3.0,2.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,43.0,-3.0,1.0,-2.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,44.0,-4.0,-1.0,-1.0,1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,45.0,-8.0,-3.0,-2.0,8.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,46.0,-3.0,,1.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,47.0,1.0,-3.0,-1.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,48.0,-2.0,-2.0,1.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,49.0,-2.0,-2.0,1.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,50.0,-3.0,,-1.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,51.0,-1.0,-1.0,3.0,-4.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,52.0,-1.0,-2.0,-1.0,1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,53.0,-3.0,,-1.0,1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,54.0,-3.0,1.0,-3.0,2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,55.0,-2.0,-4.0,1.0,2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,56.0,-4.0,1.0,-3.0,3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,57.0,-2.0,-1.0,2.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,58.0,-2.0,-2.0,3.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,59.0,-3.0,-2.0,1.0,2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,60.0,-4.0,1.0,-2.0,3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,61.0,,-2.0,2.0,-1.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,62.0,-5.0,-1.0,2.0,3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,63.0,-1.0,-3.0,-5.0,8.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,64.0,-1.0,-1.0,5.0,-2.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,65.0,-1.0,-4.0,6.0,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,66.0,-5.0,1.0,2.0,3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,67.0,-1.0,-2.0,,5.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,68.0,-4.0,,4.0,3.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,69.0,-1.0,-3.0,6.0,7.0,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,70.0,3.0,-4.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,71.0,1.0,-2.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,72.0,,-1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,73.0,,-1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,74.0,-1.0,,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,75.0,-1.0,,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,76.0,-2.0,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,77.0,-2.0,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,78.0,-2.0,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,79.0,-5.0,4.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,80.0,2.0,-2.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,81.0,1.0,-1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,82.0,1.0,-1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,83.0,1.0,-1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,84.0,1.0,-1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,85.0,,,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,86.0,-3.0,3.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,87.0,4.0,-3.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,88.0,3.0,-2.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,89.0,2.0,-1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,90.0,1.0,,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,91.0,,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,92.0,,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,93.0,-1.0,2.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,94.0,-1.0,2.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,95.0,-2.0,3.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,96.0,1.0,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,97.0,1.0,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,98.0,1.0,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,99.0,-1.0,3.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,100.0,4.0,-1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,101.0,3.0,,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,102.0,2.0,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,103.0,2.0,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,104.0,1.0,2.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,105.0,-1.0,4.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,106.0,-1.0,4.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,107.0,3.0,1.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,108.0,2.0,2.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,109.0,2.0,2.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,110.0,1.0,3.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,111.0,1.0,3.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,112.0,,4.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,113.0,-1.0,5.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,114.0,5.0,,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,115.0,2.0,3.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,116.0,1.0,5.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,117.0,2.0,7.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,118.0,3.0,5.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,119.0,3.0,5.0,,,,,2022,FedEx St. Jude Championship,,
FedEx St. Jude Championship,,,120.0,4.0,5.0,,,,,2022,FedEx St. Jude Championship,,
