tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
FedEx St. Jude Classic,,,1.0,-4.0,-2.0,-3.0,-4.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,2.0,-6.0,,-3.0,,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,3.0,-1.0,2.0,-4.0,-5.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,4.0,-2.0,-1.0,,-5.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,5.0,-1.0,-1.0,-2.0,-4.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,6.0,-1.0,-3.0,-2.0,-2.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,7.0,-6.0,-3.0,1.0,,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,8.0,1.0,-3.0,,-5.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,9.0,-3.0,,1.0,-5.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,10.0,,-6.0,3.0,-4.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,11.0,-1.0,-4.0,,-2.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,12.0,-2.0,2.0,-1.0,-5.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,13.0,2.0,-6.0,2.0,-4.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,14.0,,,-4.0,-2.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,15.0,-3.0,-3.0,1.0,-1.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,16.0,-1.0,-5.0,1.0,-1.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,17.0,-5.0,-1.0,-2.0,2.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,18.0,-3.0,4.0,-2.0,-4.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,19.0,-1.0,-1.0,1.0,-4.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,20.0,2.0,-4.0,,-3.0,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,21.0,1.0,-2.0,-4.0,,,,2015,FedEx St. Jude Classic,,
FedEx St. Jude Classic,,,22.0,-1.0,1.0,,-4.0,,,2015,FedEx St. Jude Classic,,
