tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Fort Worth Invitational,,,1.0,-4.0,-6.0,-4.0,-6.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,2.0,,-7.0,-3.0,-7.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,3.0,-6.0,-3.0,-1.0,-6.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,4.0,-8.0,3.0,,-9.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,5.0,-4.0,-1.0,-2.0,-3.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,6.0,-3.0,1.0,-6.0,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,7.0,-2.0,,-6.0,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,8.0,-2.0,2.0,-5.0,-4.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,9.0,-4.0,-1.0,-2.0,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,10.0,1.0,-2.0,-7.0,-1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,11.0,-4.0,-1.0,2.0,-5.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,12.0,-4.0,1.0,-3.0,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,13.0,-4.0,,-2.0,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,14.0,-3.0,3.0,-1.0,-6.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,15.0,,-1.0,-1.0,-5.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,16.0,-3.0,-1.0,-1.0,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,17.0,-3.0,-3.0,1.0,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,18.0,2.0,-3.0,-6.0,,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,19.0,-2.0,-2.0,-4.0,1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,20.0,-2.0,1.0,,-5.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,21.0,-2.0,,,-4.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,22.0,-4.0,1.0,1.0,-4.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,23.0,1.0,1.0,-5.0,-3.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,24.0,3.0,-2.0,-4.0,-3.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,25.0,-3.0,,,-3.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,26.0,-6.0,2.0,,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,27.0,-1.0,-1.0,-3.0,-1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,28.0,-2.0,-1.0,-2.0,-1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,29.0,-2.0,-3.0,-1.0,,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,30.0,-4.0,-3.0,1.0,,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,31.0,-1.0,-2.0,-5.0,2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,32.0,,2.0,-1.0,-6.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,33.0,,2.0,-2.0,-5.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,34.0,3.0,-2.0,-2.0,-4.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,35.0,-1.0,-2.0,,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,36.0,,2.0,-6.0,-1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,37.0,-3.0,3.0,-5.0,,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,38.0,-4.0,1.0,-2.0,,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,39.0,-5.0,2.0,-2.0,,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,40.0,,-3.0,-3.0,1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,41.0,-1.0,-3.0,-2.0,1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,42.0,-1.0,2.0,,-5.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,43.0,,,1.0,-5.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,44.0,,1.0,-2.0,-3.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,45.0,-1.0,1.0,-2.0,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,46.0,3.0,-2.0,-4.0,-1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,47.0,-1.0,,-2.0,-1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,48.0,-1.0,-4.0,2.0,-1.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,49.0,-2.0,-3.0,1.0,,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,50.0,-2.0,2.0,-7.0,3.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,51.0,-3.0,,-4.0,3.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,52.0,-1.0,3.0,1.0,-6.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,53.0,2.0,-2.0,1.0,-4.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,54.0,2.0,-3.0,,-2.0,,,2018,Fort Worth Invitational,,
Fort Worth Invitational,,,55.0,-2.0,2.0,-2.0,-1.0,,,2018,Fort Worth Invitational,,
