tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Fortinet Championship,,,1.0,-5.0,,-7.0,-7.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,2.0,-4.0,-8.0,-2.0,-4.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,3.0,-5.0,-5.0,-2.0,-4.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,4.0,-3.0,-1.0,-4.0,-7.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,5.0,-3.0,-2.0,-6.0,-4.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,6.0,-3.0,-3.0,-1.0,-6.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,7.0,-4.0,-2.0,-2.0,-5.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,8.0,-4.0,-3.0,-2.0,-4.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,9.0,-1.0,-4.0,-5.0,-3.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,10.0,-5.0,-2.0,-5.0,-1.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,11.0,-4.0,-1.0,-4.0,-3.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,12.0,-3.0,-3.0,-4.0,-2.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,13.0,-4.0,-2.0,-4.0,-2.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,14.0,-4.0,-5.0,-1.0,-2.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,15.0,-2.0,-5.0,-7.0,2.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,16.0,-2.0,-4.0,-1.0,-4.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,17.0,-4.0,-5.0,1.0,-3.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,18.0,-5.0,-2.0,-2.0,-2.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,19.0,-4.0,-4.0,-2.0,-1.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,20.0,-5.0,-4.0,-3.0,1.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,21.0,-2.0,-8.0,-2.0,1.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,22.0,-1.0,-2.0,-2.0,-5.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,23.0,-1.0,-6.0,1.0,-4.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,24.0,-6.0,,-1.0,-3.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,25.0,-3.0,-1.0,-5.0,-1.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,26.0,1.0,-8.0,-2.0,-1.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,27.0,-4.0,-2.0,-4.0,,,,2022,Fortinet Championship,,
Fortinet Championship,,,28.0,-7.0,3.0,-2.0,-3.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,29.0,-3.0,-2.0,-5.0,1.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,30.0,-4.0,,-1.0,-3.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,31.0,-1.0,-2.0,-3.0,-2.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,32.0,-4.0,-1.0,-2.0,-1.0,,,2022,Fortinet Championship,,
Fortinet Championship,,,33.0,-2.0,-3.0,-3.0,,,,2022,Fortinet Championship,,
