tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Frys.com Open,,,1.0,-6.0,-3.0,-7.0,1.0,,,2015,Frys.com Open,,
Frys.com Open,,,2.0,1.0,-4.0,-5.0,-5.0,,,2015,Frys.com Open,,
Frys.com Open,,,3.0,-2.0,-3.0,-3.0,-4.0,,,2015,Frys.com Open,,
Frys.com Open,,,4.0,-3.0,-1.0,-6.0,-2.0,,,2015,Frys.com Open,,
Frys.com Open,,,5.0,-2.0,-4.0,-4.0,-2.0,,,2015,Frys.com Open,,
Frys.com Open,,,6.0,-2.0,-5.0,-3.0,-2.0,,,2015,Frys.com Open,,
Frys.com Open,,,7.0,-5.0,-5.0,-1.0,-1.0,,,2015,Frys.com Open,,
Frys.com Open,,,8.0,-2.0,-3.0,-1.0,-5.0,,,2015,Frys.com Open,,
Frys.com Open,,,9.0,-2.0,-1.0,-6.0,-2.0,,,2015,Frys.com Open,,
Frys.com Open,,,10.0,-4.0,,-5.0,-2.0,,,2015,Frys.com Open,,
Frys.com Open,,,11.0,-4.0,-2.0,-5.0,,,,2015,Frys.com Open,,
Frys.com Open,,,12.0,1.0,-3.0,-3.0,-5.0,,,2015,Frys.com Open,,
Frys.com Open,,,13.0,-1.0,-4.0,,-5.0,,,2015,Frys.com Open,,
Frys.com Open,,,14.0,-3.0,1.0,-4.0,-4.0,,,2015,Frys.com Open,,
Frys.com Open,,,15.0,-2.0,-1.0,-4.0,-3.0,,,2015,Frys.com Open,,
Frys.com Open,,,16.0,-3.0,-6.0,-3.0,2.0,,,2015,Frys.com Open,,
Frys.com Open,,,17.0,-4.0,-4.0,-2.0,1.0,,,2015,Frys.com Open,,
Frys.com Open,,,18.0,-2.0,-6.0,-3.0,2.0,,,2015,Frys.com Open,,
Frys.com Open,,,19.0,-1.0,-1.0,-5.0,-1.0,,,2015,Frys.com Open,,
Frys.com Open,,,20.0,1.0,-6.0,-4.0,1.0,,,2015,Frys.com Open,,
Frys.com Open,,,21.0,-1.0,,-2.0,-4.0,,,2015,Frys.com Open,,
Frys.com Open,,,22.0,,-2.0,-3.0,-2.0,,,2015,Frys.com Open,,
Frys.com Open,,,23.0,-1.0,-3.0,-2.0,-1.0,,,2015,Frys.com Open,,
