tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Genesis Open,,,1.0,-3.0,-1.0,-6.0,-2.0,,,2018,Genesis Open,,
Genesis Open,,,2.0,-3.0,-1.0,-4.0,-2.0,,,2018,Genesis Open,,
Genesis Open,,,3.0,-5.0,,-3.0,-2.0,,,2018,Genesis Open,,
Genesis Open,,,4.0,,-3.0,-3.0,-3.0,,,2018,Genesis Open,,
Genesis Open,,,5.0,-5.0,-2.0,-2.0,,,,2018,Genesis Open,,
Genesis Open,,,6.0,-1.0,3.0,-5.0,-5.0,,,2018,Genesis Open,,
Genesis Open,,,7.0,-1.0,,-4.0,-3.0,,,2018,Genesis Open,,
Genesis Open,,,8.0,1.0,-3.0,-6.0,,,,2018,Genesis Open,,
Genesis Open,,,9.0,,-1.0,-2.0,-4.0,,,2018,Genesis Open,,
Genesis Open,,,10.0,-3.0,2.0,-3.0,-3.0,,,2018,Genesis Open,,
Genesis Open,,,11.0,,-1.0,-3.0,-3.0,,,2018,Genesis Open,,
Genesis Open,,,12.0,-2.0,,-4.0,-1.0,,,2018,Genesis Open,,
Genesis Open,,,13.0,-3.0,-3.0,,-1.0,,,2018,Genesis Open,,
Genesis Open,,,14.0,-1.0,-2.0,-1.0,-2.0,,,2018,Genesis Open,,
Genesis Open,,,15.0,1.0,-3.0,-4.0,,,,2018,Genesis Open,,
Genesis Open,,,16.0,-1.0,1.0,-2.0,-2.0,,,2018,Genesis Open,,
Genesis Open,,,17.0,,-2.0,,-2.0,,,2018,Genesis Open,,
Genesis Open,,,18.0,3.0,-2.0,-7.0,2.0,,,2018,Genesis Open,,
Genesis Open,,,19.0,-3.0,-1.0,-3.0,3.0,,,2018,Genesis Open,,
Genesis Open,,,20.0,,-2.0,2.0,-3.0,,,2018,Genesis Open,,
Genesis Open,,,21.0,-1.0,1.0,-2.0,-1.0,,,2018,Genesis Open,,
Genesis Open,,,22.0,2.0,-1.0,-4.0,,,,2018,Genesis Open,,
Genesis Open,,,23.0,1.0,-1.0,-3.0,,,,2018,Genesis Open,,
Genesis Open,,,24.0,-2.0,,-1.0,,,,2018,Genesis Open,,
Genesis Open,,,25.0,-3.0,1.0,-2.0,1.0,,,2018,Genesis Open,,
Genesis Open,,,26.0,2.0,,-2.0,-2.0,,,2018,Genesis Open,,
Genesis Open,,,27.0,-1.0,,1.0,-2.0,,,2018,Genesis Open,,
Genesis Open,,,28.0,1.0,,-2.0,-1.0,,,2018,Genesis Open,,
Genesis Open,,,29.0,-1.0,2.0,-2.0,-1.0,,,2018,Genesis Open,,
Genesis Open,,,30.0,-1.0,1.0,-1.0,-1.0,,,2018,Genesis Open,,
Genesis Open,,,31.0,1.0,-4.0,2.0,-1.0,,,2018,Genesis Open,,
Genesis Open,,,32.0,-4.0,4.0,-2.0,,,,2018,Genesis Open,,
Genesis Open,,,33.0,-3.0,-1.0,2.0,,,,2018,Genesis Open,,
Genesis Open,,,34.0,1.0,-2.0,-4.0,3.0,,,2018,Genesis Open,,
Genesis Open,,,35.0,-4.0,-2.0,1.0,3.0,,,2018,Genesis Open,,
Genesis Open,,,36.0,-2.0,-5.0,-1.0,6.0,,,2018,Genesis Open,,
Genesis Open,,,37.0,,1.0,1.0,-3.0,,,2018,Genesis Open,,
Genesis Open,,,38.0,-1.0,,2.0,-2.0,,,2018,Genesis Open,,
Genesis Open,,,39.0,3.0,-1.0,-2.0,-1.0,,,2018,Genesis Open,,
Genesis Open,,,40.0,-1.0,1.0,-2.0,1.0,,,2018,Genesis Open,,
Genesis Open,,,41.0,,,3.0,-3.0,,,2018,Genesis Open,,
Genesis Open,,,42.0,,-1.0,3.0,-2.0,,,2018,Genesis Open,,
Genesis Open,,,43.0,4.0,-2.0,-2.0,,,,2018,Genesis Open,,
Genesis Open,,,44.0,,-2.0,1.0,1.0,,,2018,Genesis Open,,
Genesis Open,,,45.0,1.0,-1.0,-2.0,2.0,,,2018,Genesis Open,,
Genesis Open,,,46.0,1.0,-1.0,-2.0,2.0,,,2018,Genesis Open,,
Genesis Open,,,47.0,-3.0,,1.0,2.0,,,2018,Genesis Open,,
Genesis Open,,,48.0,,,-3.0,3.0,,,2018,Genesis Open,,
Genesis Open,,,49.0,2.0,,2.0,-3.0,,,2018,Genesis Open,,
Genesis Open,,,50.0,2.0,,,-1.0,,,2018,Genesis Open,,
Genesis Open,,,51.0,1.0,,,,,,2018,Genesis Open,,
Genesis Open,,,52.0,3.0,-5.0,2.0,1.0,,,2018,Genesis Open,,
Genesis Open,,,53.0,1.0,1.0,,,,,2018,Genesis Open,,
Genesis Open,,,54.0,5.0,-4.0,1.0,,,,2018,Genesis Open,,
Genesis Open,,,55.0,2.0,-4.0,4.0,,,,2018,Genesis Open,,
Genesis Open,,,56.0,-3.0,,4.0,1.0,,,2018,Genesis Open,,
Genesis Open,,,57.0,1.0,,-1.0,2.0,,,2018,Genesis Open,,
Genesis Open,,,58.0,,,-2.0,4.0,,,2018,Genesis Open,,
Genesis Open,,,59.0,-4.0,2.0,,4.0,,,2018,Genesis Open,,
Genesis Open,,,60.0,2.0,-1.0,1.0,1.0,,,2018,Genesis Open,,
Genesis Open,,,61.0,,,2.0,1.0,,,2018,Genesis Open,,
Genesis Open,,,62.0,,-1.0,1.0,3.0,,,2018,Genesis Open,,
Genesis Open,,,63.0,,1.0,1.0,2.0,,,2018,Genesis Open,,
Genesis Open,,,64.0,,1.0,2.0,2.0,,,2018,Genesis Open,,
Genesis Open,,,65.0,,,3.0,2.0,,,2018,Genesis Open,,
Genesis Open,,,66.0,,2.0,,3.0,,,2018,Genesis Open,,
Genesis Open,,,67.0,1.0,1.0,4.0,,,,2018,Genesis Open,,
Genesis Open,,,68.0,,2.0,2.0,3.0,,,2018,Genesis Open,,
Genesis Open,,,69.0,-1.0,1.0,4.0,3.0,,,2018,Genesis Open,,
Genesis Open,,,70.0,2.0,-2.0,3.0,4.0,,,2018,Genesis Open,,
Genesis Open,,,71.0,1.0,-2.0,4.0,4.0,,,2018,Genesis Open,,
Genesis Open,,,72.0,,,,7.0,,,2018,Genesis Open,,
Genesis Open,,,73.0,-3.0,5.0,6.0,,,,2018,Genesis Open,,
Genesis Open,,,74.0,1.0,-1.0,2.0,6.0,,,2018,Genesis Open,,
Genesis Open,,,75.0,2.0,,5.0,3.0,,,2018,Genesis Open,,
Genesis Open,,,76.0,2.0,,2.0,6.0,,,2018,Genesis Open,,
Genesis Open,,,77.0,4.0,-1.0,,,,,2018,Genesis Open,,
Genesis Open,,,78.0,4.0,-1.0,,,,,2018,Genesis Open,,
Genesis Open,,,79.0,4.0,-1.0,,,,,2018,Genesis Open,,
Genesis Open,,,80.0,3.0,,,,,,2018,Genesis Open,,
Genesis Open,,,81.0,2.0,1.0,,,,,2018,Genesis Open,,
Genesis Open,,,82.0,2.0,1.0,,,,,2018,Genesis Open,,
Genesis Open,,,83.0,1.0,2.0,,,,,2018,Genesis Open,,
Genesis Open,,,84.0,1.0,2.0,,,,,2018,Genesis Open,,
Genesis Open,,,85.0,1.0,2.0,,,,,2018,Genesis Open,,
Genesis Open,,,86.0,,3.0,,,,,2018,Genesis Open,,
Genesis Open,,,87.0,-1.0,4.0,,,,,2018,Genesis Open,,
Genesis Open,,,88.0,-1.0,4.0,,,,,2018,Genesis Open,,
Genesis Open,,,89.0,-2.0,5.0,,,,,2018,Genesis Open,,
Genesis Open,,,90.0,-3.0,6.0,,,,,2018,Genesis Open,,
Genesis Open,,,91.0,6.0,-2.0,,,,,2018,Genesis Open,,
Genesis Open,,,92.0,4.0,,,,,,2018,Genesis Open,,
Genesis Open,,,93.0,2.0,2.0,,,,,2018,Genesis Open,,
Genesis Open,,,94.0,2.0,2.0,,,,,2018,Genesis Open,,
Genesis Open,,,95.0,1.0,3.0,,,,,2018,Genesis Open,,
Genesis Open,,,96.0,1.0,3.0,,,,,2018,Genesis Open,,
Genesis Open,,,97.0,1.0,3.0,,,,,2018,Genesis Open,,
Genesis Open,,,98.0,,4.0,,,,,2018,Genesis Open,,
Genesis Open,,,99.0,,4.0,,,,,2018,Genesis Open,,
Genesis Open,,,100.0,,4.0,,,,,2018,Genesis Open,,
Genesis Open,,,101.0,-1.0,5.0,,,,,2018,Genesis Open,,
Genesis Open,,,102.0,6.0,-1.0,,,,,2018,Genesis Open,,
Genesis Open,,,103.0,4.0,1.0,,,,,2018,Genesis Open,,
Genesis Open,,,104.0,4.0,1.0,,,,,2018,Genesis Open,,
Genesis Open,,,105.0,3.0,2.0,,,,,2018,Genesis Open,,
Genesis Open,,,106.0,3.0,2.0,,,,,2018,Genesis Open,,
Genesis Open,,,107.0,2.0,3.0,,,,,2018,Genesis Open,,
Genesis Open,,,108.0,1.0,4.0,,,,,2018,Genesis Open,,
Genesis Open,,,109.0,1.0,4.0,,,,,2018,Genesis Open,,
