tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Houston Open,,,1.0,-2.0,1.0,-4.0,-5.0,,,2022,Houston Open,,
Houston Open,,,2.0,-3.0,-6.0,3.0,-2.0,,,2022,Houston Open,,
Houston Open,,,3.0,2.0,-8.0,-1.0,-1.0,,,2022,Houston Open,,
Houston Open,,,4.0,-3.0,-3.0,,-1.0,,,2022,Houston Open,,
Houston Open,,,5.0,,-1.0,,-5.0,,,2022,Houston Open,,
Houston Open,,,6.0,-5.0,-5.0,4.0,,,,2022,Houston Open,,
Houston Open,,,7.0,-2.0,1.0,1.0,-5.0,,,2022,Houston Open,,
Houston Open,,,8.0,,-3.0,1.0,-3.0,,,2022,Houston Open,,
Houston Open,,,9.0,-1.0,,-2.0,-2.0,,,2022,Houston Open,,
Houston Open,,,10.0,-5.0,2.0,-2.0,,,,2022,Houston Open,,
Houston Open,,,11.0,2.0,-1.0,1.0,-6.0,,,2022,Houston Open,,
Houston Open,,,12.0,-4.0,-3.0,3.0,,,,2022,Houston Open,,
Houston Open,,,13.0,-5.0,1.0,-1.0,1.0,,,2022,Houston Open,,
Houston Open,,,14.0,-2.0,-3.0,-1.0,2.0,,,2022,Houston Open,,
Houston Open,,,15.0,-2.0,2.0,-1.0,-2.0,,,2022,Houston Open,,
Houston Open,,,16.0,1.0,-1.0,-2.0,-1.0,,,2022,Houston Open,,
Houston Open,,,17.0,-3.0,2.0,-1.0,-1.0,,,2022,Houston Open,,
Houston Open,,,18.0,-1.0,2.0,-5.0,1.0,,,2022,Houston Open,,
Houston Open,,,19.0,-2.0,,3.0,-3.0,,,2022,Houston Open,,
Houston Open,,,20.0,1.0,,-1.0,-2.0,,,2022,Houston Open,,
Houston Open,,,21.0,1.0,-1.0,,-2.0,,,2022,Houston Open,,
Houston Open,,,22.0,1.0,-2.0,,-1.0,,,2022,Houston Open,,
Houston Open,,,23.0,,-2.0,1.0,-1.0,,,2022,Houston Open,,
Houston Open,,,24.0,-2.0,-3.0,2.0,1.0,,,2022,Houston Open,,
Houston Open,,,25.0,-5.0,,1.0,2.0,,,2022,Houston Open,,
Houston Open,,,26.0,3.0,-4.0,1.0,-1.0,,,2022,Houston Open,,
Houston Open,,,27.0,1.0,,-2.0,,,,2022,Houston Open,,
Houston Open,,,28.0,-3.0,-1.0,-2.0,5.0,,,2022,Houston Open,,
Houston Open,,,29.0,-1.0,2.0,3.0,-4.0,,,2022,Houston Open,,
Houston Open,,,30.0,-1.0,2.0,,-1.0,,,2022,Houston Open,,
Houston Open,,,31.0,-2.0,2.0,-1.0,1.0,,,2022,Houston Open,,
Houston Open,,,32.0,1.0,-1.0,-1.0,1.0,,,2022,Houston Open,,
Houston Open,,,33.0,-2.0,-3.0,2.0,3.0,,,2022,Houston Open,,
Houston Open,,,34.0,,-6.0,2.0,4.0,,,2022,Houston Open,,
Houston Open,,,35.0,2.0,-1.0,1.0,-1.0,,,2022,Houston Open,,
Houston Open,,,36.0,-2.0,2.0,2.0,-1.0,,,2022,Houston Open,,
Houston Open,,,37.0,2.0,-3.0,3.0,-1.0,,,2022,Houston Open,,
Houston Open,,,38.0,4.0,-3.0,,,,,2022,Houston Open,,
Houston Open,,,39.0,,,1.0,,,,2022,Houston Open,,
Houston Open,,,40.0,,1.0,-2.0,2.0,,,2022,Houston Open,,
Houston Open,,,41.0,-2.0,2.0,4.0,-2.0,,,2022,Houston Open,,
Houston Open,,,42.0,-3.0,,4.0,1.0,,,2022,Houston Open,,
Houston Open,,,43.0,,-1.0,,3.0,,,2022,Houston Open,,
Houston Open,,,44.0,-3.0,-1.0,3.0,3.0,,,2022,Houston Open,,
Houston Open,,,45.0,-4.0,-1.0,2.0,5.0,,,2022,Houston Open,,
Houston Open,,,46.0,2.0,-4.0,3.0,2.0,,,2022,Houston Open,,
Houston Open,,,47.0,-2.0,-3.0,6.0,2.0,,,2022,Houston Open,,
Houston Open,,,48.0,-2.0,,2.0,3.0,,,2022,Houston Open,,
Houston Open,,,49.0,-1.0,2.0,-3.0,5.0,,,2022,Houston Open,,
Houston Open,,,50.0,-1.0,,7.0,-2.0,,,2022,Houston Open,,
Houston Open,,,51.0,1.0,-2.0,3.0,2.0,,,2022,Houston Open,,
Houston Open,,,52.0,1.0,-1.0,-1.0,5.0,,,2022,Houston Open,,
Houston Open,,,53.0,,-1.0,,5.0,,,2022,Houston Open,,
Houston Open,,,54.0,-3.0,4.0,4.0,,,,2022,Houston Open,,
Houston Open,,,55.0,-1.0,,6.0,,,,2022,Houston Open,,
Houston Open,,,56.0,-1.0,,4.0,2.0,,,2022,Houston Open,,
Houston Open,,,57.0,-3.0,4.0,1.0,3.0,,,2022,Houston Open,,
Houston Open,,,58.0,-2.0,3.0,1.0,3.0,,,2022,Houston Open,,
Houston Open,,,59.0,2.0,-1.0,,4.0,,,2022,Houston Open,,
Houston Open,,,60.0,-5.0,4.0,5.0,2.0,,,2022,Houston Open,,
Houston Open,,,61.0,1.0,,,6.0,,,2022,Houston Open,,
Houston Open,,,62.0,,1.0,,6.0,,,2022,Houston Open,,
Houston Open,,,63.0,,-2.0,2.0,7.0,,,2022,Houston Open,,
Houston Open,,,64.0,-2.0,-2.0,8.0,4.0,,,2022,Houston Open,,
Houston Open,,,65.0,-2.0,3.0,2.0,5.0,,,2022,Houston Open,,
Houston Open,,,66.0,1.0,,3.0,5.0,,,2022,Houston Open,,
Houston Open,,,67.0,1.0,-1.0,2.0,8.0,,,2022,Houston Open,,
Houston Open,,,68.0,6.0,-4.0,,,,,2022,Houston Open,,
Houston Open,,,69.0,4.0,-2.0,,,,,2022,Houston Open,,
Houston Open,,,70.0,3.0,-1.0,,,,,2022,Houston Open,,
Houston Open,,,71.0,3.0,-1.0,,,,,2022,Houston Open,,
Houston Open,,,72.0,3.0,-1.0,,,,,2022,Houston Open,,
Houston Open,,,73.0,1.0,1.0,,,,,2022,Houston Open,,
Houston Open,,,74.0,1.0,1.0,,,,,2022,Houston Open,,
Houston Open,,,75.0,,2.0,,,,,2022,Houston Open,,
Houston Open,,,76.0,,2.0,,,,,2022,Houston Open,,
Houston Open,,,77.0,-1.0,3.0,,,,,2022,Houston Open,,
Houston Open,,,78.0,-1.0,3.0,,,,,2022,Houston Open,,
Houston Open,,,79.0,-1.0,3.0,,,,,2022,Houston Open,,
Houston Open,,,80.0,-2.0,4.0,,,,,2022,Houston Open,,
Houston Open,,,81.0,-4.0,6.0,,,,,2022,Houston Open,,
Houston Open,,,82.0,5.0,-2.0,,,,,2022,Houston Open,,
Houston Open,,,83.0,3.0,,,,,,2022,Houston Open,,
Houston Open,,,84.0,3.0,,,,,,2022,Houston Open,,
Houston Open,,,85.0,3.0,,,,,,2022,Houston Open,,
Houston Open,,,86.0,2.0,1.0,,,,,2022,Houston Open,,
Houston Open,,,87.0,1.0,2.0,,,,,2022,Houston Open,,
Houston Open,,,88.0,1.0,2.0,,,,,2022,Houston Open,,
Houston Open,,,89.0,1.0,2.0,,,,,2022,Houston Open,,
Houston Open,,,90.0,1.0,2.0,,,,,2022,Houston Open,,
Houston Open,,,91.0,,3.0,,,,,2022,Houston Open,,
Houston Open,,,92.0,,3.0,,,,,2022,Houston Open,,
Houston Open,,,93.0,,3.0,,,,,2022,Houston Open,,
Houston Open,,,94.0,,3.0,,,,,2022,Houston Open,,
Houston Open,,,95.0,-1.0,4.0,,,,,2022,Houston Open,,
Houston Open,,,96.0,-2.0,5.0,,,,,2022,Houston Open,,
Houston Open,,,97.0,-2.0,5.0,,,,,2022,Houston Open,,
Houston Open,,,98.0,4.0,,,,,,2022,Houston Open,,
Houston Open,,,99.0,3.0,1.0,,,,,2022,Houston Open,,
Houston Open,,,100.0,2.0,2.0,,,,,2022,Houston Open,,
Houston Open,,,101.0,2.0,2.0,,,,,2022,Houston Open,,
Houston Open,,,102.0,1.0,3.0,,,,,2022,Houston Open,,
Houston Open,,,103.0,,4.0,,,,,2022,Houston Open,,
Houston Open,,,104.0,,4.0,,,,,2022,Houston Open,,
Houston Open,,,105.0,-3.0,7.0,,,,,2022,Houston Open,,
Houston Open,,,106.0,5.0,,,,,,2022,Houston Open,,
Houston Open,,,107.0,4.0,1.0,,,,,2022,Houston Open,,
Houston Open,,,108.0,3.0,2.0,,,,,2022,Houston Open,,
Houston Open,,,109.0,2.0,3.0,,,,,2022,Houston Open,,
Houston Open,,,110.0,1.0,4.0,,,,,2022,Houston Open,,
Houston Open,,,111.0,,5.0,,,,,2022,Houston Open,,
Houston Open,,,112.0,-1.0,6.0,,,,,2022,Houston Open,,
Houston Open,,,113.0,2.0,4.0,,,,,2022,Houston Open,,
Houston Open,,,114.0,2.0,4.0,,,,,2022,Houston Open,,
Houston Open,,,115.0,,6.0,,,,,2022,Houston Open,,
Houston Open,,,116.0,,6.0,,,,,2022,Houston Open,,
Houston Open,,,117.0,4.0,3.0,,,,,2022,Houston Open,,
Houston Open,,,118.0,2.0,5.0,,,,,2022,Houston Open,,
Houston Open,,,119.0,2.0,5.0,,,,,2022,Houston Open,,
Houston Open,,,120.0,1.0,6.0,,,,,2022,Houston Open,,
Houston Open,,,121.0,-1.0,8.0,,,,,2022,Houston Open,,
Houston Open,,,122.0,4.0,4.0,,,,,2022,Houston Open,,
Houston Open,,,123.0,3.0,5.0,,,,,2022,Houston Open,,
Houston Open,,,124.0,2.0,6.0,,,,,2022,Houston Open,,
Houston Open,,,125.0,5.0,4.0,,,,,2022,Houston Open,,
Houston Open,,,126.0,2.0,7.0,,,,,2022,Houston Open,,
Houston Open,,,127.0,,14.0,,,,,2022,Houston Open,,
Houston Open,,,128.0,7.0,10.0,,,,,2022,Houston Open,,
Houston Open,,,129.0,1.0,3.0,,,,,2022,Houston Open,,
Houston Open,,,130.0,2.0,3.0,,,,,2022,Houston Open,,
Houston Open,,,131.0,7.0,3.0,,,,,2022,Houston Open,,
Houston Open,,,132.0,4.0,7.0,,,,,2022,Houston Open,,
