tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Hyundai Tournament of Champions,,,1.0,-6.0,-4.0,-5.0,-6.0,,,2015,Hyundai Tournament of Champions,-1.0,
Hyundai Tournament of Champions,,,2.0,-3.0,-4.0,-2.0,-11.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,3.0,-8.0,-3.0,-3.0,-6.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,4.0,-3.0,-7.0,-7.0,-3.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,5.0,-7.0,-4.0,-4.0,-3.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,6.0,-5.0,-6.0,,-6.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,7.0,-6.0,-4.0,-2.0,-4.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,8.0,-4.0,-6.0,-4.0,-2.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,9.0,-3.0,-4.0,-5.0,-3.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,10.0,-2.0,-3.0,-4.0,-5.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,11.0,-4.0,-1.0,-5.0,-4.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,12.0,-6.0,-1.0,-3.0,-4.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,13.0,-5.0,3.0,,-11.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,14.0,-3.0,-7.0,,-3.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,15.0,-6.0,-3.0,-3.0,-1.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,16.0,-3.0,-3.0,2.0,-8.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,17.0,-5.0,-3.0,1.0,-5.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,18.0,-2.0,-2.0,-4.0,-4.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,19.0,-3.0,,-5.0,-3.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,20.0,-2.0,-3.0,-4.0,-2.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,21.0,-4.0,,-2.0,-4.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,22.0,-1.0,-3.0,-3.0,-3.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,23.0,-4.0,,-6.0,,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,24.0,-3.0,2.0,-6.0,-2.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,25.0,-5.0,-2.0,,-2.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,26.0,-1.0,-4.0,1.0,-4.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,27.0,,-2.0,-3.0,-3.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,28.0,-2.0,,-1.0,-3.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,29.0,-4.0,,-1.0,-1.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,30.0,1.0,-6.0,,-1.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,31.0,-2.0,-3.0,-2.0,2.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,32.0,-4.0,-2.0,,3.0,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,33.0,1.0,,,,,,2015,Hyundai Tournament of Champions,,
Hyundai Tournament of Champions,,,34.0,-6.0,-5.0,-6.0,-4.0,,,2015,Hyundai Tournament of Champions,-5.0,
