tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
ISCO Championship,,,1.0,-6.0,-5.0,-8.0,-3.0,,,2024,Genesis Scottish Open,-1.0,
ISCO Championship,,,2.0,-5.0,-5.0,-4.0,-8.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,3.0,-11.0,-5.0,-4.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,4.0,-2.0,-8.0,-4.0,-8.0,,,2024,Genesis Scottish Open,1.0,
ISCO Championship,,,5.0,-8.0,-6.0,-5.0,-3.0,,,2024,Genesis Scottish Open,1.0,
ISCO Championship,,,6.0,-4.0,-4.0,-5.0,-7.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,7.0,-3.0,-6.0,-4.0,-7.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,8.0,-3.0,-5.0,-10.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,9.0,-5.0,-7.0,-6.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,10.0,-3.0,-6.0,-1.0,-9.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,11.0,-5.0,-6.0,-5.0,-3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,12.0,-7.0,-5.0,-5.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,13.0,-4.0,-10.0,-3.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,14.0,-6.0,-7.0,-5.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,15.0,-6.0,-3.0,-5.0,-4.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,16.0,-6.0,-2.0,-3.0,-6.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,17.0,-3.0,-6.0,-4.0,-4.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,18.0,-4.0,-4.0,-6.0,-3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,19.0,-7.0,-6.0,-2.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,20.0,-7.0,-6.0,-3.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,21.0,-4.0,-5.0,-4.0,-3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,22.0,-2.0,-7.0,-5.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,23.0,-5.0,-4.0,-6.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,24.0,-3.0,-7.0,-6.0,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,25.0,-5.0,-6.0,-2.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,26.0,-4.0,-5.0,-5.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,27.0,-3.0,-7.0,-4.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,28.0,-3.0,-7.0,-4.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,29.0,-4.0,-5.0,-7.0,1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,30.0,-5.0,-9.0,-2.0,1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,31.0,-7.0,-1.0,-2.0,-4.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,32.0,-5.0,-4.0,-2.0,-3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,33.0,-7.0,-4.0,,-3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,34.0,-1.0,-10.0,,-3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,35.0,-5.0,-4.0,-5.0,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,36.0,-6.0,-5.0,-5.0,2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,37.0,-6.0,-6.0,2.0,-3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,38.0,-3.0,-5.0,-4.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,39.0,-6.0,-2.0,-4.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,40.0,-5.0,-4.0,-3.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,41.0,-2.0,-7.0,-3.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,42.0,-8.0,-5.0,1.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,43.0,-5.0,-5.0,-3.0,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,44.0,-5.0,-8.0,-2.0,2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,45.0,-3.0,-5.0,-2.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,46.0,-3.0,-5.0,-2.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,47.0,-5.0,-3.0,-3.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,48.0,-5.0,-3.0,-4.0,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,49.0,-4.0,-7.0,-1.0,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,50.0,-2.0,-7.0,-1.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,51.0,-6.0,-5.0,-1.0,1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,52.0,-7.0,-4.0,-5.0,5.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,53.0,-5.0,-4.0,1.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,54.0,-4.0,-4.0,-3.0,1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,55.0,-7.0,-3.0,3.0,-2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,56.0,-2.0,-6.0,,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,57.0,-5.0,-3.0,-2.0,1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,58.0,-2.0,-7.0,-2.0,2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,59.0,-3.0,-5.0,1.0,-1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,60.0,-6.0,-6.0,3.0,1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,61.0,-3.0,-5.0,-2.0,2.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,62.0,-5.0,-4.0,-2.0,3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,63.0,-5.0,-8.0,3.0,3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,64.0,-2.0,-6.0,5.0,-3.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,65.0,-4.0,-5.0,3.0,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,66.0,-4.0,-4.0,-3.0,5.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,67.0,-4.0,-4.0,3.0,1.0,,,2024,Genesis Scottish Open,,
ISCO Championship,,,68.0,,-7.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,69.0,,-7.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,70.0,-1.0,-6.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,71.0,-1.0,-6.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,72.0,-2.0,-5.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,73.0,-2.0,-5.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,74.0,-2.0,-5.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,75.0,-2.0,-5.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,76.0,-2.0,-5.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,77.0,-3.0,-4.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,78.0,-3.0,-4.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,79.0,-5.0,-2.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,80.0,-7.0,,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,81.0,-1.0,-5.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,82.0,-1.0,-5.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,83.0,-2.0,-4.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,84.0,-3.0,-3.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,85.0,-4.0,-2.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,86.0,-4.0,-2.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,87.0,-5.0,-1.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,88.0,3.0,-8.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,89.0,2.0,-7.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,90.0,1.0,-6.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,91.0,,-5.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,92.0,-1.0,-4.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,93.0,-1.0,-4.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,94.0,-1.0,-4.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,95.0,-2.0,-3.0,,,,,2024,Genesis Scottish Open,,
ISCO Championship,,,96.0,-2.0,-3.0,,,,,2024,Genesis Scottish Open,,
