tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
John Deere Classic,,,1.0,-3.0,-8.0,-1.0,-7.0,,,2021,John Deere Classic,,
John Deere Classic,,,2.0,-4.0,-5.0,-5.0,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,3.0,-6.0,-5.0,-3.0,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,4.0,-4.0,-7.0,-1.0,-4.0,,,2021,John Deere Classic,,
John Deere Classic,,,5.0,-5.0,-8.0,,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,6.0,-2.0,-4.0,-8.0,-2.0,,,2021,John Deere Classic,,
John Deere Classic,,,7.0,-8.0,-4.0,-4.0,,,,2021,John Deere Classic,,
John Deere Classic,,,8.0,-7.0,-2.0,,-6.0,,,2021,John Deere Classic,,
John Deere Classic,,,9.0,-3.0,-4.0,-3.0,-5.0,,,2021,John Deere Classic,,
John Deere Classic,,,10.0,-2.0,-4.0,-5.0,-4.0,,,2021,John Deere Classic,,
John Deere Classic,,,11.0,-1.0,-3.0,-4.0,-6.0,,,2021,John Deere Classic,,
John Deere Classic,,,12.0,-2.0,-4.0,-2.0,-6.0,,,2021,John Deere Classic,,
John Deere Classic,,,13.0,-4.0,-4.0,-1.0,-5.0,,,2021,John Deere Classic,,
John Deere Classic,,,14.0,-2.0,-3.0,-6.0,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,15.0,-4.0,-5.0,-2.0,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,16.0,-4.0,-5.0,-4.0,-1.0,,,2021,John Deere Classic,,
John Deere Classic,,,17.0,-5.0,-3.0,-6.0,,,,2021,John Deere Classic,,
John Deere Classic,,,18.0,-5.0,-4.0,-1.0,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,19.0,-3.0,-6.0,-3.0,-1.0,,,2021,John Deere Classic,,
John Deere Classic,,,20.0,,-7.0,-6.0,,,,2021,John Deere Classic,,
John Deere Classic,,,21.0,-7.0,-4.0,-2.0,,,,2021,John Deere Classic,,
John Deere Classic,,,22.0,-4.0,-7.0,-4.0,2.0,,,2021,John Deere Classic,,
John Deere Classic,,,23.0,-5.0,-2.0,2.0,-7.0,,,2021,John Deere Classic,,
John Deere Classic,,,24.0,,-4.0,-4.0,-4.0,,,2021,John Deere Classic,,
John Deere Classic,,,25.0,-1.0,-5.0,-5.0,-1.0,,,2021,John Deere Classic,,
John Deere Classic,,,26.0,-4.0,-6.0,-1.0,-1.0,,,2021,John Deere Classic,,
John Deere Classic,,,27.0,-1.0,-6.0,-7.0,2.0,,,2021,John Deere Classic,,
John Deere Classic,,,28.0,-4.0,-2.0,-2.0,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,29.0,-3.0,-3.0,-2.0,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,30.0,-3.0,-5.0,,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,31.0,-3.0,-3.0,-3.0,-2.0,,,2021,John Deere Classic,,
John Deere Classic,,,32.0,-4.0,-6.0,,-1.0,,,2021,John Deere Classic,,
John Deere Classic,,,33.0,-3.0,-8.0,,,,,2021,John Deere Classic,,
John Deere Classic,,,34.0,-1.0,-3.0,-3.0,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,35.0,-5.0,,-2.0,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,36.0,-2.0,-3.0,-4.0,-1.0,,,2021,John Deere Classic,,
John Deere Classic,,,37.0,-2.0,-4.0,-3.0,-1.0,,,2021,John Deere Classic,,
John Deere Classic,,,38.0,-3.0,-3.0,-4.0,,,,2021,John Deere Classic,,
John Deere Classic,,,39.0,-2.0,-5.0,-3.0,,,,2021,John Deere Classic,,
John Deere Classic,,,40.0,-8.0,-3.0,1.0,,,,2021,John Deere Classic,,
John Deere Classic,,,41.0,-3.0,-3.0,1.0,-4.0,,,2021,John Deere Classic,,
John Deere Classic,,,42.0,-3.0,-3.0,,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,43.0,-3.0,-3.0,,-3.0,,,2021,John Deere Classic,,
John Deere Classic,,,44.0,-1.0,-5.0,-3.0,,,,2021,John Deere Classic,,
John Deere Classic,,,45.0,-3.0,-4.0,-3.0,1.0,,,2021,John Deere Classic,,
John Deere Classic,,,46.0,-7.0,,-4.0,2.0,,,2021,John Deere Classic,,
John Deere Classic,,,47.0,-1.0,-4.0,-3.0,,,,2021,John Deere Classic,,
John Deere Classic,,,48.0,-4.0,-4.0,,,,,2021,John Deere Classic,,
John Deere Classic,,,49.0,-3.0,-4.0,-2.0,1.0,,,2021,John Deere Classic,,
John Deere Classic,,,50.0,-2.0,-2.0,-1.0,-2.0,,,2021,John Deere Classic,,
John Deere Classic,,,51.0,-1.0,-5.0,1.0,-2.0,,,2021,John Deere Classic,,
John Deere Classic,,,52.0,-3.0,-1.0,-2.0,-1.0,,,2021,John Deere Classic,,
John Deere Classic,,,53.0,-3.0,-3.0,-1.0,,,,2021,John Deere Classic,,
