tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Masters Tournament,,,1.0,,-6.0,-6.0,1.0,,,2025,Masters Tournament,-1.0,
Masters Tournament,,,2.0,-7.0,-1.0,3.0,-6.0,,,2025,Masters Tournament,,
Masters Tournament,,,3.0,-1.0,-2.0,-3.0,-3.0,,,2025,Masters Tournament,,
Masters Tournament,,,4.0,-4.0,-1.0,,-3.0,,,2025,Masters Tournament,,
Masters Tournament,,,5.0,-1.0,-2.0,-1.0,-3.0,,,2025,Masters Tournament,,
Masters Tournament,,,6.0,-3.0,-4.0,-3.0,3.0,,,2025,Masters Tournament,,
Masters Tournament,,,7.0,-4.0,1.0,-3.0,,,,2025,Masters Tournament,,
Masters Tournament,,,8.0,,2.0,-6.0,-1.0,,,2025,Masters Tournament,,
Masters Tournament,,,9.0,1.0,-3.0,-2.0,-1.0,,,2025,Masters Tournament,,
Masters Tournament,,,10.0,-2.0,-2.0,-1.0,,,,2025,Masters Tournament,,
Masters Tournament,,,11.0,-4.0,-2.0,-2.0,3.0,,,2025,Masters Tournament,,
Masters Tournament,,,12.0,-2.0,1.0,1.0,-4.0,,,2025,Masters Tournament,,
Masters Tournament,,,13.0,2.0,-2.0,-3.0,-1.0,,,2025,Masters Tournament,,
Masters Tournament,,,14.0,-1.0,,2.0,-4.0,,,2025,Masters Tournament,,
Masters Tournament,,,15.0,3.0,-1.0,-2.0,-3.0,,,2025,Masters Tournament,,
Masters Tournament,,,16.0,1.0,1.0,-3.0,-2.0,,,2025,Masters Tournament,,
Masters Tournament,,,17.0,,,-2.0,-1.0,,,2025,Masters Tournament,,
Masters Tournament,,,18.0,-3.0,-2.0,3.0,-1.0,,,2025,Masters Tournament,,
Masters Tournament,,,19.0,-1.0,-4.0,3.0,-1.0,,,2025,Masters Tournament,,
Masters Tournament,,,20.0,,-3.0,,,,,2025,Masters Tournament,,
Masters Tournament,,,21.0,1.0,-4.0,7.0,-6.0,,,2025,Masters Tournament,,
Masters Tournament,,,22.0,-1.0,1.0,1.0,-3.0,,,2025,Masters Tournament,,
Masters Tournament,,,23.0,1.0,-3.0,3.0,-3.0,,,2025,Masters Tournament,,
Masters Tournament,,,24.0,1.0,-3.0,3.0,-3.0,,,2025,Masters Tournament,,
