tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Mexico Open,,,1.0,-6.0,-7.0,-6.0,-5.0,,,2023,Mexico Open,,
Mexico Open,,,2.0,-4.0,-3.0,-10.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,3.0,-5.0,-7.0,-4.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,4.0,-3.0,-6.0,-8.0,-1.0,,,2023,Mexico Open,,
Mexico Open,,,5.0,-3.0,-3.0,-4.0,-6.0,,,2023,Mexico Open,,
Mexico Open,,,6.0,-6.0,-3.0,-2.0,-5.0,,,2023,Mexico Open,,
Mexico Open,,,7.0,-8.0,-1.0,-3.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,8.0,-4.0,-1.0,-5.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,9.0,-3.0,-5.0,-2.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,10.0,-1.0,-2.0,-3.0,-7.0,,,2023,Mexico Open,,
Mexico Open,,,11.0,-2.0,-4.0,,-7.0,,,2023,Mexico Open,,
Mexico Open,,,12.0,-4.0,,-3.0,-6.0,,,2023,Mexico Open,,
Mexico Open,,,13.0,-3.0,-1.0,-4.0,-5.0,,,2023,Mexico Open,,
Mexico Open,,,14.0,-4.0,-3.0,-1.0,-5.0,,,2023,Mexico Open,,
Mexico Open,,,15.0,-3.0,,-5.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,16.0,-4.0,-4.0,-1.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,17.0,-4.0,,-6.0,-2.0,,,2023,Mexico Open,,
Mexico Open,,,18.0,-1.0,-3.0,-1.0,-6.0,,,2023,Mexico Open,,
Mexico Open,,,19.0,-3.0,-1.0,-2.0,-5.0,,,2023,Mexico Open,,
Mexico Open,,,20.0,1.0,-7.0,,-5.0,,,2023,Mexico Open,,
Mexico Open,,,21.0,-6.0,,-1.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,22.0,-4.0,,-4.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,23.0,-4.0,1.0,-6.0,-2.0,,,2023,Mexico Open,,
Mexico Open,,,24.0,2.0,-4.0,-2.0,-6.0,,,2023,Mexico Open,,
Mexico Open,,,25.0,-3.0,-1.0,-3.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,26.0,-2.0,-2.0,-3.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,27.0,1.0,-4.0,-5.0,-2.0,,,2023,Mexico Open,,
Mexico Open,,,28.0,-4.0,-5.0,-2.0,1.0,,,2023,Mexico Open,,
Mexico Open,,,29.0,-4.0,-5.0,-4.0,3.0,,,2023,Mexico Open,,
Mexico Open,,,30.0,-4.0,-3.0,1.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,31.0,-6.0,-1.0,1.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,32.0,-3.0,-4.0,-2.0,,,,2023,Mexico Open,,
Mexico Open,,,33.0,-1.0,-2.0,2.0,-7.0,,,2023,Mexico Open,,
Mexico Open,,,34.0,-2.0,-1.0,-1.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,35.0,-3.0,-2.0,1.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,36.0,-4.0,,-1.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,37.0,2.0,-4.0,-4.0,-2.0,,,2023,Mexico Open,,
Mexico Open,,,38.0,-7.0,-5.0,1.0,3.0,,,2023,Mexico Open,,
Mexico Open,,,39.0,3.0,-5.0,-1.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,40.0,-2.0,-1.0,-3.0,-1.0,,,2023,Mexico Open,,
Mexico Open,,,41.0,-1.0,-3.0,-2.0,-1.0,,,2023,Mexico Open,,
Mexico Open,,,42.0,-1.0,-3.0,-2.0,-1.0,,,2023,Mexico Open,,
Mexico Open,,,43.0,-5.0,-1.0,,-1.0,,,2023,Mexico Open,,
Mexico Open,,,44.0,-4.0,2.0,-5.0,,,,2023,Mexico Open,,
Mexico Open,,,45.0,1.0,-6.0,-2.0,,,,2023,Mexico Open,,
Mexico Open,,,46.0,-5.0,2.0,-1.0,-2.0,,,2023,Mexico Open,,
Mexico Open,,,47.0,,-3.0,-2.0,-1.0,,,2023,Mexico Open,,
Mexico Open,,,48.0,-3.0,-5.0,2.0,,,,2023,Mexico Open,,
Mexico Open,,,49.0,1.0,-4.0,1.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,50.0,-2.0,-1.0,,-2.0,,,2023,Mexico Open,,
Mexico Open,,,51.0,-3.0,-3.0,3.0,-2.0,,,2023,Mexico Open,,
Mexico Open,,,52.0,4.0,-7.0,-2.0,,,,2023,Mexico Open,,
Mexico Open,,,53.0,-4.0,1.0,-3.0,1.0,,,2023,Mexico Open,,
Mexico Open,,,54.0,-4.0,1.0,-3.0,1.0,,,2023,Mexico Open,,
Mexico Open,,,55.0,-2.0,-3.0,3.0,-2.0,,,2023,Mexico Open,,
Mexico Open,,,56.0,-2.0,,-1.0,-1.0,,,2023,Mexico Open,,
Mexico Open,,,57.0,-3.0,-2.0,1.0,,,,2023,Mexico Open,,
Mexico Open,,,58.0,-4.0,2.0,-4.0,2.0,,,2023,Mexico Open,,
Mexico Open,,,59.0,,-4.0,-3.0,3.0,,,2023,Mexico Open,,
Mexico Open,,,60.0,-3.0,1.0,3.0,-4.0,,,2023,Mexico Open,,
Mexico Open,,,61.0,-1.0,-1.0,,-1.0,,,2023,Mexico Open,,
Mexico Open,,,62.0,,-3.0,1.0,-1.0,,,2023,Mexico Open,,
Mexico Open,,,63.0,-7.0,,5.0,-1.0,,,2023,Mexico Open,,
Mexico Open,,,64.0,-3.0,-2.0,-1.0,3.0,,,2023,Mexico Open,,
Mexico Open,,,65.0,-6.0,-1.0,-1.0,5.0,,,2023,Mexico Open,,
Mexico Open,,,66.0,-3.0,-2.0,6.0,-3.0,,,2023,Mexico Open,,
Mexico Open,,,67.0,-1.0,-1.0,2.0,-2.0,,,2023,Mexico Open,,
Mexico Open,,,68.0,-2.0,-1.0,2.0,-1.0,,,2023,Mexico Open,,
