tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Mexico Open at VidantaWorld,,,1.0,-6.0,-6.0,-7.0,-1.0,,,2025,Mexico Open at VidantaWorld,-1.0,
Mexico Open at VidantaWorld,,,2.0,-6.0,-10.0,-4.0,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,3.0,-6.0,-4.0,-3.0,-6.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,4.0,-4.0,-6.0,-4.0,-4.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,5.0,-4.0,-7.0,-3.0,-4.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,6.0,-3.0,-2.0,-6.0,-6.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,7.0,-5.0,-7.0,-5.0,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,8.0,-2.0,-5.0,-5.0,-4.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,9.0,-5.0,-5.0,-1.0,-4.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,10.0,-5.0,-3.0,-3.0,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,11.0,-6.0,-2.0,-5.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,12.0,-2.0,-6.0,-7.0,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,13.0,-3.0,,-4.0,-6.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,14.0,-4.0,,-4.0,-5.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,15.0,-3.0,-3.0,-4.0,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,16.0,-2.0,-4.0,-6.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,17.0,-2.0,-2.0,-2.0,-6.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,18.0,-3.0,,-4.0,-5.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,19.0,-3.0,-3.0,-3.0,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,20.0,-1.0,-6.0,-2.0,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,21.0,-5.0,-4.0,,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,22.0,-3.0,-4.0,-3.0,-2.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,23.0,-3.0,-5.0,-3.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,24.0,-2.0,-7.0,-2.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,25.0,-1.0,-3.0,-1.0,-6.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,26.0,-4.0,1.0,-3.0,-5.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,27.0,3.0,-6.0,-3.0,-5.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,28.0,-1.0,-6.0,1.0,-5.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,29.0,-7.0,,,-4.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,30.0,-7.0,-1.0,,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,31.0,-4.0,-3.0,-5.0,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,32.0,-5.0,-2.0,1.0,-4.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,33.0,-2.0,-3.0,-3.0,-2.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,34.0,-4.0,,-1.0,-4.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,35.0,,-3.0,-3.0,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,36.0,-1.0,-4.0,-1.0,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,37.0,-2.0,-4.0,,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,38.0,-3.0,,-4.0,-2.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,39.0,-2.0,-4.0,-1.0,-2.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,40.0,-5.0,-4.0,1.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,41.0,-3.0,-2.0,-4.0,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,42.0,-4.0,-2.0,-3.0,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,43.0,-7.0,1.0,-4.0,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,44.0,-5.0,-2.0,-3.0,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,45.0,-4.0,,-1.0,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,46.0,-3.0,-1.0,-3.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,47.0,-1.0,-5.0,-3.0,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,48.0,-3.0,-4.0,-2.0,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,49.0,,-4.0,1.0,-4.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,50.0,-3.0,-2.0,-2.0,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,51.0,-5.0,-3.0,1.0,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,52.0,-3.0,-5.0,1.0,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,53.0,-1.0,-4.0,-3.0,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,54.0,-3.0,-1.0,-6.0,3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,55.0,,-3.0,,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,56.0,-2.0,-1.0,,-3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,57.0,-2.0,-4.0,1.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,58.0,-3.0,-2.0,-2.0,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,59.0,1.0,-6.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,60.0,,-5.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,61.0,-2.0,-2.0,-2.0,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,62.0,-2.0,-3.0,-3.0,3.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,63.0,,-5.0,3.0,-2.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,64.0,-4.0,-3.0,4.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,65.0,-4.0,1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,66.0,-3.0,-3.0,3.0,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,67.0,-2.0,-2.0,,1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,68.0,-2.0,-2.0,3.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,69.0,,-4.0,3.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,70.0,-1.0,-3.0,,2.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,71.0,1.0,-4.0,-3.0,4.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,72.0,3.0,-6.0,5.0,-2.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,73.0,-4.0,-2.0,1.0,5.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,74.0,,-3.0,5.0,-1.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,75.0,-4.0,-3.0,3.0,6.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,76.0,-1.0,-2.0,1.0,5.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,77.0,1.0,-5.0,1.0,6.0,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,78.0,2.0,-4.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,79.0,1.0,-3.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,80.0,1.0,-3.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,81.0,1.0,-3.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,82.0,1.0,-3.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,83.0,,-2.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,84.0,,-2.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,85.0,-1.0,-1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,86.0,-1.0,-1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,87.0,-1.0,-1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,88.0,-2.0,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,89.0,-2.0,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,90.0,-3.0,1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,91.0,-3.0,1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,92.0,2.0,-3.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,93.0,1.0,-2.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,94.0,,-1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,95.0,,-1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,96.0,-1.0,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,97.0,-1.0,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,98.0,-1.0,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,99.0,-1.0,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,100.0,-2.0,1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,101.0,-3.0,2.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,102.0,-5.0,4.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,103.0,2.0,-2.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,104.0,2.0,-2.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,105.0,,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,106.0,,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,107.0,-1.0,1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,108.0,-2.0,2.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,109.0,-3.0,3.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,110.0,-4.0,4.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,111.0,-6.0,6.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,112.0,1.0,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,113.0,1.0,,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,114.0,-2.0,3.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,115.0,-3.0,4.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,116.0,1.0,1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,117.0,5.0,-2.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,118.0,2.0,1.0,,,,,2025,Mexico Open at VidantaWorld,,
Mexico Open at VidantaWorld,,,119.0,2.0,1.0,,,,,2025,Mexico Open at VidantaWorld,,
