tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Mexico Open at Vidanta,,,1.0,-4.0,-7.0,-8.0,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,2.0,-7.0,-4.0,-4.0,-2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,3.0,,-4.0,-4.0,-6.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,4.0,-3.0,-3.0,-2.0,-6.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,5.0,-1.0,-5.0,-5.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,6.0,-5.0,-1.0,-3.0,-4.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,7.0,,-5.0,-6.0,-2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,8.0,,-4.0,-3.0,-5.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,9.0,-4.0,,-4.0,-4.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,10.0,-5.0,-3.0,-2.0,-2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,11.0,-8.0,-2.0,-1.0,-1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,12.0,-5.0,-2.0,-5.0,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,13.0,-1.0,-1.0,-4.0,-5.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,14.0,-2.0,-4.0,-2.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,15.0,,-4.0,-5.0,-2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,16.0,-4.0,-7.0,2.0,-2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,17.0,-1.0,-3.0,-8.0,1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,18.0,-6.0,,-6.0,1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,19.0,,-3.0,-3.0,-4.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,20.0,-3.0,-1.0,-2.0,-4.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,21.0,-1.0,-1.0,-5.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,22.0,,-3.0,-6.0,-1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,23.0,-4.0,-1.0,-4.0,-1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,24.0,-3.0,-3.0,2.0,-5.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,25.0,-4.0,-2.0,2.0,-5.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,26.0,1.0,-3.0,-4.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,27.0,-2.0,,-4.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,28.0,-3.0,-1.0,-2.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,29.0,-2.0,-2.0,-2.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,30.0,-2.0,-4.0,-2.0,-1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,31.0,-1.0,-1.0,-7.0,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,32.0,-5.0,,-4.0,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,33.0,-2.0,,,-6.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,34.0,-1.0,-1.0,-1.0,-5.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,35.0,2.0,-4.0,-4.0,-2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,36.0,-2.0,-4.0,-4.0,2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,37.0,-5.0,-6.0,,3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,38.0,-2.0,-1.0,-1.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,39.0,-1.0,-4.0,1.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,40.0,-1.0,-1.0,-3.0,-2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,41.0,-2.0,-1.0,-2.0,-2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,42.0,-2.0,-1.0,-3.0,-1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,43.0,-3.0,-3.0,,-1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,44.0,1.0,-7.0,,-1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,45.0,-5.0,-1.0,-4.0,3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,46.0,-4.0,-2.0,1.0,-1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,47.0,-5.0,-1.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,48.0,-2.0,,1.0,-4.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,49.0,-6.0,2.0,-1.0,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,50.0,-5.0,-1.0,,1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,51.0,-2.0,-6.0,2.0,1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,52.0,-3.0,-1.0,3.0,-3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,53.0,,-4.0,2.0,-2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,54.0,1.0,-5.0,1.0,-1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,55.0,-1.0,-1.0,-2.0,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,56.0,,-6.0,1.0,1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,57.0,,-4.0,-2.0,2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,58.0,-1.0,-1.0,-1.0,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,59.0,,-2.0,-2.0,1.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,60.0,-2.0,,-1.0,2.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,61.0,-2.0,-4.0,2.0,3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,62.0,-1.0,-1.0,-3.0,4.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,63.0,,-3.0,-2.0,4.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,64.0,-4.0,-2.0,,5.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,65.0,-6.0,4.0,5.0,3.0,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,66.0,2.0,-3.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,67.0,2.0,-3.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,68.0,2.0,-3.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,69.0,2.0,-3.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,70.0,1.0,-2.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,71.0,,-1.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,72.0,,-1.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,73.0,-1.0,,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,74.0,-1.0,,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,75.0,-1.0,,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,76.0,-2.0,1.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,77.0,-3.0,2.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,78.0,2.0,-2.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,79.0,2.0,-2.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,80.0,1.0,-1.0,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,81.0,,,,,,,2024,Mexico Open at Vidanta,,
Mexico Open at Vidanta,,,82.0,,,,,,,2024,Mexico Open at Vidanta,,
