tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Northern Trust Open,,,1.0,-5.0,3.0,-2.0,-2.0,,,2015,Northern Trust Open,-2.0,
Northern Trust Open,,,2.0,-1.0,1.0,-4.0,-2.0,,,2015,Northern Trust Open,-1.0,
Northern Trust Open,,,3.0,-1.0,-2.0,,-3.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,4.0,-1.0,1.0,-1.0,-4.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,5.0,2.0,-3.0,-1.0,-3.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,6.0,-2.0,-1.0,-1.0,-1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,7.0,,-2.0,-3.0,,,,2015,Northern Trust Open,,
Northern Trust Open,,,8.0,1.0,-1.0,,-4.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,9.0,,,-5.0,1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,10.0,-1.0,-4.0,-1.0,2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,11.0,-5.0,-1.0,-2.0,4.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,12.0,3.0,,,-6.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,13.0,-5.0,3.0,-2.0,1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,14.0,-3.0,3.0,2.0,-4.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,15.0,-1.0,1.0,1.0,-3.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,16.0,3.0,-1.0,-2.0,-2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,17.0,-2.0,1.0,,-1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,18.0,,-1.0,-3.0,2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,19.0,-1.0,-2.0,-1.0,2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,20.0,4.0,-4.0,,-1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,21.0,-4.0,2.0,-3.0,4.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,22.0,2.0,,,-2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,23.0,2.0,,,-2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,24.0,-5.0,3.0,3.0,-1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,25.0,,-2.0,2.0,,,,2015,Northern Trust Open,,
Northern Trust Open,,,26.0,-2.0,4.0,-5.0,3.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,27.0,3.0,-3.0,-3.0,3.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,28.0,-2.0,-3.0,1.0,4.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,29.0,-1.0,-2.0,-2.0,5.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,30.0,-1.0,3.0,2.0,-3.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,31.0,2.0,,1.0,-2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,32.0,5.0,-3.0,,-1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,33.0,,2.0,-1.0,,,,2015,Northern Trust Open,,
Northern Trust Open,,,34.0,-1.0,2.0,-1.0,1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,35.0,2.0,-2.0,,1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,36.0,-5.0,3.0,2.0,1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,37.0,1.0,-2.0,,2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,38.0,-1.0,-3.0,,5.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,39.0,3.0,-1.0,1.0,-1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,40.0,,,,2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,41.0,,1.0,3.0,-1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,42.0,,-1.0,5.0,-1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,43.0,,-1.0,4.0,,,,2015,Northern Trust Open,,
Northern Trust Open,,,44.0,2.0,,,1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,45.0,-2.0,2.0,-1.0,4.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,46.0,-3.0,-2.0,4.0,4.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,47.0,,3.0,,1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,48.0,1.0,-1.0,-1.0,5.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,49.0,-3.0,5.0,4.0,-1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,50.0,,3.0,1.0,1.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,51.0,3.0,,,2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,52.0,2.0,-1.0,2.0,2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,53.0,-1.0,1.0,3.0,2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,54.0,2.0,-2.0,3.0,2.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,55.0,1.0,2.0,-3.0,5.0,,,2015,Northern Trust Open,,
Northern Trust Open,,,56.0,3.0,,3.0,,,,2015,Northern Trust Open,,
Northern Trust Open,,,57.0,-1.0,2.0,5.0,,,,2015,Northern Trust Open,,
