tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
ONEflight Myrtle Beach Classic,,,1.0,-6.0,-1.0,-3.0,-5.0,,,2025,Truist Championship,-1.0,
ONEflight Myrtle Beach Classic,,,2.0,-8.0,-2.0,-1.0,-4.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,3.0,-4.0,-5.0,-3.0,-3.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,4.0,-3.0,-4.0,-1.0,-6.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,5.0,-4.0,-2.0,,-7.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,6.0,-1.0,-4.0,-4.0,-4.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,7.0,-2.0,-1.0,-2.0,-7.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,8.0,-4.0,-2.0,,-6.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,9.0,-3.0,,-4.0,-5.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,10.0,-2.0,-3.0,-3.0,-4.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,11.0,-1.0,-4.0,-3.0,-4.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,12.0,-7.0,1.0,-2.0,-4.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,13.0,-4.0,-1.0,,-6.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,14.0,-2.0,-2.0,-2.0,-5.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,15.0,-1.0,-3.0,-4.0,-3.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,16.0,,-5.0,-3.0,-3.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,17.0,-4.0,-1.0,-5.0,-1.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,18.0,-4.0,-5.0,-1.0,-1.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,19.0,-1.0,-5.0,-7.0,2.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,20.0,-2.0,-4.0,,-4.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,21.0,-2.0,-2.0,-3.0,-3.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,22.0,-4.0,-3.0,-1.0,-2.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,23.0,-4.0,-2.0,-3.0,-1.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,24.0,-4.0,-3.0,-2.0,-1.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,25.0,-2.0,-2.0,-3.0,-2.0,,,2025,Truist Championship,,
ONEflight Myrtle Beach Classic,,,26.0,-2.0,-6.0,-2.0,1.0,,,2025,Truist Championship,,
