tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
PGA TOUR Q-School presented by Korn Ferry,,,1.0,-5.0,-2.0,-5.0,-3.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,2.0,-1.0,-5.0,-2.0,-3.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,3.0,-3.0,-4.0,-3.0,1.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,4.0,,-3.0,-4.0,-1.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,5.0,-4.0,-1.0,-2.0,-1.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,6.0,2.0,-5.0,-1.0,-3.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,7.0,-4.0,1.0,1.0,-4.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,8.0,-3.0,,-1.0,-2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,9.0,-3.0,-1.0,-2.0,,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,10.0,-2.0,-1.0,2.0,-4.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,11.0,-2.0,-1.0,1.0,-3.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,12.0,,-1.0,-2.0,-2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,13.0,2.0,-6.0,-4.0,3.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,14.0,,3.0,-4.0,-3.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,15.0,-3.0,4.0,-2.0,-3.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,16.0,1.0,-1.0,-2.0,-2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,17.0,1.0,-1.0,-2.0,-2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,18.0,1.0,-1.0,-2.0,-2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,19.0,-1.0,-4.0,1.0,,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,20.0,1.0,-4.0,-3.0,2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,21.0,4.0,-1.0,-3.0,-3.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,22.0,8.0,-5.0,-4.0,-2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,23.0,,-1.0,,-2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,24.0,-2.0,-2.0,1.0,,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,25.0,-4.0,,,1.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,26.0,-2.0,-2.0,-1.0,2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,27.0,-1.0,-6.0,1.0,3.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,28.0,5.0,-1.0,-1.0,-5.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,29.0,3.0,,-3.0,-2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
PGA TOUR Q-School presented by Korn Ferry,,,30.0,,,,-2.0,,,2023,PGA TOUR Q-School presented by Korn Ferry,,
