tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Palmetto Championship at Congaree,,,1.0,-3.0,-2.0,-3.0,-3.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,2.0,-3.0,-1.0,-1.0,-5.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,3.0,-5.0,1.0,-2.0,-4.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,4.0,-6.0,1.0,-1.0,-4.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,5.0,-2.0,,-5.0,-3.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,6.0,,-3.0,-4.0,-3.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,7.0,-6.0,-5.0,-3.0,4.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,8.0,,-2.0,,-7.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,9.0,,-1.0,-4.0,-4.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,10.0,,-1.0,-2.0,-5.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,11.0,-6.0,,1.0,-3.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,12.0,-1.0,-5.0,,-2.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,13.0,-6.0,-3.0,2.0,-1.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,14.0,-3.0,4.0,-1.0,-7.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,15.0,-3.0,-3.0,3.0,-4.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,16.0,-4.0,-2.0,2.0,-3.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,17.0,-4.0,-3.0,,,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,18.0,-4.0,-2.0,-4.0,3.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,19.0,,,-3.0,-3.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,20.0,,-1.0,-2.0,-3.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,21.0,-2.0,1.0,-3.0,-2.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,22.0,-2.0,-3.0,,-1.0,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,23.0,-4.0,2.0,-4.0,,,,2021,RBC Canadian Open,,
Palmetto Championship at Congaree,,,24.0,-1.0,-5.0,,,,,2021,RBC Canadian Open,,
