tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Procore Championship,,,1.0,-6.0,-7.0,-5.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,2.0,-7.0,-5.0,-2.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,3.0,-4.0,-7.0,-2.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,4.0,-4.0,-1.0,-7.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,5.0,-1.0,-6.0,-6.0,,,,2024,Procore Championship,,
Procore Championship,,,6.0,-2.0,-5.0,-6.0,,,,2024,Procore Championship,,
Procore Championship,,,7.0,-3.0,-4.0,-1.0,-4.0,,,2024,Procore Championship,,
Procore Championship,,,8.0,-3.0,-1.0,-5.0,-3.0,,,2024,Procore Championship,,
Procore Championship,,,9.0,-2.0,-5.0,-4.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,10.0,-3.0,-6.0,-3.0,,,,2024,Procore Championship,,
Procore Championship,,,11.0,1.0,-8.0,-6.0,1.0,,,2024,Procore Championship,,
Procore Championship,,,12.0,-3.0,-2.0,-3.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,13.0,-4.0,-4.0,4.0,-5.0,,,2024,Procore Championship,,
Procore Championship,,,14.0,-1.0,-3.0,-1.0,-4.0,,,2024,Procore Championship,,
Procore Championship,,,15.0,-3.0,-5.0,3.0,-4.0,,,2024,Procore Championship,,
Procore Championship,,,16.0,-4.0,1.0,-3.0,-3.0,,,2024,Procore Championship,,
Procore Championship,,,17.0,-2.0,-2.0,-3.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,18.0,-3.0,-2.0,-3.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,19.0,-2.0,-3.0,-3.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,20.0,-4.0,1.0,-6.0,,,,2024,Procore Championship,,
Procore Championship,,,21.0,-1.0,-5.0,-3.0,,,,2024,Procore Championship,,
Procore Championship,,,22.0,-2.0,-6.0,-1.0,,,,2024,Procore Championship,,
Procore Championship,,,23.0,-2.0,-4.0,-4.0,1.0,,,2024,Procore Championship,,
Procore Championship,,,24.0,-2.0,-8.0,,1.0,,,2024,Procore Championship,,
Procore Championship,,,25.0,-5.0,1.0,-8.0,3.0,,,2024,Procore Championship,,
Procore Championship,,,26.0,-2.0,-1.0,-2.0,-3.0,,,2024,Procore Championship,,
Procore Championship,,,27.0,-4.0,-1.0,,-3.0,,,2024,Procore Championship,,
Procore Championship,,,28.0,-1.0,-5.0,,-2.0,,,2024,Procore Championship,,
Procore Championship,,,29.0,-2.0,-5.0,1.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,30.0,-3.0,-7.0,2.0,,,,2024,Procore Championship,,
Procore Championship,,,31.0,-1.0,-6.0,-2.0,1.0,,,2024,Procore Championship,,
Procore Championship,,,32.0,-1.0,-2.0,-2.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,33.0,-4.0,-3.0,1.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,34.0,-1.0,-2.0,-4.0,,,,2024,Procore Championship,,
Procore Championship,,,35.0,-1.0,-5.0,-3.0,2.0,,,2024,Procore Championship,,
Procore Championship,,,36.0,1.0,-7.0,-5.0,4.0,,,2024,Procore Championship,,
Procore Championship,,,37.0,,-4.0,1.0,-3.0,,,2024,Procore Championship,,
Procore Championship,,,38.0,-3.0,-2.0,1.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,39.0,-1.0,-6.0,3.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,40.0,-2.0,-1.0,-2.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,41.0,-1.0,-5.0,,,,,2024,Procore Championship,,
Procore Championship,,,42.0,-1.0,-2.0,-4.0,1.0,,,2024,Procore Championship,,
Procore Championship,,,43.0,-2.0,-4.0,-1.0,1.0,,,2024,Procore Championship,,
Procore Championship,,,44.0,-2.0,-2.0,1.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,45.0,-4.0,,-1.0,,,,2024,Procore Championship,,
Procore Championship,,,46.0,-3.0,-1.0,-3.0,2.0,,,2024,Procore Championship,,
Procore Championship,,,47.0,,-4.0,2.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,48.0,-1.0,-3.0,,,,,2024,Procore Championship,,
Procore Championship,,,49.0,-6.0,1.0,,1.0,,,2024,Procore Championship,,
Procore Championship,,,50.0,-5.0,,4.0,-2.0,,,2024,Procore Championship,,
Procore Championship,,,51.0,-4.0,1.0,1.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,52.0,-4.0,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,53.0,-1.0,-4.0,2.0,,,,2024,Procore Championship,,
Procore Championship,,,54.0,,-3.0,-1.0,1.0,,,2024,Procore Championship,,
Procore Championship,,,55.0,1.0,-5.0,-1.0,2.0,,,2024,Procore Championship,,
Procore Championship,,,56.0,-2.0,-4.0,,3.0,,,2024,Procore Championship,,
Procore Championship,,,57.0,-1.0,-6.0,-2.0,6.0,,,2024,Procore Championship,,
Procore Championship,,,58.0,-1.0,-2.0,4.0,-3.0,,,2024,Procore Championship,,
Procore Championship,,,59.0,-4.0,-3.0,6.0,-1.0,,,2024,Procore Championship,,
Procore Championship,,,60.0,,-5.0,2.0,1.0,,,2024,Procore Championship,,
Procore Championship,,,61.0,-1.0,-2.0,1.0,1.0,,,2024,Procore Championship,,
Procore Championship,,,62.0,1.0,-6.0,1.0,3.0,,,2024,Procore Championship,,
Procore Championship,,,63.0,-3.0,-2.0,-2.0,6.0,,,2024,Procore Championship,,
Procore Championship,,,64.0,-5.0,2.0,5.0,,,,2024,Procore Championship,,
Procore Championship,,,65.0,-3.0,-4.0,5.0,4.0,,,2024,Procore Championship,,
Procore Championship,,,66.0,2.0,-4.0,,,,,2024,Procore Championship,,
Procore Championship,,,67.0,1.0,-3.0,,,,,2024,Procore Championship,,
Procore Championship,,,68.0,1.0,-3.0,,,,,2024,Procore Championship,,
Procore Championship,,,69.0,,-2.0,,,,,2024,Procore Championship,,
Procore Championship,,,70.0,-1.0,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,71.0,-1.0,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,72.0,-1.0,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,73.0,-3.0,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,74.0,1.0,-2.0,,,,,2024,Procore Championship,,
Procore Championship,,,75.0,,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,76.0,,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,77.0,-1.0,,,,,,2024,Procore Championship,,
Procore Championship,,,78.0,-1.0,,,,,,2024,Procore Championship,,
Procore Championship,,,79.0,-1.0,,,,,,2024,Procore Championship,,
Procore Championship,,,80.0,-1.0,,,,,,2024,Procore Championship,,
Procore Championship,,,81.0,-1.0,,,,,,2024,Procore Championship,,
Procore Championship,,,82.0,-2.0,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,83.0,-3.0,2.0,,,,,2024,Procore Championship,,
Procore Championship,,,84.0,4.0,-4.0,,,,,2024,Procore Championship,,
Procore Championship,,,85.0,3.0,-3.0,,,,,2024,Procore Championship,,
Procore Championship,,,86.0,2.0,-2.0,,,,,2024,Procore Championship,,
Procore Championship,,,87.0,2.0,-2.0,,,,,2024,Procore Championship,,
Procore Championship,,,88.0,1.0,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,89.0,1.0,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,90.0,1.0,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,91.0,,,,,,,2024,Procore Championship,,
Procore Championship,,,92.0,,,,,,,2024,Procore Championship,,
Procore Championship,,,93.0,,,,,,,2024,Procore Championship,,
Procore Championship,,,94.0,-1.0,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,95.0,-1.0,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,96.0,-2.0,2.0,,,,,2024,Procore Championship,,
Procore Championship,,,97.0,-2.0,2.0,,,,,2024,Procore Championship,,
Procore Championship,,,98.0,-3.0,3.0,,,,,2024,Procore Championship,,
Procore Championship,,,99.0,-5.0,5.0,,,,,2024,Procore Championship,,
Procore Championship,,,100.0,-5.0,5.0,,,,,2024,Procore Championship,,
Procore Championship,,,101.0,4.0,-3.0,,,,,2024,Procore Championship,,
Procore Championship,,,102.0,2.0,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,103.0,1.0,,,,,,2024,Procore Championship,,
Procore Championship,,,104.0,1.0,,,,,,2024,Procore Championship,,
Procore Championship,,,105.0,,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,106.0,,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,107.0,-1.0,2.0,,,,,2024,Procore Championship,,
Procore Championship,,,108.0,-4.0,5.0,,,,,2024,Procore Championship,,
Procore Championship,,,109.0,3.0,-1.0,,,,,2024,Procore Championship,,
Procore Championship,,,110.0,2.0,,,,,,2024,Procore Championship,,
Procore Championship,,,111.0,2.0,,,,,,2024,Procore Championship,,
Procore Championship,,,112.0,2.0,,,,,,2024,Procore Championship,,
Procore Championship,,,113.0,1.0,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,114.0,1.0,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,115.0,1.0,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,116.0,1.0,1.0,,,,,2024,Procore Championship,,
Procore Championship,,,117.0,,2.0,,,,,2024,Procore Championship,,
