tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Puerto Rico Open,,,1.0,-6.0,-6.0,-4.0,-3.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,-2.0,
Puerto Rico Open,,,2.0,-6.0,-6.0,-3.0,-4.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,-1.0,
Puerto Rico Open,,,3.0,-3.0,-4.0,-4.0,-7.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,4.0,-4.0,-7.0,-3.0,-4.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,5.0,-4.0,-7.0,-5.0,-2.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,6.0,1.0,-7.0,-5.0,-6.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,7.0,-7.0,-7.0,-1.0,-2.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,8.0,-3.0,-6.0,-9.0,1.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,9.0,-7.0,-3.0,-2.0,-4.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,10.0,-2.0,-2.0,-3.0,-8.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,11.0,-2.0,-3.0,-5.0,-5.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,12.0,-4.0,-1.0,-6.0,-4.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,13.0,-5.0,-4.0,-2.0,-4.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,14.0,-5.0,-7.0,-4.0,1.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,15.0,-1.0,-4.0,-6.0,-3.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
Puerto Rico Open,,,16.0,-7.0,-3.0,-2.0,-2.0,,,2024,Arnold Palmer Invitational pres. by Mastercard,,
