tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Puerto Rico Open at Coco Beach,,,1.0,-3.0,-2.0,-5.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,-3.0,
Puerto Rico Open at Coco Beach,,,2.0,-2.0,-5.0,-3.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,-2.0,
Puerto Rico Open at Coco Beach,,,3.0,-2.0,-2.0,-3.0,-4.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,4.0,-1.0,-6.0,-4.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,5.0,-2.0,1.0,-4.0,-5.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,6.0,-2.0,-1.0,-5.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,7.0,-1.0,-3.0,-5.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,8.0,-6.0,-1.0,-1.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,9.0,-6.0,,-3.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,10.0,-8.0,-1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,11.0,,-2.0,-3.0,-3.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,12.0,-2.0,-3.0,-2.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,13.0,-6.0,-1.0,,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,14.0,-5.0,-2.0,-1.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,15.0,-4.0,3.0,,-6.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,16.0,,-3.0,-2.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,17.0,-2.0,-2.0,-1.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,18.0,-3.0,-2.0,,-2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,19.0,-5.0,-2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,20.0,-3.0,-3.0,-2.0,1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,21.0,2.0,-3.0,2.0,-7.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,22.0,1.0,-3.0,-1.0,-3.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,23.0,-1.0,-1.0,-3.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,24.0,-3.0,-2.0,,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,25.0,-2.0,-4.0,-1.0,1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,26.0,-1.0,-1.0,1.0,-4.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,27.0,-3.0,1.0,,-3.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,28.0,-3.0,,1.0,-3.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,29.0,-1.0,,-2.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,30.0,-6.0,,3.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,31.0,,-1.0,-3.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,32.0,-3.0,,-1.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,33.0,-5.0,,1.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,34.0,-3.0,-1.0,-2.0,1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,35.0,-3.0,,5.0,-6.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,36.0,-1.0,-3.0,1.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,37.0,,-1.0,-3.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,38.0,-5.0,2.0,-1.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,39.0,-1.0,-1.0,1.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,40.0,-3.0,-1.0,3.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,41.0,-4.0,2.0,,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,42.0,-1.0,-3.0,2.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,43.0,,-2.0,-2.0,1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,44.0,1.0,-3.0,-3.0,2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,45.0,-1.0,-2.0,-2.0,2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,46.0,-2.0,-4.0,-4.0,7.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,47.0,-5.0,3.0,2.0,-2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,48.0,-2.0,1.0,-1.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,49.0,-2.0,-2.0,2.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,50.0,-3.0,-4.0,5.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,51.0,-5.0,4.0,-2.0,1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,52.0,,-1.0,-2.0,1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,53.0,,-3.0,-4.0,5.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,54.0,-1.0,,3.0,-3.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,55.0,-1.0,-3.0,4.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,56.0,-1.0,,-2.0,2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,57.0,,-3.0,-2.0,4.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,58.0,-1.0,,1.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,59.0,-1.0,-1.0,-1.0,3.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,60.0,-3.0,1.0,4.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,61.0,-1.0,-1.0,1.0,2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,62.0,-3.0,-2.0,8.0,-1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,63.0,,-2.0,2.0,2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,64.0,-3.0,1.0,-2.0,6.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,65.0,-2.0,1.0,2.0,2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,66.0,-3.0,,4.0,2.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,67.0,-3.0,2.0,1.0,3.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,68.0,-2.0,1.0,1.0,4.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,69.0,1.0,-3.0,6.0,1.0,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,70.0,-7.0,-1.0,5.0,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,71.0,2.0,-2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,72.0,1.0,-1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,73.0,1.0,-1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,74.0,1.0,-1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,75.0,1.0,-1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,76.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,77.0,-2.0,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,78.0,-2.0,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,79.0,-3.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,80.0,1.0,,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,81.0,,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,82.0,,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,83.0,,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,84.0,,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,85.0,-2.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,86.0,-2.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,87.0,2.0,,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,88.0,2.0,,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,89.0,1.0,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,90.0,1.0,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,91.0,1.0,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,92.0,,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,93.0,-1.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,94.0,-2.0,4.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,95.0,-5.0,7.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,96.0,3.0,,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,97.0,2.0,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,98.0,1.0,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,99.0,1.0,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,100.0,,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,101.0,,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,102.0,-1.0,4.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,103.0,-1.0,4.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,104.0,-2.0,5.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,105.0,4.0,,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,106.0,3.0,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,107.0,2.0,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,108.0,1.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,109.0,,4.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,110.0,-1.0,5.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,111.0,-1.0,5.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,112.0,5.0,,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,113.0,3.0,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,114.0,3.0,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,115.0,2.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,116.0,2.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,117.0,1.0,4.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,118.0,-1.0,6.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,119.0,-3.0,8.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,120.0,4.0,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,121.0,3.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,122.0,,6.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,123.0,-1.0,7.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,124.0,6.0,1.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,125.0,5.0,2.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,126.0,4.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,127.0,2.0,5.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,128.0,,7.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,129.0,6.0,4.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,130.0,2.0,3.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,131.0,3.0,5.0,,,,,2016,Puerto Rico Open at Coco Beach,,
Puerto Rico Open at Coco Beach,,,132.0,4.0,5.0,,,,,2016,Puerto Rico Open at Coco Beach,,
