tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
RBC Canadian Open,,,1.0,-3.0,-4.0,-6.0,-9.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,2.0,-6.0,-2.0,-4.0,-3.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,3.0,-4.0,-6.0,-3.0,-2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,4.0,-1.0,-10.0,-1.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,5.0,-5.0,-7.0,-1.0,,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,6.0,-5.0,-4.0,-3.0,,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,7.0,-6.0,-2.0,3.0,-6.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,8.0,-4.0,-2.0,-1.0,-3.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,9.0,-5.0,-3.0,,-2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,10.0,-4.0,-4.0,-2.0,,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,11.0,-5.0,2.0,,-6.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,12.0,-2.0,-2.0,-1.0,-4.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,13.0,-2.0,-2.0,-1.0,-4.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,14.0,1.0,-6.0,1.0,-4.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,15.0,,-4.0,-1.0,-3.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,16.0,-3.0,-3.0,1.0,-3.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,17.0,-3.0,-4.0,1.0,-2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,18.0,-3.0,1.0,-6.0,,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,19.0,-4.0,-4.0,-1.0,1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,20.0,-2.0,,-3.0,-2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,21.0,-5.0,2.0,-3.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,22.0,1.0,-5.0,-2.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,23.0,-4.0,-1.0,-1.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,24.0,,-5.0,-1.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,25.0,1.0,-9.0,2.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,26.0,-6.0,,-2.0,1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,27.0,-2.0,,,-4.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,28.0,-1.0,-2.0,,-3.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,29.0,-1.0,-3.0,-3.0,1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,30.0,-6.0,-5.0,3.0,2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,31.0,-1.0,-4.0,1.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,32.0,-3.0,,-2.0,,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,33.0,-4.0,-2.0,-1.0,2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,34.0,-5.0,-7.0,5.0,2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,35.0,-2.0,,1.0,-3.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,36.0,-2.0,-1.0,2.0,-3.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,37.0,1.0,-3.0,,-2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,38.0,-5.0,2.0,1.0,-2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,39.0,-1.0,-1.0,-1.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,40.0,-3.0,1.0,-1.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,41.0,-4.0,,1.0,-1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,42.0,-3.0,-1.0,-1.0,1.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,43.0,-6.0,1.0,-1.0,2.0,,,2019,RBC Canadian Open,,
RBC Canadian Open,,,44.0,-3.0,,4.0,-4.0,,,2019,RBC Canadian Open,,
