tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
RBC Heritage,,,1.0,2.0,-8.0,-1.0,-5.0,,,2018,RBC Heritage,-1.0,
RBC Heritage,,,2.0,-3.0,-6.0,-3.0,,,,2018,RBC Heritage,-3.0,
RBC Heritage,,,3.0,-3.0,-7.0,4.0,-5.0,,,2018,RBC Heritage,,
RBC Heritage,,,4.0,-1.0,-7.0,-4.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,5.0,-2.0,-3.0,-2.0,-3.0,,,2018,RBC Heritage,,
RBC Heritage,,,6.0,-5.0,-2.0,-4.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,7.0,-1.0,-1.0,-4.0,-3.0,,,2018,RBC Heritage,,
RBC Heritage,,,8.0,-4.0,1.0,-3.0,-3.0,,,2018,RBC Heritage,,
RBC Heritage,,,9.0,2.0,-4.0,-5.0,-2.0,,,2018,RBC Heritage,,
RBC Heritage,,,10.0,-2.0,-5.0,,-2.0,,,2018,RBC Heritage,,
RBC Heritage,,,11.0,-2.0,-3.0,-5.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,12.0,-5.0,-3.0,-2.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,13.0,-2.0,-7.0,-4.0,4.0,,,2018,RBC Heritage,,
RBC Heritage,,,14.0,-2.0,,-2.0,-4.0,,,2018,RBC Heritage,,
RBC Heritage,,,15.0,-4.0,2.0,-4.0,-2.0,,,2018,RBC Heritage,,
RBC Heritage,,,16.0,1.0,-2.0,-2.0,-4.0,,,2018,RBC Heritage,,
RBC Heritage,,,17.0,-2.0,-2.0,1.0,-4.0,,,2018,RBC Heritage,,
RBC Heritage,,,18.0,-1.0,-2.0,-1.0,-3.0,,,2018,RBC Heritage,,
RBC Heritage,,,19.0,1.0,-5.0,-2.0,-1.0,,,2018,RBC Heritage,,
RBC Heritage,,,20.0,1.0,-5.0,-2.0,-1.0,,,2018,RBC Heritage,,
RBC Heritage,,,21.0,,-6.0,,-1.0,,,2018,RBC Heritage,,
RBC Heritage,,,22.0,-2.0,-2.0,-4.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,23.0,,-3.0,,-3.0,,,2018,RBC Heritage,,
RBC Heritage,,,24.0,-5.0,3.0,-2.0,-2.0,,,2018,RBC Heritage,,
RBC Heritage,,,25.0,2.0,-2.0,-5.0,-1.0,,,2018,RBC Heritage,,
RBC Heritage,,,26.0,1.0,-2.0,-5.0,,,,2018,RBC Heritage,,
RBC Heritage,,,27.0,-1.0,-3.0,-2.0,,,,2018,RBC Heritage,,
RBC Heritage,,,28.0,-1.0,-7.0,1.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,29.0,-5.0,-1.0,-2.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,30.0,-7.0,-1.0,-1.0,3.0,,,2018,RBC Heritage,,
RBC Heritage,,,31.0,-1.0,-6.0,-4.0,5.0,,,2018,RBC Heritage,,
RBC Heritage,,,32.0,-4.0,2.0,3.0,-6.0,,,2018,RBC Heritage,,
RBC Heritage,,,33.0,-3.0,1.0,-1.0,-2.0,,,2018,RBC Heritage,,
RBC Heritage,,,34.0,-3.0,-3.0,3.0,-2.0,,,2018,RBC Heritage,,
RBC Heritage,,,35.0,1.0,-1.0,-4.0,-1.0,,,2018,RBC Heritage,,
RBC Heritage,,,36.0,1.0,-3.0,-4.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,37.0,-3.0,-3.0,,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,38.0,3.0,-6.0,-4.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,39.0,-4.0,-2.0,-1.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,40.0,-1.0,1.0,1.0,-5.0,,,2018,RBC Heritage,,
RBC Heritage,,,41.0,-1.0,1.0,-3.0,-1.0,,,2018,RBC Heritage,,
RBC Heritage,,,42.0,-1.0,-1.0,,-1.0,,,2018,RBC Heritage,,
RBC Heritage,,,43.0,-2.0,,,-1.0,,,2018,RBC Heritage,,
RBC Heritage,,,44.0,2.0,-2.0,-3.0,,,,2018,RBC Heritage,,
RBC Heritage,,,45.0,-1.0,-1.0,-1.0,,,,2018,RBC Heritage,,
RBC Heritage,,,46.0,3.0,-6.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,47.0,-3.0,-3.0,1.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,48.0,-2.0,-3.0,-2.0,4.0,,,2018,RBC Heritage,,
RBC Heritage,,,49.0,2.0,-2.0,-2.0,,,,2018,RBC Heritage,,
RBC Heritage,,,50.0,,,-2.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,51.0,,-3.0,1.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,52.0,,,-3.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,53.0,-3.0,,,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,54.0,-3.0,-3.0,,5.0,,,2018,RBC Heritage,,
RBC Heritage,,,55.0,,,2.0,-2.0,,,2018,RBC Heritage,,
RBC Heritage,,,56.0,3.0,-3.0,2.0,-2.0,,,2018,RBC Heritage,,
RBC Heritage,,,57.0,2.0,-2.0,1.0,-1.0,,,2018,RBC Heritage,,
RBC Heritage,,,58.0,3.0,-3.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,59.0,2.0,-2.0,-1.0,1.0,,,2018,RBC Heritage,,
RBC Heritage,,,60.0,,,-2.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,61.0,-2.0,-1.0,1.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,62.0,-1.0,-1.0,-1.0,3.0,,,2018,RBC Heritage,,
RBC Heritage,,,63.0,2.0,-5.0,-1.0,4.0,,,2018,RBC Heritage,,
RBC Heritage,,,64.0,-1.0,-4.0,,5.0,,,2018,RBC Heritage,,
RBC Heritage,,,65.0,-3.0,-4.0,2.0,5.0,,,2018,RBC Heritage,,
RBC Heritage,,,66.0,-2.0,-5.0,-1.0,8.0,,,2018,RBC Heritage,,
RBC Heritage,,,67.0,,,-1.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,68.0,-2.0,-3.0,4.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,69.0,-3.0,-1.0,2.0,3.0,,,2018,RBC Heritage,,
RBC Heritage,,,70.0,,,,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,71.0,-1.0,-1.0,2.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,72.0,,-1.0,,3.0,,,2018,RBC Heritage,,
RBC Heritage,,,73.0,-2.0,2.0,1.0,3.0,,,2018,RBC Heritage,,
RBC Heritage,,,74.0,2.0,-2.0,3.0,2.0,,,2018,RBC Heritage,,
RBC Heritage,,,75.0,,,2.0,3.0,,,2018,RBC Heritage,,
RBC Heritage,,,76.0,2.0,-6.0,3.0,7.0,,,2018,RBC Heritage,,
RBC Heritage,,,77.0,5.0,-5.0,5.0,3.0,,,2018,RBC Heritage,,
RBC Heritage,,,78.0,6.0,-5.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,79.0,5.0,-4.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,80.0,3.0,-2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,81.0,3.0,-2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,82.0,2.0,-1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,83.0,1.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,84.0,1.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,85.0,,1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,86.0,,1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,87.0,,1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,88.0,,1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,89.0,-2.0,3.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,90.0,6.0,-4.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,91.0,3.0,-1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,92.0,3.0,-1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,93.0,3.0,-1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,94.0,3.0,-1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,95.0,2.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,96.0,2.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,97.0,1.0,1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,98.0,1.0,1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,99.0,,2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,100.0,-1.0,3.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,101.0,-1.0,3.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,102.0,4.0,-1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,103.0,3.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,104.0,3.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,105.0,1.0,2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,106.0,1.0,2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,107.0,,3.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,108.0,,3.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,109.0,,3.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,110.0,8.0,-4.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,111.0,6.0,-2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,112.0,5.0,-1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,113.0,4.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,114.0,4.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,115.0,2.0,2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,116.0,1.0,3.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,117.0,,5.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,118.0,5.0,1.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,119.0,4.0,2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,120.0,4.0,2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,121.0,7.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,122.0,4.0,3.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,123.0,2.0,5.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,124.0,4.0,4.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,125.0,5.0,4.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,126.0,4.0,5.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,127.0,10.0,,,,,,2018,RBC Heritage,,
RBC Heritage,,,128.0,5.0,5.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,129.0,9.0,2.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,130.0,3.0,8.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,131.0,10.0,5.0,,,,,2018,RBC Heritage,,
RBC Heritage,,,132.0,8.0,2.0,,,,,2018,RBC Heritage,,
