tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Rocket Mortgage Classic,,,1.0,-4.0,-6.0,-6.0,-2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,2.0,-4.0,-3.0,-6.0,-4.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,3.0,-4.0,-4.0,-6.0,-3.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,4.0,-6.0,-7.0,-4.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,5.0,-8.0,-5.0,-4.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,6.0,-3.0,-3.0,-4.0,-5.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,7.0,-6.0,-4.0,-2.0,-3.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,8.0,-3.0,-8.0,-4.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,9.0,-5.0,-6.0,-5.0,1.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,10.0,-4.0,-1.0,-6.0,-3.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,11.0,-3.0,-4.0,-4.0,-3.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,12.0,-5.0,-3.0,-3.0,-3.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,13.0,-1.0,-7.0,-4.0,-2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,14.0,-5.0,-3.0,-5.0,-1.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,15.0,-3.0,-4.0,-7.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,16.0,-3.0,-6.0,-6.0,1.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,17.0,-1.0,-6.0,-5.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,18.0,-5.0,-2.0,-5.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,19.0,-3.0,-8.0,-2.0,1.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,20.0,-4.0,-1.0,-3.0,-3.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,21.0,-3.0,-3.0,-3.0,-2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,22.0,-1.0,-6.0,-2.0,-2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,23.0,-5.0,-2.0,-2.0,-2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,24.0,-5.0,-4.0,-2.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,25.0,-2.0,-4.0,-1.0,-3.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,26.0,-2.0,-4.0,-1.0,-3.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,27.0,,-5.0,-3.0,-2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,28.0,-4.0,-2.0,-4.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,29.0,-5.0,-3.0,-3.0,1.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,30.0,-2.0,-8.0,-4.0,4.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,31.0,-2.0,-2.0,-2.0,-3.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,32.0,-5.0,-1.0,-1.0,-2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,33.0,-2.0,-2.0,-4.0,-1.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,34.0,-2.0,-4.0,-2.0,-1.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,35.0,-4.0,-3.0,-1.0,-1.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,36.0,3.0,-7.0,-5.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,37.0,-1.0,-3.0,-5.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,38.0,-3.0,-2.0,-4.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,39.0,-4.0,-4.0,-1.0,,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,40.0,-1.0,-3.0,-6.0,1.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,41.0,-6.0,,-5.0,2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,42.0,-2.0,-7.0,-2.0,2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,43.0,-3.0,-5.0,-5.0,4.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,44.0,1.0,-6.0,-1.0,-2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,45.0,-4.0,-1.0,-1.0,-2.0,,,2024,Rocket Mortgage Classic,,
Rocket Mortgage Classic,,,46.0,-7.0,-4.0,5.0,-2.0,,,2024,Rocket Mortgage Classic,,
