tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Safeway Open,,,1.0,-4.0,-5.0,-4.0,-1.0,,,2019,Safeway Open,-3.0,
Safeway Open,,,2.0,-5.0,-5.0,1.0,-5.0,,,2019,Safeway Open,-6.0,
Safeway Open,,,3.0,-6.0,-7.0,-3.0,2.0,,,2019,Safeway Open,,
Safeway Open,,,4.0,-2.0,-3.0,-3.0,-5.0,,,2019,Safeway Open,,
Safeway Open,,,5.0,-5.0,-2.0,-2.0,-4.0,,,2019,Safeway Open,,
Safeway Open,,,6.0,-3.0,-2.0,-5.0,-3.0,,,2019,Safeway Open,,
Safeway Open,,,7.0,-2.0,-5.0,-3.0,-3.0,,,2019,Safeway Open,,
Safeway Open,,,8.0,-6.0,-3.0,-3.0,-1.0,,,2019,Safeway Open,,
Safeway Open,,,9.0,-2.0,-2.0,-3.0,-4.0,,,2019,Safeway Open,,
Safeway Open,,,10.0,-3.0,-4.0,,-3.0,,,2019,Safeway Open,,
Safeway Open,,,11.0,1.0,-5.0,-3.0,-3.0,,,2019,Safeway Open,,
Safeway Open,,,12.0,-8.0,,-2.0,,,,2019,Safeway Open,,
Safeway Open,,,13.0,-2.0,-4.0,-5.0,1.0,,,2019,Safeway Open,,
Safeway Open,,,14.0,-4.0,-3.0,,-2.0,,,2019,Safeway Open,,
Safeway Open,,,15.0,-2.0,-3.0,-4.0,,,,2019,Safeway Open,,
Safeway Open,,,16.0,-5.0,-3.0,-2.0,1.0,,,2019,Safeway Open,,
Safeway Open,,,17.0,-2.0,-2.0,,-4.0,,,2019,Safeway Open,,
Safeway Open,,,18.0,-3.0,-4.0,1.0,-2.0,,,2019,Safeway Open,,
Safeway Open,,,19.0,-1.0,-2.0,-3.0,-2.0,,,2019,Safeway Open,,
Safeway Open,,,20.0,-3.0,-7.0,3.0,-1.0,,,2019,Safeway Open,,
Safeway Open,,,21.0,-2.0,-4.0,-2.0,,,,2019,Safeway Open,,
Safeway Open,,,22.0,-3.0,-2.0,-3.0,,,,2019,Safeway Open,,
Safeway Open,,,23.0,-7.0,-3.0,2.0,,,,2019,Safeway Open,,
Safeway Open,,,24.0,-4.0,-3.0,-2.0,1.0,,,2019,Safeway Open,,
Safeway Open,,,25.0,-2.0,-1.0,,-4.0,,,2019,Safeway Open,,
Safeway Open,,,26.0,-1.0,-3.0,-1.0,-2.0,,,2019,Safeway Open,,
Safeway Open,,,27.0,,-4.0,-2.0,-1.0,,,2019,Safeway Open,,
Safeway Open,,,28.0,-2.0,-1.0,-3.0,-1.0,,,2019,Safeway Open,,
Safeway Open,,,29.0,-5.0,-1.0,-1.0,,,,2019,Safeway Open,,
Safeway Open,,,30.0,-2.0,-5.0,,,,,2019,Safeway Open,,
