tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Sanderson Farms Championship,,,1.0,-1.0,-9.0,-4.0,-3.0,,,2023,Sanderson Farms Championship,-1.0,
Sanderson Farms Championship,,,2.0,-3.0,-6.0,-3.0,-5.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,3.0,-2.0,-6.0,-4.0,-4.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,4.0,-2.0,-4.0,-4.0,-5.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,5.0,1.0,-7.0,-4.0,-3.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,6.0,-2.0,-1.0,-8.0,-2.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,7.0,-2.0,-5.0,-4.0,-2.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,8.0,-5.0,-3.0,-7.0,2.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,9.0,,-3.0,-1.0,-8.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,10.0,-3.0,-1.0,-3.0,-5.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,11.0,-5.0,-5.0,2.0,-4.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,12.0,,-4.0,-5.0,-3.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,13.0,,-4.0,-4.0,-3.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,14.0,-1.0,-3.0,-4.0,-3.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,15.0,-1.0,-4.0,-3.0,-3.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,16.0,-1.0,-4.0,-4.0,-2.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,17.0,-4.0,,-6.0,-1.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,18.0,-3.0,-5.0,-4.0,1.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,19.0,-1.0,-2.0,,-7.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,20.0,-1.0,-2.0,-2.0,-5.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,21.0,-5.0,1.0,-4.0,-2.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,22.0,-4.0,-2.0,-2.0,-2.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,23.0,-6.0,-1.0,-2.0,-1.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,24.0,-4.0,-1.0,,-4.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,25.0,,-6.0,1.0,-4.0,,,2023,Sanderson Farms Championship,,
Sanderson Farms Championship,,,26.0,-1.0,-2.0,-3.0,-3.0,,,2023,Sanderson Farms Championship,,
