tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Shell Houston Open,,,1.0,-5.0,-5.0,-3.0,-7.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,2.0,-7.0,-9.0,-1.0,,,,2017,Shell Houston Open,,
Shell Houston Open,,,3.0,-4.0,-1.0,-7.0,-4.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,4.0,-8.0,-1.0,-5.0,-2.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,5.0,-2.0,-5.0,-1.0,-5.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,6.0,-5.0,-5.0,3.0,-5.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,7.0,-3.0,-1.0,-4.0,-3.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,8.0,-3.0,-5.0,3.0,-5.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,9.0,-6.0,-1.0,-1.0,-2.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,10.0,-1.0,,-3.0,-5.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,11.0,-4.0,-2.0,,-3.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,12.0,-2.0,1.0,-3.0,-4.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,13.0,-2.0,-2.0,-2.0,-2.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,14.0,-4.0,-3.0,1.0,-2.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,15.0,-5.0,-1.0,4.0,-5.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,16.0,-4.0,4.0,-5.0,-2.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,17.0,-5.0,-1.0,1.0,-2.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,18.0,-6.0,2.0,-2.0,-1.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,19.0,-4.0,-4.0,1.0,,,,2017,Shell Houston Open,,
Shell Houston Open,,,20.0,-1.0,1.0,-3.0,-3.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,21.0,-4.0,1.0,-1.0,-2.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,22.0,-3.0,-3.0,,,,,2017,Shell Houston Open,,
Shell Houston Open,,,23.0,3.0,-5.0,3.0,-6.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,24.0,-5.0,2.0,3.0,-5.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,25.0,,-2.0,1.0,-4.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,26.0,-2.0,-1.0,2.0,-4.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,27.0,-4.0,2.0,,-3.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,28.0,-1.0,-1.0,,-3.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,29.0,-2.0,-1.0,,-2.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,30.0,-4.0,-1.0,2.0,-2.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,31.0,-1.0,,-3.0,-1.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,32.0,-4.0,1.0,-1.0,-1.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,33.0,-6.0,-1.0,1.0,1.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,34.0,-1.0,1.0,,-4.0,,,2017,Shell Houston Open,,
Shell Houston Open,,,35.0,-1.0,-1.0,2.0,-4.0,,,2017,Shell Houston Open,,
