tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Shriners Children's Open,,,1.0,-7.0,-6.0,-5.0,-4.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,2.0,-7.0,-1.0,-7.0,-6.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,3.0,-7.0,-5.0,-2.0,-5.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,4.0,-7.0,-6.0,-1.0,-5.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,5.0,-5.0,-1.0,-3.0,-9.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,6.0,-5.0,-2.0,-6.0,-5.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,7.0,-5.0,-3.0,-5.0,-5.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,8.0,-10.0,,-4.0,-3.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,9.0,-7.0,1.0,-6.0,-4.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,10.0,-4.0,-6.0,-3.0,-3.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,11.0,-5.0,-3.0,-6.0,-2.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,12.0,-5.0,-3.0,-6.0,-2.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,13.0,-5.0,-5.0,-4.0,-2.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,14.0,-7.0,-2.0,-3.0,-3.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,15.0,-4.0,-5.0,-4.0,-2.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,16.0,-2.0,-1.0,-4.0,-7.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,17.0,-2.0,-1.0,-4.0,-7.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,18.0,-1.0,-2.0,-5.0,-6.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,19.0,-2.0,-2.0,-4.0,-6.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,20.0,-6.0,1.0,-3.0,-6.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,21.0,-6.0,-4.0,-3.0,-1.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,22.0,-6.0,-5.0,-2.0,-1.0,,,2024,Shriners Children's Open,,
Shriners Children's Open,,,23.0,-4.0,1.0,-3.0,-7.0,,,2024,Shriners Children's Open,,
