tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Shriners Hospital for Children Open,,,1.0,-5.0,-5.0,-6.0,-5.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,2.0,-2.0,-4.0,-8.0,-6.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,3.0,-5.0,,-5.0,-9.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,4.0,-3.0,-4.0,-2.0,-8.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,5.0,-5.0,-5.0,-2.0,-5.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,6.0,-6.0,-5.0,-3.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,7.0,-2.0,-4.0,-6.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,8.0,,-6.0,-6.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,9.0,-4.0,-1.0,-10.0,,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,10.0,-2.0,-4.0,,-8.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,11.0,-1.0,-5.0,-1.0,-7.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,12.0,1.0,-5.0,-4.0,-6.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,13.0,-2.0,-3.0,-3.0,-6.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,14.0,-2.0,-3.0,-4.0,-5.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,15.0,1.0,-6.0,-2.0,-6.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,16.0,1.0,-4.0,-5.0,-5.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,17.0,-3.0,-2.0,-3.0,-5.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,18.0,-5.0,-1.0,-2.0,-5.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,19.0,-1.0,-5.0,-4.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,20.0,-4.0,-2.0,-4.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,21.0,,-6.0,-5.0,-2.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,22.0,-6.0,-4.0,-2.0,-1.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,23.0,-5.0,1.0,-4.0,-4.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,24.0,-4.0,-5.0,1.0,-4.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,25.0,-2.0,-3.0,-4.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,26.0,-1.0,-5.0,-3.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,27.0,-8.0,-5.0,-3.0,4.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,28.0,-1.0,-3.0,-3.0,-4.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,29.0,-4.0,-3.0,,-4.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,30.0,-3.0,-1.0,-4.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,31.0,-3.0,-4.0,-1.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,32.0,-1.0,-3.0,-5.0,-2.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,33.0,1.0,-6.0,-6.0,,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,34.0,,-6.0,-5.0,,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,35.0,-2.0,-6.0,-5.0,2.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,36.0,2.0,-6.0,-1.0,-5.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,37.0,-1.0,-4.0,,-5.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,38.0,-2.0,-3.0,-2.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,39.0,1.0,-4.0,-6.0,-1.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,40.0,,-6.0,-3.0,-1.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,41.0,-5.0,-6.0,6.0,-4.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,42.0,-1.0,-2.0,-3.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,43.0,,-4.0,-2.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,44.0,-2.0,-3.0,-1.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,45.0,,-3.0,-4.0,-2.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,46.0,-5.0,1.0,-3.0,-2.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,47.0,-1.0,-4.0,-3.0,-1.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,48.0,-4.0,-2.0,-2.0,-1.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,49.0,-2.0,-5.0,-2.0,,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,50.0,-3.0,-5.0,-2.0,1.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,51.0,-1.0,-4.0,1.0,-4.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,52.0,3.0,-6.0,-2.0,-3.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,53.0,-3.0,-3.0,-1.0,-1.0,,,2019,Shriners Hospital for Children Open,,
Shriners Hospital for Children Open,,,54.0,-1.0,-4.0,-3.0,,,,2019,Shriners Hospital for Children Open,,
