tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Sony Open in Hawaii,,,1.0,-1.0,-6.0,-5.0,-8.0,,,2016,Sony Open in Hawaii,-1.0,
Sony Open in Hawaii,,,2.0,-7.0,-5.0,-4.0,-4.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,3.0,-5.0,-5.0,-6.0,-3.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,4.0,-6.0,-3.0,-5.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,5.0,-1.0,-5.0,-3.0,-6.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,6.0,-7.0,-4.0,-4.0,,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,7.0,-3.0,-1.0,-5.0,-5.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,8.0,3.0,-8.0,-5.0,-4.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,9.0,-4.0,-1.0,-5.0,-3.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,10.0,-5.0,-4.0,-1.0,-3.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,11.0,-6.0,-4.0,,-3.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,12.0,-3.0,-3.0,-5.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,13.0,-5.0,1.0,-2.0,-6.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,14.0,-2.0,-4.0,,-6.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,15.0,-2.0,-1.0,-4.0,-5.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,16.0,-1.0,-2.0,-4.0,-5.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,17.0,-7.0,-2.0,2.0,-5.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,18.0,-1.0,-2.0,-5.0,-4.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,19.0,-1.0,-5.0,-2.0,-4.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,20.0,-3.0,-5.0,,-4.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,21.0,-5.0,-4.0,1.0,-4.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,22.0,-4.0,-1.0,-5.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,23.0,-4.0,-3.0,-3.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,24.0,-6.0,-1.0,-3.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,25.0,1.0,-4.0,-8.0,-1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,26.0,-3.0,-3.0,-5.0,-1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,27.0,-4.0,-3.0,-4.0,-1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,28.0,-3.0,-2.0,-1.0,-5.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,29.0,-3.0,-5.0,,-3.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,30.0,,-4.0,-5.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,31.0,-2.0,-5.0,-2.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,32.0,-5.0,-5.0,1.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,33.0,-1.0,-2.0,-2.0,-5.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,34.0,-3.0,-1.0,-1.0,-5.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,35.0,-3.0,-3.0,-1.0,-3.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,36.0,,-3.0,-5.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,37.0,-3.0,-2.0,-4.0,-1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,38.0,-2.0,-5.0,-3.0,,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,39.0,-4.0,-4.0,-2.0,,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,40.0,-4.0,-1.0,-6.0,1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,41.0,,-5.0,-6.0,1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,42.0,-5.0,,1.0,-5.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,43.0,-2.0,-1.0,-2.0,-4.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,44.0,-1.0,-3.0,-1.0,-4.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,45.0,-3.0,-1.0,-3.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,46.0,-4.0,-3.0,,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,47.0,-5.0,-2.0,-1.0,-1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,48.0,-3.0,-7.0,,1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,49.0,-5.0,-4.0,-2.0,2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,50.0,-3.0,-3.0,2.0,-4.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,51.0,-7.0,-1.0,3.0,-3.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,52.0,-3.0,,-3.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,53.0,-4.0,,-3.0,-1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,54.0,,-4.0,-3.0,-1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,55.0,-3.0,-1.0,-5.0,1.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,56.0,-3.0,,-2.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,57.0,-3.0,,-2.0,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,58.0,,-5.0,,-2.0,,,2016,Sony Open in Hawaii,,
Sony Open in Hawaii,,,59.0,1.0,-4.0,-3.0,-1.0,,,2016,Sony Open in Hawaii,,
