tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
THE CJ CUP Byron Nelson,,,1.0,-10.0,-8.0,-5.0,-8.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,2.0,-5.0,-4.0,-6.0,-8.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,3.0,-6.0,-6.0,-1.0,-7.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,4.0,-2.0,-4.0,-4.0,-9.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,5.0,-7.0,1.0,-5.0,-6.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,6.0,-2.0,-6.0,-3.0,-6.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,7.0,-4.0,-4.0,-3.0,-6.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,8.0,-4.0,-4.0,-3.0,-6.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,9.0,-7.0,-2.0,-4.0,-4.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,10.0,-5.0,-6.0,-3.0,-3.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,11.0,-5.0,-4.0,-6.0,-2.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,12.0,-6.0,-5.0,-4.0,-2.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,13.0,-5.0,,-8.0,-3.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,14.0,-8.0,-2.0,-4.0,-2.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,15.0,-5.0,-3.0,,-7.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,16.0,-3.0,-5.0,,-7.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,17.0,-5.0,,-5.0,-5.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,18.0,-4.0,-2.0,-4.0,-5.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,19.0,-6.0,-3.0,-1.0,-5.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,20.0,-2.0,-4.0,-5.0,-4.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,21.0,-2.0,-5.0,-4.0,-4.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,22.0,-4.0,-3.0,-4.0,-4.0,,,2025,THE CJ CUP Byron Nelson,,
THE CJ CUP Byron Nelson,,,23.0,-7.0,-1.0,-3.0,-4.0,,,2025,THE CJ CUP Byron Nelson,,
