tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
THE CJ CUP @ NINE BRIDGES,,,1.0,-4.0,-9.0,-2.0,-5.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,2.0,-5.0,-6.0,-4.0,-3.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,3.0,-3.0,-2.0,-3.0,-7.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,4.0,-1.0,-1.0,-7.0,-6.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,5.0,-5.0,-3.0,-4.0,-3.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,6.0,-3.0,-4.0,-2.0,-4.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,7.0,-8.0,-3.0,1.0,-3.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,8.0,-3.0,-5.0,,-4.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,9.0,-3.0,-3.0,-3.0,-3.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,10.0,-1.0,-5.0,-5.0,-1.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,11.0,-2.0,-7.0,-2.0,-1.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,12.0,-2.0,,-3.0,-6.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,13.0,-2.0,-3.0,-2.0,-4.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,14.0,-7.0,1.0,-1.0,-4.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,15.0,-3.0,-3.0,-3.0,-2.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,16.0,1.0,-2.0,,-9.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,17.0,-3.0,2.0,-4.0,-5.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,18.0,-3.0,,-6.0,-1.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,19.0,-4.0,-1.0,-4.0,-1.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,20.0,,-2.0,,-7.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,21.0,-1.0,-2.0,-1.0,-5.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,22.0,,-3.0,-2.0,-4.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,23.0,-2.0,-2.0,-1.0,-4.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,24.0,,-4.0,-2.0,-3.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,25.0,-5.0,-2.0,,-2.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,26.0,,,-4.0,-4.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,27.0,-3.0,-4.0,2.0,-3.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,28.0,-1.0,-1.0,-4.0,-2.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,29.0,-4.0,2.0,-4.0,-2.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,30.0,-3.0,-6.0,,1.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,31.0,-2.0,,-1.0,-4.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
THE CJ CUP @ NINE BRIDGES,,,32.0,1.0,-3.0,-2.0,-3.0,,,2020,THE CJ CUP @ NINE BRIDGES,,
