tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
THE CJ CUP @ SHADOW CREEK,,,1.0,-2.0,-6.0,-4.0,-8.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,2.0,-6.0,-8.0,2.0,-6.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,3.0,-7.0,-4.0,1.0,-7.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,4.0,-6.0,-4.0,-5.0,-2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,5.0,-2.0,-7.0,-3.0,-4.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,6.0,,-4.0,-3.0,-6.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,7.0,2.0,-3.0,-7.0,-4.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,8.0,-2.0,-4.0,-6.0,,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,9.0,-1.0,-2.0,-5.0,-3.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,10.0,3.0,-6.0,-3.0,-4.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,11.0,-3.0,2.0,-4.0,-4.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,12.0,-3.0,-2.0,1.0,-4.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,13.0,3.0,-6.0,-3.0,-2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,14.0,-3.0,-4.0,,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,15.0,-1.0,-7.0,-1.0,1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,16.0,,-6.0,-4.0,2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,17.0,-3.0,2.0,-3.0,-3.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,18.0,-2.0,-1.0,-2.0,-2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,19.0,-4.0,4.0,-6.0,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,20.0,-5.0,1.0,-3.0,,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,21.0,-1.0,,1.0,-6.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,22.0,1.0,-2.0,-2.0,-3.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,23.0,-1.0,-2.0,,-3.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,24.0,-4.0,-2.0,,,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,25.0,,-5.0,-2.0,1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,26.0,1.0,-3.0,-6.0,2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,27.0,-2.0,-4.0,-2.0,2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,28.0,,2.0,-2.0,-5.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,29.0,3.0,-3.0,-3.0,-2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,30.0,-1.0,-1.0,-1.0,-2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,31.0,2.0,-4.0,-2.0,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,32.0,-3.0,1.0,-2.0,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,33.0,-2.0,-2.0,,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,34.0,-1.0,-2.0,-2.0,,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,35.0,2.0,-4.0,-4.0,1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,36.0,2.0,-4.0,-4.0,1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,37.0,-5.0,-1.0,,1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,38.0,2.0,2.0,-3.0,-5.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,39.0,-1.0,,2.0,-5.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,40.0,-4.0,3.0,1.0,-4.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,41.0,1.0,-2.0,1.0,-4.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,42.0,2.0,-3.0,2.0,-4.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,43.0,1.0,1.0,-4.0,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,44.0,3.0,-2.0,-4.0,,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,45.0,6.0,-3.0,,-5.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,46.0,5.0,-1.0,-5.0,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,47.0,4.0,-6.0,1.0,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,48.0,-2.0,1.0,2.0,-2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,49.0,2.0,-3.0,1.0,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,50.0,,-1.0,,,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,51.0,6.0,-2.0,-1.0,-3.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,52.0,6.0,1.0,-2.0,-4.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,53.0,5.0,1.0,-2.0,-3.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,54.0,-1.0,5.0,-1.0,-2.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,55.0,4.0,-4.0,2.0,-1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,56.0,5.0,-2.0,-3.0,1.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,57.0,2.0,,-4.0,3.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,58.0,1.0,-1.0,-2.0,3.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
THE CJ CUP @ SHADOW CREEK,,,59.0,5.0,4.0,-1.0,-6.0,,,2021,THE CJ CUP @ SHADOW CREEK,,
