tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
THE CJ CUP @ SUMMIT,,,1.0,-4.0,-5.0,-10.0,-6.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,2.0,-5.0,-2.0,-7.0,-10.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,3.0,-10.0,-8.0,1.0,-5.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,4.0,-6.0,-6.0,-9.0,-1.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,5.0,-5.0,-4.0,-2.0,-10.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,6.0,-5.0,-4.0,-6.0,-6.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,7.0,-6.0,-5.0,-4.0,-6.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,8.0,-4.0,-9.0,-5.0,-3.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,9.0,-4.0,-3.0,-5.0,-8.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,10.0,-4.0,-3.0,-6.0,-7.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,11.0,-8.0,-5.0,-2.0,-5.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,12.0,-6.0,-5.0,-5.0,-4.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,13.0,-11.0,,-7.0,-2.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,14.0,-3.0,-3.0,-6.0,-7.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,15.0,-6.0,-3.0,-4.0,-6.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,16.0,-4.0,-5.0,-4.0,-6.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,17.0,-2.0,-7.0,-9.0,-1.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,18.0,,-4.0,-3.0,-11.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,19.0,-3.0,-3.0,-3.0,-9.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,20.0,-3.0,-5.0,-2.0,-8.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,21.0,-7.0,-4.0,-2.0,-5.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,22.0,-6.0,-7.0,,-5.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,23.0,-6.0,-5.0,-5.0,-2.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,24.0,-5.0,-7.0,-5.0,-1.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,25.0,-5.0,,-6.0,-6.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,26.0,-7.0,-2.0,-3.0,-5.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,27.0,-1.0,-7.0,-5.0,-4.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,28.0,-1.0,-10.0,-2.0,-4.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,29.0,-4.0,-7.0,-2.0,-4.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,30.0,-4.0,-3.0,-7.0,-3.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,31.0,-5.0,-6.0,-4.0,-2.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,32.0,-1.0,-4.0,-4.0,-7.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,33.0,-2.0,-6.0,-3.0,-5.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,34.0,-5.0,-2.0,-6.0,-3.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,35.0,-7.0,-3.0,-3.0,-3.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,36.0,-4.0,-9.0,,-3.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,37.0,-1.0,-8.0,-5.0,-2.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,38.0,-2.0,-3.0,-2.0,-8.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,39.0,-6.0,-1.0,-1.0,-7.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,40.0,-2.0,-1.0,-7.0,-5.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,41.0,-2.0,-3.0,-6.0,-4.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,42.0,-5.0,-2.0,-4.0,-4.0,,,2022,THE CJ CUP @ SUMMIT,,
THE CJ CUP @ SUMMIT,,,43.0,-4.0,,-8.0,-3.0,,,2022,THE CJ CUP @ SUMMIT,,
