tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
THE CJ CUP in South Carolina,,,1.0,-5.0,-4.0,-4.0,-4.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,2.0,-5.0,-6.0,-1.0,-4.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,3.0,-3.0,-4.0,-5.0,-3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,4.0,2.0,-5.0,-5.0,-6.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,5.0,-2.0,-9.0,-1.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,6.0,-5.0,-5.0,,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,7.0,-3.0,-4.0,1.0,-5.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,8.0,-1.0,-3.0,-3.0,-4.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,9.0,-3.0,-4.0,-1.0,-3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,10.0,-3.0,-4.0,-2.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,11.0,-2.0,-2.0,-2.0,-4.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,12.0,-5.0,-2.0,-2.0,-1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,13.0,-2.0,,2.0,-9.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,14.0,-1.0,-2.0,-3.0,-3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,15.0,-4.0,-3.0,,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,16.0,-3.0,-4.0,-1.0,-1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,17.0,-5.0,-5.0,2.0,-1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,18.0,-3.0,-1.0,-2.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,19.0,,-4.0,-2.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,20.0,-2.0,-1.0,-5.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,21.0,,-2.0,-4.0,-1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,22.0,-4.0,,-3.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,23.0,1.0,-6.0,1.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,24.0,2.0,-2.0,-5.0,-1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,25.0,-1.0,-3.0,-2.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,26.0,-3.0,-2.0,-1.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,27.0,-3.0,-4.0,,1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,28.0,-4.0,-2.0,-4.0,4.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,29.0,-2.0,-3.0,3.0,-3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,30.0,3.0,-4.0,-2.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,31.0,,-3.0,,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,32.0,-1.0,-2.0,-3.0,1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,33.0,-5.0,-1.0,,1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,34.0,,,,-4.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,35.0,3.0,-5.0,2.0,-4.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,36.0,-4.0,-1.0,3.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,37.0,-3.0,2.0,-1.0,-1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,38.0,-2.0,,-1.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,39.0,1.0,-2.0,-3.0,1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,40.0,-3.0,2.0,1.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,41.0,-3.0,1.0,2.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,42.0,-2.0,1.0,,-1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,43.0,,-2.0,1.0,-1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,44.0,-2.0,-4.0,3.0,1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,45.0,5.0,,-3.0,-3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,46.0,,-3.0,3.0,-1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,47.0,,-3.0,2.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,48.0,3.0,-1.0,-4.0,1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,49.0,-2.0,1.0,1.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,50.0,,-4.0,3.0,1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,51.0,-4.0,-2.0,3.0,3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,52.0,1.0,4.0,1.0,-5.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,53.0,,1.0,3.0,-3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,54.0,4.0,-2.0,1.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,55.0,-4.0,3.0,2.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,56.0,-1.0,-2.0,2.0,2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,57.0,,-3.0,,4.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,58.0,-2.0,2.0,2.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,59.0,2.0,-2.0,,2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,60.0,1.0,-2.0,1.0,2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,61.0,-2.0,1.0,-2.0,5.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,62.0,,-1.0,2.0,2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,63.0,2.0,-1.0,-1.0,3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,64.0,2.0,,2.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,65.0,-1.0,4.0,1.0,2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,66.0,-1.0,,4.0,3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,67.0,8.0,-1.0,2.0,-2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,68.0,3.0,1.0,,3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,69.0,-6.0,2.0,8.0,3.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,70.0,1.0,2.0,-3.0,7.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,71.0,-6.0,1.0,6.0,7.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,72.0,2.0,3.0,4.0,,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,73.0,3.0,3.0,2.0,1.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,74.0,4.0,-2.0,5.0,2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,75.0,,3.0,1.0,6.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,76.0,7.0,2.0,6.0,2.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,77.0,3.0,5.0,5.0,6.0,,,2023,THE CJ CUP in South Carolina,,
THE CJ CUP in South Carolina,,,78.0,5.0,1.0,6.0,7.0,,,2023,THE CJ CUP in South Carolina,,
