tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
THE NORTHERN TRUST,,,1.0,-4.0,-7.0,-3.0,-6.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,2.0,-2.0,-3.0,-11.0,-4.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,3.0,-8.0,-4.0,-4.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,4.0,-2.0,-7.0,-1.0,-5.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,5.0,-2.0,-7.0,-4.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,6.0,-8.0,-2.0,-4.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,7.0,-2.0,-4.0,-9.0,1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,8.0,-4.0,-5.0,-1.0,-3.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,9.0,-3.0,-7.0,-1.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,10.0,-1.0,-2.0,-9.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,11.0,-3.0,-4.0,-2.0,-3.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,12.0,-2.0,-4.0,-4.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,13.0,,-6.0,-5.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,14.0,-5.0,-4.0,-3.0,,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,15.0,,-4.0,-9.0,1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,16.0,-2.0,-1.0,-5.0,-3.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,17.0,-4.0,-3.0,-2.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,18.0,,-5.0,-5.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,19.0,,-6.0,-4.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,20.0,-1.0,-9.0,-1.0,,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,21.0,,-3.0,-5.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,22.0,-3.0,-2.0,-3.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,23.0,-2.0,-4.0,-3.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,24.0,2.0,-6.0,-6.0,,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,25.0,,-4.0,-7.0,1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,26.0,-4.0,-3.0,-4.0,1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,27.0,-2.0,-1.0,-2.0,-4.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,28.0,-3.0,-1.0,-4.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,29.0,-4.0,-2.0,-2.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,30.0,-1.0,-6.0,-3.0,1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,31.0,1.0,-5.0,,-4.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,32.0,,-5.0,,-3.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,33.0,,-6.0,1.0,-3.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,34.0,,-1.0,-5.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,35.0,-2.0,-1.0,-3.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,36.0,-1.0,-4.0,-1.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,37.0,-2.0,-3.0,-1.0,-2.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,38.0,2.0,-4.0,-5.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,39.0,2.0,-7.0,-2.0,-1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,40.0,-1.0,-3.0,-4.0,,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,41.0,,-1.0,-8.0,1.0,,,2021,THE NORTHERN TRUST,,
THE NORTHERN TRUST,,,42.0,-1.0,-7.0,-3.0,3.0,,,2021,THE NORTHERN TRUST,,
