tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
THE PLAYERS Championship,,,1.0,-9.0,-6.0,1.0,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,2.0,-1.0,-5.0,-2.0,-3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,3.0,-2.0,-4.0,3.0,-7.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,4.0,-1.0,-5.0,,-4.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,5.0,,-9.0,2.0,-3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,6.0,2.0,-5.0,-7.0,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,7.0,-6.0,-3.0,,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,8.0,-4.0,-1.0,-5.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,9.0,,-2.0,-3.0,-3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,10.0,-6.0,,1.0,-3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,11.0,-5.0,-5.0,,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,12.0,1.0,-7.0,3.0,-4.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,13.0,,-8.0,3.0,-2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,14.0,-2.0,-4.0,,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,15.0,-2.0,-4.0,-2.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,16.0,-6.0,-3.0,6.0,-3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,17.0,-7.0,-4.0,6.0,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,18.0,-7.0,-3.0,3.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,19.0,-7.0,2.0,6.0,-6.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,20.0,-4.0,-5.0,8.0,-4.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,21.0,-5.0,-4.0,5.0,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,22.0,-5.0,-5.0,3.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,23.0,-4.0,,4.0,-4.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,24.0,-2.0,-4.0,3.0,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,25.0,-5.0,-2.0,3.0,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,26.0,-3.0,-1.0,-1.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,27.0,-4.0,-2.0,,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,28.0,-2.0,-2.0,5.0,-4.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,29.0,-1.0,-1.0,,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,30.0,-2.0,-2.0,1.0,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,31.0,-2.0,-3.0,2.0,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,32.0,,-5.0,2.0,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,33.0,-4.0,-2.0,3.0,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,34.0,-5.0,-4.0,4.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,35.0,-1.0,-2.0,3.0,-2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,36.0,,-5.0,4.0,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,37.0,-6.0,-2.0,5.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,38.0,-5.0,-1.0,,4.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,39.0,-2.0,-1.0,7.0,-5.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,40.0,-4.0,-1.0,6.0,-2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,41.0,-4.0,,4.0,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,42.0,-2.0,-2.0,2.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,43.0,-5.0,1.0,7.0,-3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,44.0,,-2.0,2.0,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,45.0,-7.0,1.0,5.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,46.0,1.0,-4.0,1.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,47.0,-3.0,-1.0,2.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,48.0,,-7.0,4.0,3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,49.0,-3.0,1.0,3.0,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,50.0,-2.0,-3.0,6.0,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,51.0,-1.0,-5.0,6.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,52.0,-2.0,-6.0,8.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,53.0,-1.0,-2.0,1.0,3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,54.0,-3.0,-2.0,5.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,55.0,-5.0,-3.0,8.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,56.0,,-6.0,5.0,3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,57.0,,-2.0,6.0,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,58.0,1.0,-6.0,6.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,59.0,-5.0,-1.0,7.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,60.0,-6.0,1.0,5.0,3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,61.0,-3.0,-4.0,7.0,3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,62.0,-7.0,4.0,2.0,4.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,63.0,-1.0,-5.0,4.0,5.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,64.0,-1.0,-1.0,7.0,-1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,65.0,-2.0,-1.0,5.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,66.0,-2.0,,3.0,3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,67.0,-1.0,-2.0,4.0,3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,68.0,-6.0,1.0,6.0,3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,69.0,-2.0,-5.0,4.0,7.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,70.0,-1.0,-1.0,6.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,71.0,-4.0,2.0,7.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,72.0,2.0,-4.0,8.0,1.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,73.0,-4.0,-1.0,10.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,74.0,,-2.0,8.0,2.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,75.0,1.0,-3.0,7.0,3.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,76.0,-1.0,-2.0,10.0,5.0,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,77.0,3.0,-4.0,,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,78.0,1.0,-2.0,,,,,2016,THE PLAYERS Championship,,
THE PLAYERS Championship,,,79.0,1.0,-2.0,,,,,2016,THE PLAYERS Championship,,
